,Well,Fluor,Target,Content,Sample,Cq,SQ
,A01,SYBR,,Unkn,,14.4711553373226,NaN
,A02,SYBR,,Unkn,,NaN,NaN
,A03,SYBR,,Unkn,,18.6521274404936,NaN
,A04,SYBR,,Unkn,,19.3587985626647,NaN
,A05,SYBR,,Unkn,,NaN,NaN
,A06,SYBR,,Unkn,,18.2665366566565,NaN
,A07,SYBR,,Unkn,,19.3910860989501,NaN
,A08,SYBR,,Unkn,,19.2139619631278,NaN
,A09,SYBR,,Unkn,,18.2518342333754,NaN
,A10,SYBR,,Unkn,,19.1940940445924,NaN
,A11,SYBR,,Unkn,,19.2737028634991,NaN
,A12,SYBR,,Unkn,,NaN,NaN
,B01,SYBR,,Unkn,,15.2956979651369,NaN
,B02,SYBR,,Unkn,,NaN,NaN
,B03,SYBR,,Unkn,,19.0270271281481,NaN
,B04,SYBR,,Unkn,,20.0232905149494,NaN
,B05,SYBR,,Unkn,,38.3422008397719,NaN
,B06,SYBR,,Unkn,,18.4650929385624,NaN
,B07,SYBR,,Unkn,,19.3004503739184,NaN
,B08,SYBR,,Unkn,,19.524330467856,NaN
,B09,SYBR,,Unkn,,18.2681461273636,NaN
,B10,SYBR,,Unkn,,19.1696172779376,NaN
,B11,SYBR,,Unkn,,19.4566299961961,NaN
,B12,SYBR,,Unkn,,NaN,NaN
,C01,SYBR,,Unkn,,15.0912054623911,NaN
,C02,SYBR,,Unkn,,18.0729939019168,NaN
,C03,SYBR,,Unkn,,39.5419488719528,NaN
,C04,SYBR,,Unkn,,20.2169550582806,NaN
,C05,SYBR,,Unkn,,14.4113238622797,NaN
,C06,SYBR,,Unkn,,17.8484239159044,NaN
,C07,SYBR,,Unkn,,19.1136762302149,NaN
,C08,SYBR,,Unkn,,14.5664811179174,NaN
,C09,SYBR,,Unkn,,17.6322601313196,NaN
,C10,SYBR,,Unkn,,19.0991791668525,NaN
,C11,SYBR,,Unkn,,NaN,NaN
,C12,SYBR,,Unkn,,NaN,NaN
,D01,SYBR,,Unkn,,37.4388004555469,NaN
,D02,SYBR,,Unkn,,18.2853522977009,NaN
,D03,SYBR,,Unkn,,35.3634685599292,NaN
,D04,SYBR,,Unkn,,20.3674753323137,NaN
,D05,SYBR,,Unkn,,14.9938074698682,NaN
,D06,SYBR,,Unkn,,23.112854268725,NaN
,D07,SYBR,,Unkn,,19.5014374218513,NaN
,D08,SYBR,,Unkn,,14.5222418775003,NaN
,D09,SYBR,,Unkn,,23.5110974118277,NaN
,D10,SYBR,,Unkn,,19.7978712451339,NaN
,D11,SYBR,,Unkn,,NaN,NaN
,D12,SYBR,,Unkn,,NaN,NaN
,E01,SYBR,,Unkn,,31.3131651020035,NaN
,E02,SYBR,,Unkn,,17.6653848218123,NaN
,E03,SYBR,,Unkn,,18.6565485851502,NaN
,E04,SYBR,,Unkn,,19.2762926180295,NaN
,E05,SYBR,,Unkn,,14.9567735077212,NaN
,E06,SYBR,,Unkn,,18.1998511612646,NaN
,E07,SYBR,,Unkn,,19.692283205195,NaN
,E08,SYBR,,Unkn,,14.9823814068715,NaN
,E09,SYBR,,Unkn,,18.1198527754175,NaN
,E10,SYBR,,Unkn,,19.9658042926373,NaN
,E11,SYBR,,Unkn,,NaN,NaN
,E12,SYBR,,Unkn,,NaN,NaN
,F01,SYBR,,Unkn,,17.2056287725712,NaN
,F02,SYBR,,Unkn,,NaN,NaN
,F03,SYBR,,Unkn,,19.7873961155661,NaN
,F04,SYBR,,Unkn,,27.8470350232476,NaN
,F05,SYBR,,Unkn,,17.3805312056059,NaN
,F06,SYBR,,Unkn,,18.4512359603145,NaN
,F07,SYBR,,Unkn,,20.6689504649092,NaN
,F08,SYBR,,Unkn,,17.2808291567084,NaN
,F09,SYBR,,Unkn,,18.2310330757454,NaN
,F10,SYBR,,Unkn,,20.3231025649403,NaN
,F11,SYBR,,Unkn,,NaN,NaN
,F12,SYBR,,Unkn,,NaN,NaN
,G01,SYBR,,Unkn,,17.411663158567,NaN
,G02,SYBR,,Unkn,,35.3036119016562,NaN
,G03,SYBR,,Unkn,,19.1578690948744,NaN
,G04,SYBR,,Unkn,,19.1147990372366,NaN
,G05,SYBR,,Unkn,,17.2733910162744,NaN
,G06,SYBR,,Unkn,,18.910459564024,NaN
,G07,SYBR,,Unkn,,19.4459307651366,NaN
,G08,SYBR,,Unkn,,17.2035162997825,NaN
,G09,SYBR,,Unkn,,18.6472722459348,NaN
,G10,SYBR,,Unkn,,19.2190777810136,NaN
,G11,SYBR,,Unkn,,NaN,NaN
,G12,SYBR,,Unkn,,NaN,NaN
,H01,SYBR,,Unkn,,18.1019329789953,NaN
,H02,SYBR,,Unkn,,24.2042032294167,NaN
,H03,SYBR,,Unkn,,19.1056335405724,NaN
,H04,SYBR,,Unkn,,19.5249927215398,NaN
,H05,SYBR,,Unkn,,17.575700387373,NaN
,H06,SYBR,,Unkn,,18.9450240388485,NaN
,H07,SYBR,,Unkn,,28.0809695937687,NaN
,H08,SYBR,,Unkn,,17.7692239737558,NaN
,H09,SYBR,,Unkn,,18.9067457042149,NaN
,H10,SYBR,,Unkn,,27.8376382483847,NaN
,H11,SYBR,,Unkn,,NaN,NaN
,H12,SYBR,,Unkn,,NaN,NaN
