,Well,Fluor,Target,Content,Sample,Cq,SQ
,A01,SYBR,,Unkn,,17.9513116886233,NaN
,A02,SYBR,,Unkn,,32.9814011982329,NaN
,A03,SYBR,,Unkn,,18.45567813127,NaN
,A04,SYBR,,Unkn,,19.1543178240958,NaN
,A05,SYBR,,Unkn,,NaN,NaN
,A06,SYBR,,Unkn,,17.7862553034947,NaN
,A07,SYBR,,Unkn,,19.4038923447644,NaN
,A08,SYBR,,Unkn,,19.0839857189194,NaN
,A09,SYBR,,Unkn,,17.7092983733585,NaN
,A10,SYBR,,Unkn,,19.2955809124445,NaN
,A11,SYBR,,Unkn,,19.2384069624786,NaN
,A12,SYBR,,Unkn,,NaN,NaN
,B01,SYBR,,Unkn,,17.9393920324649,NaN
,B02,SYBR,,Unkn,,33.2146280570817,NaN
,B03,SYBR,,Unkn,,19.0279317977902,NaN
,B04,SYBR,,Unkn,,19.2581555508675,NaN
,B05,SYBR,,Unkn,,NaN,NaN
,B06,SYBR,,Unkn,,17.6858881935025,NaN
,B07,SYBR,,Unkn,,19.267030388849,NaN
,B08,SYBR,,Unkn,,19.6089037271431,NaN
,B09,SYBR,,Unkn,,17.6165247514455,NaN
,B10,SYBR,,Unkn,,19.2564544550285,NaN
,B11,SYBR,,Unkn,,19.5321301388346,NaN
,B12,SYBR,,Unkn,,NaN,NaN
,C01,SYBR,,Unkn,,17.3346930186477,NaN
,C02,SYBR,,Unkn,,17.4250573483045,NaN
,C03,SYBR,,Unkn,,36.139357343469,NaN
,C04,SYBR,,Unkn,,18.6226656862033,NaN
,C05,SYBR,,Unkn,,17.5102374423988,NaN
,C06,SYBR,,Unkn,,17.4720696126616,NaN
,C07,SYBR,,Unkn,,19.0808627605356,NaN
,C08,SYBR,,Unkn,,17.4075322751892,NaN
,C09,SYBR,,Unkn,,30.3292981679745,NaN
,C10,SYBR,,Unkn,,18.1565659902107,NaN
,C11,SYBR,,Unkn,,NaN,NaN
,C12,SYBR,,Unkn,,NaN,NaN
,D01,SYBR,,Unkn,,31.9770598496267,NaN
,D02,SYBR,,Unkn,,17.6012538443052,NaN
,D03,SYBR,,Unkn,,37.267047141046,NaN
,D04,SYBR,,Unkn,,18.4042929936494,NaN
,D05,SYBR,,Unkn,,17.6185502066964,NaN
,D06,SYBR,,Unkn,,16.8090226528716,NaN
,D07,SYBR,,Unkn,,19.029417109086,NaN
,D08,SYBR,,Unkn,,17.3259295995076,NaN
,D09,SYBR,,Unkn,,16.7280959348688,NaN
,D10,SYBR,,Unkn,,18.9972312922494,NaN
,D11,SYBR,,Unkn,,NaN,NaN
,D12,SYBR,,Unkn,,NaN,NaN
,E01,SYBR,,Unkn,,31.4729845255237,NaN
,E02,SYBR,,Unkn,,17.5488374427667,NaN
,E03,SYBR,,Unkn,,19.0905328614914,NaN
,E04,SYBR,,Unkn,,18.2787840141003,NaN
,E05,SYBR,,Unkn,,17.4092489968591,NaN
,E06,SYBR,,Unkn,,18.1905737869726,NaN
,E07,SYBR,,Unkn,,18.5365528292066,NaN
,E08,SYBR,,Unkn,,17.1239499336198,NaN
,E09,SYBR,,Unkn,,17.8329715881682,NaN
,E10,SYBR,,Unkn,,18.6351482750837,NaN
,E11,SYBR,,Unkn,,NaN,NaN
,E12,SYBR,,Unkn,,NaN,NaN
,F01,SYBR,,Unkn,,17.7031396442334,NaN
,F02,SYBR,,Unkn,,30.2538771025361,NaN
,F03,SYBR,,Unkn,,19.0803517000521,NaN
,F04,SYBR,,Unkn,,18.9084686947662,NaN
,F05,SYBR,,Unkn,,17.495647016294,NaN
,F06,SYBR,,Unkn,,18.5928929517165,NaN
,F07,SYBR,,Unkn,,18.6621793040338,NaN
,F08,SYBR,,Unkn,,17.43744958949,NaN
,F09,SYBR,,Unkn,,18.3818483397212,NaN
,F10,SYBR,,Unkn,,18.4123867796165,NaN
,F11,SYBR,,Unkn,,NaN,NaN
,F12,SYBR,,Unkn,,NaN,NaN
,G01,SYBR,,Unkn,,17.3752724260669,NaN
,G02,SYBR,,Unkn,,30.1299163570903,NaN
,G03,SYBR,,Unkn,,19.092735723652,NaN
,G04,SYBR,,Unkn,,18.819768948414,NaN
,G05,SYBR,,Unkn,,17.3401593214254,NaN
,G06,SYBR,,Unkn,,19.4514502211688,NaN
,G07,SYBR,,Unkn,,18.4981424358755,NaN
,G08,SYBR,,Unkn,,17.3712215714101,NaN
,G09,SYBR,,Unkn,,19.3334482087289,NaN
,G10,SYBR,,Unkn,,18.531347616256,NaN
,G11,SYBR,,Unkn,,NaN,NaN
,G12,SYBR,,Unkn,,NaN,NaN
,H01,SYBR,,Unkn,,17.7843063188986,NaN
,H02,SYBR,,Unkn,,17.0031360448845,NaN
,H03,SYBR,,Unkn,,19.0588217646471,NaN
,H04,SYBR,,Unkn,,19.4898767765318,NaN
,H05,SYBR,,Unkn,,17.5158425289563,NaN
,H06,SYBR,,Unkn,,19.3938379708899,NaN
,H07,SYBR,,Unkn,,19.3282167799543,NaN
,H08,SYBR,,Unkn,,17.6917024024222,NaN
,H09,SYBR,,Unkn,,19.3057899137874,NaN
,H10,SYBR,,Unkn,,18.9312487965429,NaN
,H11,SYBR,,Unkn,,NaN,NaN
,H12,SYBR,,Unkn,,NaN,NaN
