init_rate	nprot_fast	mrna_fast	nprot_slow	mrna_slow	collide_fast	collide_slow	nprot_ratio
0.0100	8.15	899.9	4.78	584.9	0.0168	0.0262	0.587
0.0112	9.05	886.6	5.30	576.3	0.0186	0.0294	0.586
0.0126	10.30	899.9	6.05	584.9	0.0206	0.0327	0.588
0.0141	11.57	899.2	6.81	584.5	0.0234	0.0366	0.589
0.0158	12.84	890.4	7.54	578.8	0.0265	0.0420	0.587
0.0178	14.60	902.6	8.59	586.6	0.0296	0.0462	0.588
0.0200	16.28	898.0	9.54	583.6	0.0329	0.0513	0.586
0.0224	18.36	903.7	10.76	587.4	0.0372	0.0585	0.586
0.0251	20.20	890.9	11.80	579.3	0.0410	0.0640	0.584
0.0282	22.64	892.9	13.22	580.1	0.0461	0.0724	0.584
0.0316	25.68	904.2	14.99	587.8	0.0519	0.0804	0.584
0.0355	28.71	907.2	16.74	589.7	0.0573	0.0897	0.583
0.0398	31.76	899.9	18.40	585.0	0.0643	0.0998	0.579
0.0447	35.34	898.6	20.40	584.1	0.0719	0.1112	0.577
0.0501	39.20	894.3	22.49	581.3	0.0797	0.1230	0.574
0.0562	43.68	896.6	24.96	582.8	0.0888	0.1353	0.571
0.0631	49.23	910.0	28.00	591.2	0.0985	0.1497	0.569
0.0708	53.66	894.6	30.31	581.2	0.1091	0.1655	0.565
0.0794	58.65	883.2	32.88	574.0	0.1211	0.1819	0.561
0.0891	65.94	897.1	36.75	583.2	0.1340	0.2000	0.557
0.1000	73.05	899.8	40.39	585.0	0.1481	0.2199	0.553
