"strain","isolate","dcq","ddcq","ratio","citscore"
"citmax",5,-0.876877495562599,1.04173776937758,0.485742030364018,397.147300402271
"citmax",6,-0.932219007127969,0.986396257812207,0.504736996178066,397.147300402271
"citmin",3,-1.90290401918097,0.015711245759211,0.989168877916939,186.286193292396
"citmin",5,-1.89436116170273,0.0242541032374437,0.983328864133154,186.286193292396
"citmin",6,-1.95858061393683,-0.0399653489966549,1.02808913346255,186.286193292396
"cit3",3,-1.76122592138807,0.157389343552109,0.896646146972657,283.993006718826
"cit3",5,-2.11364566617877,-0.195030401238592,1.14474828309028,283.993006718826
"cit3",6,-1.5984107650478,0.320204499892378,0.800956335164418,283.993006718826
"cit0",3,-1.6486901195024,0.109840398605665,0.926690573455743,257.090620035434
"cit0",5,-1.43503108531323,0.323499432794832,0.799129139590712,257.090620035434
"cit0",6,-1.43098423397527,0.3275462841328,0.796890672522497,257.090620035434
"cit9",5,-0.887646041133735,0.870884476974331,0.546811512625647,316.285182669547
"cit9",6,-0.876079184427201,0.882451333680865,0.542444960549766,316.285182669547
"cit6",3,-1.20712561176047,0.343142444165321,0.788322335387934,291.718444544273
"cit6",5,-0.976263870949033,0.574004184976755,0.671749764242856,291.718444544273
"cit6",6,-1.59828665813126,-0.0480186022054763,1.03384406661594,291.718444544273
