row,column,Well,Strain,Isolate,RT_NUM,amplicon,Rep,amplicon2
A,1,A1,CHA2,3,1,LL003_LL004,1,eCitrine
B,1,B1,CHA2,5,2,LL003_LL004,1,eCitrine
C,1,C1,CHA2,6,3,LL003_LL004,1,eCitrine
D,1,D1,RT_NEG,NA,NA,LL003_LL004,1,eCitrine
E,1,E1,PCR_NEG,NA,NA,LL003_LL004,1,eCitrine
F,1,F1,MIN,3,4,LL009_LL004,1,eCitrine
G,1,G1,MIN,5,5,LL009_LL004,1,eCitrine
H,1,H1,MIN,6,6,LL009_LL004,1,eCitrine
A,2,A2,RT_NEG,NA,NA,LL009_LL004,1,eCitrine
B,2,B2,PCR_NEG,NA,NA,LL009_LL004,1,eCitrine
C,2,C2,Y333,3,7,LL006_LL004,1,eCitrine
D,2,D2,Y333,5,8,LL006_LL004,1,eCitrine
E,2,E2,Y333,6,9,LL006_LL004,1,eCitrine
F,2,F2,RT_NEG,NA,NA,LL006_LL004,1,eCitrine
G,2,G2,PCR_NEG,NA,NA,LL006_LL004,1,eCitrine
H,2,H2,MAX,3,10,LL010_LL004,1,eCitrine
A,3,A3,MAX,5,11,LL010_LL004,1,eCitrine
B,3,B3,MAX,6,12,LL010_LL004,1,eCitrine
C,3,C3,RT_NEG,NA,NA,LL010_LL004,1,eCitrine
D,3,D3,PCR_NEG,NA,NA,LL010_LL004,1,eCitrine
E,3,E3,CHA2,3,1,NM268_NM269,1,mCherry
F,3,F3,CHA2,5,2,NM268_NM269,1,mCherry
G,3,G3,CHA2,6,3,NM268_NM269,1,mCherry
H,3,H3,MIN,3,4,NM268_NM269,1,mCherry
A,4,A4,MIN,5,5,NM268_NM269,1,mCherry
B,4,B4,MIN,6,6,NM268_NM269,1,mCherry
C,4,C4,Y333,3,7,NM268_NM269,1,mCherry
D,4,D4,Y333,5,8,NM268_NM269,1,mCherry
E,4,E4,Y333,6,9,NM268_NM269,1,mCherry
F,4,F4,MAX,3,10,NM268_NM269,1,mCherry
G,4,G4,MAX,5,11,NM268_NM269,1,mCherry
H,4,H4,MAX,6,12,NM268_NM269,1,mCherry
A,5,A5,RT_NEG,NA,NA,NM268_NM269,1,mCherry
B,5,B5,PCR_NEG,NA,NA,NM268_NM269,1,mCherry
C,5,C5,CHA2,3,1,LL003_LL004,2,eCitrine
D,5,D5,CHA2,5,2,LL003_LL004,2,eCitrine
E,5,E5,CHA2,6,3,LL003_LL004,2,eCitrine
F,5,F5,MIN,3,4,LL009_LL004,2,eCitrine
G,5,G5,MIN,5,5,LL009_LL004,2,eCitrine
H,5,H5,MIN,6,6,LL009_LL004,2,eCitrine
A,6,A6,Y333,3,7,LL006_LL004,2,eCitrine
B,6,B6,Y333,5,8,LL006_LL004,2,eCitrine
C,6,C6,Y333,6,9,LL006_LL004,2,eCitrine
D,6,D6,MAX,3,10,LL010_LL004,2,eCitrine
E,6,E6,MAX,5,11,LL010_LL004,2,eCitrine
F,6,F6,MAX,6,12,LL010_LL004,2,eCitrine
G,6,G6,CHA2,3,1,NM268_NM269,2,mCherry
H,6,H6,CHA2,5,2,NM268_NM269,2,mCherry
A,7,A7,CHA2,6,3,NM268_NM269,2,mCherry
B,7,B7,MIN,3,4,NM268_NM269,2,mCherry
C,7,C7,MIN,5,5,NM268_NM269,2,mCherry
D,7,D7,MIN,6,6,NM268_NM269,2,mCherry
E,7,E7,Y333,3,7,NM268_NM269,2,mCherry
F,7,F7,Y333,5,8,NM268_NM269,2,mCherry
G,7,G7,Y333,6,9,NM268_NM269,2,mCherry
H,7,H7,MAX,3,10,NM268_NM269,2,mCherry
A,8,A8,MAX,5,11,NM268_NM269,2,mCherry
B,8,B8,MAX,6,12,NM268_NM269,2,mCherry
C,8,C8,CHA2,3,1,LL003_LL004,3,eCitrine
D,8,D8,CHA2,5,2,LL003_LL004,3,eCitrine
E,8,E8,CHA2,6,3,LL003_LL004,3,eCitrine
F,8,F8,MIN,3,4,LL009_LL004,3,eCitrine
G,8,G8,MIN,5,5,LL009_LL004,3,eCitrine
H,8,H8,MIN,6,6,LL009_LL004,3,eCitrine
A,9,A9,Y333,3,7,LL006_LL004,3,eCitrine
B,9,B9,Y333,5,8,LL006_LL004,3,eCitrine
C,9,C9,Y333,6,9,LL006_LL004,3,eCitrine
D,9,D9,MAX,3,10,LL010_LL004,3,eCitrine
E,9,E9,MAX,5,11,LL010_LL004,3,eCitrine
F,9,F9,MAX,6,12,LL010_LL004,3,eCitrine
G,9,G9,CHA2,3,1,NM268_NM269,3,mCherry
H,9,H9,CHA2,5,2,NM268_NM269,3,mCherry
A,10,A10,CHA2,6,3,NM268_NM269,3,mCherry
B,10,B10,MIN,3,4,NM268_NM269,3,mCherry
C,10,C10,MIN,5,5,NM268_NM269,3,mCherry
D,10,D10,MIN,6,6,NM268_NM269,3,mCherry
E,10,E10,Y333,3,7,NM268_NM269,3,mCherry
F,10,F10,Y333,5,8,NM268_NM269,3,mCherry
G,10,G10,Y333,6,9,NM268_NM269,3,mCherry
H,10,H10,MAX,3,10,NM268_NM269,3,mCherry
A,11,A11,MAX,5,11,NM268_NM269,3,mCherry
B,11,B11,MAX,6,12,NM268_NM269,3,mCherry
