row,column,strain,isolate,RT_NUM,amplicon,Rep,amplicon2
A,1,MIN,3,1,LL009_LL004,1,eCitrine
B,1,MIN,5,2,LL009_LL004,1,eCitrine
C,1,MIN,6,3,LL009_LL004,1,eCitrine
D,1,RT_NEG,NA,NA,LL009_LL004,1,eCitrine
E,1,PCR_NEG,NA,NA,LL009_LL004,1,eCitrine
F,1,Y00,3,4,LL005_LL004,1,eCitrine
G,1,Y00,5,5,LL005_LL004,1,eCitrine
H,1,Y00,6,6,LL005_LL004,1,eCitrine
A,2,RT_NEG,NA,NA,LL005_LL004,1,eCitrine
B,2,PCR_NEG,NA,NA,LL005_LL004,1,eCitrine
C,2,Y66,3,7,LL007_LL004,1,eCitrine
D,2,Y66,5,8,LL007_LL004,1,eCitrine
E,2,Y66,6,9,LL007_LL004,1,eCitrine
F,2,RT_NEG,NA,NA,LL007_LL004,1,eCitrine
G,2,PCR_NEG,NA,NA,LL007_LL004,1,eCitrine
H,2,Y99,3,10,LL008_LL004,1,eCitrine
A,3,Y99,5,11,LL008_LL004,1,eCitrine
B,3,Y99,6,12,LL008_LL004,1,eCitrine
C,3,RT_NEG,NA,NA,LL008_LL004,1,eCitrine
D,3,PCR_NEG,NA,NA,LL008_LL004,1,eCitrine
E,3,MIN,3,1,NM268_NM269,1,mCherry
F,3,MIN,5,2,NM268_NM269,1,mCherry
G,3,MIN,6,3,NM268_NM269,1,mCherry
H,3,Y00,3,4,NM268_NM269,1,mCherry
A,4,Y00,5,5,NM268_NM269,1,mCherry
B,4,Y00,6,6,NM268_NM269,1,mCherry
C,4,Y66,3,7,NM268_NM269,1,mCherry
D,4,Y66,5,8,NM268_NM269,1,mCherry
E,4,Y66,6,9,NM268_NM269,1,mCherry
F,4,Y99,3,10,NM268_NM269,1,mCherry
G,4,Y99,5,11,NM268_NM269,1,mCherry
H,4,Y99,6,12,NM268_NM269,1,mCherry
A,5,RT_NEG,NA,NA,NM268_NM269,1,mCherry
B,5,PCR_NEG,NA,NA,NM268_NM269,1,mCherry
C,5,MIN,3,1,LL009_LL004,2,eCitrine
D,5,MIN,5,2,LL009_LL004,2,eCitrine
E,5,MIN,6,3,LL009_LL004,2,eCitrine
F,5,Y00,3,4,LL005_LL004,2,eCitrine
G,5,Y00,5,5,LL005_LL004,2,eCitrine
H,5,Y00,6,6,LL005_LL004,2,eCitrine
A,6,Y66,3,7,LL007_LL004,2,eCitrine
B,6,Y66,5,8,LL007_LL004,2,eCitrine
C,6,Y66,6,9,LL007_LL004,2,eCitrine
D,6,Y99,3,10,LL008_LL004,2,eCitrine
E,6,Y99,5,11,LL008_LL004,2,eCitrine
F,6,Y99,6,12,LL008_LL004,2,eCitrine
G,6,MIN,3,1,NM268_NM269,2,mCherry
H,6,MIN,5,2,NM268_NM269,2,mCherry
A,7,MIN,6,3,NM268_NM269,2,mCherry
B,7,Y00,3,4,NM268_NM269,2,mCherry
C,7,Y00,5,5,NM268_NM269,2,mCherry
D,7,Y00,6,6,NM268_NM269,2,mCherry
E,7,Y66,3,7,NM268_NM269,2,mCherry
F,7,Y66,5,8,NM268_NM269,2,mCherry
G,7,Y66,6,9,NM268_NM269,2,mCherry
H,7,Y99,3,10,NM268_NM269,2,mCherry
A,8,Y99,5,11,NM268_NM269,2,mCherry
B,8,Y99,6,12,NM268_NM269,2,mCherry
C,8,MIN,3,1,LL009_LL004,3,eCitrine
D,8,MIN,5,2,LL009_LL004,3,eCitrine
E,8,MIN,6,3,LL009_LL004,3,eCitrine
F,8,Y00,3,4,LL005_LL004,3,eCitrine
G,8,Y00,5,5,LL005_LL004,3,eCitrine
H,8,Y00,6,6,LL005_LL004,3,eCitrine
A,9,Y66,3,7,LL007_LL004,3,eCitrine
B,9,Y66,5,8,LL007_LL004,3,eCitrine
C,9,Y66,6,9,LL007_LL004,3,eCitrine
D,9,Y99,3,10,LL008_LL004,3,eCitrine
E,9,Y99,5,11,LL008_LL004,3,eCitrine
F,9,Y99,6,12,LL008_LL004,3,eCitrine
G,9,MIN,3,1,NM268_NM269,3,mCherry
H,9,MIN,5,2,NM268_NM269,3,mCherry
A,10,MIN,6,3,NM268_NM269,3,mCherry
B,10,Y00,3,4,NM268_NM269,3,mCherry
C,10,Y00,5,5,NM268_NM269,3,mCherry
D,10,Y00,6,6,NM268_NM269,3,mCherry
E,10,Y66,3,7,NM268_NM269,3,mCherry
F,10,Y66,5,8,NM268_NM269,3,mCherry
G,10,Y66,6,9,NM268_NM269,3,mCherry
H,10,Y99,3,10,NM268_NM269,3,mCherry
A,11,Y99,5,11,NM268_NM269,3,mCherry
B,11,Y99,6,12,NM268_NM269,3,mCherry
C,11,,,,,,NA
D,11,,,,,,NA
E,11,,,,,,NA
F,11,,,,,,NA
G,11,,,,,,NA
H,11,,,,,,NA
A,12,,,,,,NA
B,12,,,,,,NA
C,12,,,,,,NA
D,12,,,,,,NA
E,12,,,,,,NA
F,12,,,,,,NA
G,12,,,,,,NA
H,12,,,,,,NA
