,Well,Fluor,Target,Content,Sample,Cq,SQ
,A01,SYBR,,Unkn,,33.4159184136797,NaN
,A02,SYBR,,Unkn,,17.7139352500606,NaN
,A03,SYBR,,Unkn,,17.1628679450566,NaN
,A04,SYBR,,Unkn,,18.7750366911622,NaN
,A05,SYBR,,Unkn,,18.9040433716979,NaN
,A06,SYBR,,Unkn,,19.420681237757,NaN
,A07,SYBR,,Unkn,,NaN,NaN
,A08,SYBR,,Unkn,,NaN,NaN
,A09,SYBR,,Unkn,,NaN,NaN
,A10,SYBR,,Unkn,,NaN,NaN
,A11,SYBR,,Unkn,,NaN,NaN
,A12,SYBR,,Unkn,,NaN,NaN
,B01,SYBR,,Unkn,,33.9917784439465,NaN
,B02,SYBR,,Unkn,,17.674726245331,NaN
,B03,SYBR,,Unkn,,17.1861991780111,NaN
,B04,SYBR,,Unkn,,18.7749032312408,NaN
,B05,SYBR,,Unkn,,18.6099504983671,NaN
,B06,SYBR,,Unkn,,19.2348984608805,NaN
,B07,SYBR,,Unkn,,NaN,NaN
,B08,SYBR,,Unkn,,NaN,NaN
,B09,SYBR,,Unkn,,NaN,NaN
,B10,SYBR,,Unkn,,NaN,NaN
,B11,SYBR,,Unkn,,NaN,NaN
,B12,SYBR,,Unkn,,NaN,NaN
,C01,SYBR,,Unkn,,17.1761220172836,NaN
,C02,SYBR,,Unkn,,17.4738391587393,NaN
,C03,SYBR,,Unkn,,16.8918389402034,NaN
,C04,SYBR,,Unkn,,18.5225942921831,NaN
,C05,SYBR,,Unkn,,18.2567169741666,NaN
,C06,SYBR,,Unkn,,NaN,NaN
,C07,SYBR,,Unkn,,NaN,NaN
,C08,SYBR,,Unkn,,NaN,NaN
,C09,SYBR,,Unkn,,NaN,NaN
,C10,SYBR,,Unkn,,NaN,NaN
,C11,SYBR,,Unkn,,NaN,NaN
,C12,SYBR,,Unkn,,NaN,NaN
,D01,SYBR,,Unkn,,17.3550583300769,NaN
,D02,SYBR,,Unkn,,34.3865443091746,NaN
,D03,SYBR,,Unkn,,17.0948808540097,NaN
,D04,SYBR,,Unkn,,18.5365976108317,NaN
,D05,SYBR,,Unkn,,18.4237959854165,NaN
,D06,SYBR,,Unkn,,NaN,NaN
,D07,SYBR,,Unkn,,NaN,NaN
,D08,SYBR,,Unkn,,NaN,NaN
,D09,SYBR,,Unkn,,NaN,NaN
,D10,SYBR,,Unkn,,NaN,NaN
,D11,SYBR,,Unkn,,NaN,NaN
,D12,SYBR,,Unkn,,NaN,NaN
,E01,SYBR,,Unkn,,17.1379062753083,NaN
,E02,SYBR,,Unkn,,33.8263568069825,NaN
,E03,SYBR,,Unkn,,16.779743877621,NaN
,E04,SYBR,,Unkn,,18.3048685274093,NaN
,E05,SYBR,,Unkn,,18.2034193222336,NaN
,E06,SYBR,,Unkn,,NaN,NaN
,E07,SYBR,,Unkn,,NaN,NaN
,E08,SYBR,,Unkn,,NaN,NaN
,E09,SYBR,,Unkn,,NaN,NaN
,E10,SYBR,,Unkn,,NaN,NaN
,E11,SYBR,,Unkn,,NaN,NaN
,E12,SYBR,,Unkn,,NaN,NaN
,F01,SYBR,,Unkn,,17.3205728622181,NaN
,F02,SYBR,,Unkn,,17.1960218851862,NaN
,F03,SYBR,,Unkn,,16.9784244745046,NaN
,F04,SYBR,,Unkn,,18.4312474535091,NaN
,F05,SYBR,,Unkn,,18.2444107561884,NaN
,F06,SYBR,,Unkn,,NaN,NaN
,F07,SYBR,,Unkn,,NaN,NaN
,F08,SYBR,,Unkn,,NaN,NaN
,F09,SYBR,,Unkn,,NaN,NaN
,F10,SYBR,,Unkn,,NaN,NaN
,F11,SYBR,,Unkn,,NaN,NaN
,F12,SYBR,,Unkn,,NaN,NaN
,G01,SYBR,,Unkn,,17.0833571877573,NaN
,G02,SYBR,,Unkn,,16.8981387780998,NaN
,G03,SYBR,,Unkn,,39.7341020499613,NaN
,G04,SYBR,,Unkn,,18.4316895359373,NaN
,G05,SYBR,,Unkn,,18.2506491620732,NaN
,G06,SYBR,,Unkn,,NaN,NaN
,G07,SYBR,,Unkn,,NaN,NaN
,G08,SYBR,,Unkn,,NaN,NaN
,G09,SYBR,,Unkn,,NaN,NaN
,G10,SYBR,,Unkn,,NaN,NaN
,G11,SYBR,,Unkn,,NaN,NaN
,G12,SYBR,,Unkn,,NaN,NaN
,H01,SYBR,,Unkn,,17.3657575776727,NaN
,H02,SYBR,,Unkn,,17.1211221478198,NaN
,H03,SYBR,,Unkn,,39.6136971487948,NaN
,H04,SYBR,,Unkn,,18.5806698698729,NaN
,H05,SYBR,,Unkn,,19.0017809298872,NaN
,H06,SYBR,,Unkn,,NaN,NaN
,H07,SYBR,,Unkn,,NaN,NaN
,H08,SYBR,,Unkn,,NaN,NaN
,H09,SYBR,,Unkn,,NaN,NaN
,H10,SYBR,,Unkn,,NaN,NaN
,H11,SYBR,,Unkn,,NaN,NaN
,H12,SYBR,,Unkn,,NaN,NaN
