row,column,strain,isolate,amplicon,amplicon2,Rep
A,1,PCR_NEG,NA,LL007_LL004,eCitrine,1
B,1,RT_NEG,NA,LL007_LL004,eCitrine,1
C,1,Y66,3,LL007_LL004,eCitrine,1
D,1,Y66,3,LL007_LL004,eCitrine,2
E,1,Y66,3,LL007_LL004,eCitrine,3
F,1,Y66,5,LL007_LL004,eCitrine,1
G,1,Y66,5,LL007_LL004,eCitrine,2
H,1,Y66,5,LL007_LL004,eCitrine,3
A,2,Y66,6,LL007_LL004,eCitrine,1
B,2,Y66,6,LL007_LL004,eCitrine,2
C,2,Y66,6,LL007_LL004,eCitrine,3
D,2,PCR_NEG,NA,LL009_LL004,eCitrine,1
E,2,RT_NEG,NA,LL009_LL004,eCitrine,1
F,2,MIN,3,LL009_LL004,eCitrine,1
G,2,MIN,3,LL009_LL004,eCitrine,2
H,2,MIN,3,LL009_LL004,eCitrine,3
A,3,MIN,5,LL009_LL004,eCitrine,1
B,3,MIN,5,LL009_LL004,eCitrine,2
C,3,MIN,5,LL009_LL004,eCitrine,3
D,3,MIN,6,LL009_LL004,eCitrine,1
E,3,MIN,6,LL009_LL004,eCitrine,2
F,3,MIN,6,LL009_LL004,eCitrine,3
G,3,PCR_NEG,NA,NM268_NM269,mCherry,1
H,3,RT_NEG,NA,NM268_NM269,mCherry,1
A,4,MIN,3,NM268_NM269,mCherry,1
B,4,MIN,3,NM268_NM269,mCherry,2
C,4,MIN,3,NM268_NM269,mCherry,3
D,4,MIN,5,NM268_NM269,mCherry,1
E,4,MIN,5,NM268_NM269,mCherry,2
F,4,MIN,5,NM268_NM269,mCherry,3
G,4,MIN,6,NM268_NM269,mCherry,1
H,4,MIN,6,NM268_NM269,mCherry,2
A,5,MIN,6,NM268_NM269,mCherry,3
B,5,Y66,3,NM268_NM269,mCherry,1
C,5,Y66,3,NM268_NM269,mCherry,2
D,5,Y66,3,NM268_NM269,mCherry,3
E,5,Y66,5,NM268_NM269,mCherry,1
F,5,Y66,5,NM268_NM269,mCherry,2
G,5,Y66,5,NM268_NM269,mCherry,3
H,5,Y66,6,NM268_NM269,mCherry,1
A,6,Y66,6,NM268_NM269,mCherry,2
B,6,Y66,6,NM268_NM269,mCherry,3
