,Well,Fluor,Target,Content,Sample,Biological Set Name,Cq,Cq Mean,Cq Std. Dev,Starting Quantity (SQ),Log Starting Quantity,SQ Mean,SQ Std. Dev,Set Point,Well Note
,A01,SYBR,citMin,Unkn,HO-Ci,,15.4896763733041,15.4896763733041,0,NaN,NaN,NaN,0,72,
,A02,SYBR,citMin,Unkn,HO-Ci,,15.8002127309091,15.8002127309091,0,NaN,NaN,NaN,0,72,
,A03,SYBR,citMin,Unkn,HO-Ci,,15.4055440078068,15.4055440078068,0,NaN,NaN,NaN,0,72,
,A04,SYBR,cit9,Unkn,HO-C9,,16.7036105959246,16.7036105959246,0,NaN,NaN,NaN,0,72,
,A05,SYBR,cit9,Unkn,HO-C9,,16.6043512299245,16.6043512299245,0,NaN,NaN,NaN,0,72,
,A06,SYBR,cit9,Unkn,HO-C9,,17.0776972831242,17.0776972831242,0,NaN,NaN,NaN,0,72,
,A07,SYBR,mCherry,Unkn,HO-Ci,,14.6187628775644,14.6187628775644,0,NaN,NaN,NaN,0,72,
,A08,SYBR,mCherry,Unkn,HO-Ci,,15.2158000774583,15.2158000774583,0,NaN,NaN,NaN,0,72,
,A09,SYBR,mCherry,Unkn,HO-Ci,,14.9012740558598,14.9012740558598,0,NaN,NaN,NaN,0,72,
,A10,SYBR,mCherry,Unkn,HO-C9,,14.438523160151,14.438523160151,0,NaN,NaN,NaN,0,72,
,A11,SYBR,mCherry,Unkn,HO-C9,,14.4261777645637,14.4261777645637,0,NaN,NaN,NaN,0,72,
,A12,SYBR,mCherry,Unkn,HO-C9,,15.0130089453651,15.0130089453651,0,NaN,NaN,NaN,0,72,
,B01,SYBR,citMin,Unkn,HO-Ci,,15.4434316768732,15.4434316768732,0,NaN,NaN,NaN,0,72,
,B02,SYBR,citMin,Unkn,HO-Ci,,15.7542301883455,15.7542301883455,0,NaN,NaN,NaN,0,72,
,B03,SYBR,citMin,Unkn,HO-Ci,,15.421633475462,15.421633475462,0,NaN,NaN,NaN,0,72,
