,,1,2,3,4,5,6,7,8,9,10,11,12
A,Content,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn
A,Sample,HO-Ci,HO-Ci,HO-Ci,HO-C9,HO-C9,HO-C9,HO-Ci,HO-Ci,HO-Ci,HO-C9,HO-C9,HO-C9
A,Cq,15.4896763733041,15.8002127309091,15.4055440078068,16.7036105959246,16.6043512299245,17.0776972831242,14.6187628775644,15.2158000774583,14.9012740558598,14.438523160151,14.4261777645637,15.0130089453651
A,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
B,Content,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn
B,Sample,HO-Ci,HO-Ci,HO-Ci,HO-C9,HO-C9,HO-C9,HO-Ci,HO-Ci,HO-Ci,HO-C9,HO-C9,HO-C9
B,Cq,15.4434316768732,15.7542301883455,15.421633475462,16.446382129695,16.2661430807447,17.0004454105984,14.5460343396229,15.1108726030505,14.7091781003582,14.7677754738593,14.2696925554904,15.0619003964908
B,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
C,Content,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn
C,Sample,HO-Ci,HO-Ci,HO-Ci,HO-C9,HO-C9,HO-C9,HO-Ci,HO-Ci,HO-Ci,HO-C9,HO-C9,HO-C9
C,Cq,15.3681110538107,15.6039959475625,15.1135360002101,16.290937851578,16.1464652132952,16.7697654425706,14.4390217438342,15.1171469316262,14.9483297176866,14.6042719381314,14.3390214659724,14.9979284113227
C,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
D,Content,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn
D,Sample,FUN12-Ci,FUN12-Ci,FUN12-Ci,FUN12-C9,FUN12-C9,FUN12-C9,FUN12-Ci,FUN12-Ci,FUN12-Ci,FUN12-C9,FUN12-C9,FUN12-C9
D,Cq,14.4988504317135,14.4851078390247,15.1166048933516,15.9212391506797,15.8397181474923,16.001064102699,14.2029833703184,14.4711801718944,14.8787785539462,13.4124856930208,15.271568476314,14.9466321973122
D,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
E,Content,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn
E,Sample,FUN12-Ci,FUN12-Ci,FUN12-Ci,FUN12-C9,FUN12-C9,FUN12-C9,FUN12-Ci,FUN12-Ci,FUN12-Ci,FUN12-C9,FUN12-C9,FUN12-C9
E,Cq,14.9342589909366,14.6246035041787,15.0265018746545,15.763737442068,15.8910141174016,15.9318297968132,14.2284743899552,14.4212547488179,15.2879085615272,13.396224572954,15.373449659282,15.0005208190089
E,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
F,Content,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn
F,Sample,FUN12-Ci,FUN12-Ci,FUN12-Ci,FUN12-C9,FUN12-C9,FUN12-C9,FUN12-Ci,FUN12-Ci,FUN12-Ci,FUN12-C9,FUN12-C9,FUN12-C9
F,Cq,14.4690806211808,14.6051866851887,15.0237209558242,15.5424203082367,15.9492767031309,16.0226057224288,14.0832787652026,14.4511950846497,14.9312066489688,13.3299549616835,15.2892279748971,14.8468116560734
F,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
G,Content,NTC,NTC,NTC,NTC,NTC,NTC,NTC,NTC,NTC,,,
G,Sample,NTC,NTC,NTC,NTC,NTC,NTC,NTC,NTC,NTC,,,
G,Cq,NaN,NaN,NaN,NaN,35.4260721338962,NaN,NaN,35.8222335098526,NaN,,,
G,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,
H,Content,,,,,,,,,,,,
H,Sample,,,,,,,,,,,,
H,Cq,,,,,,,,,,,,
H,,,,,,,,,,,,,
