,Well,Fluor,Target,Content,Sample,Melt Temp
,A01,SYBR,citMin,Unkn,HO-Ci,81
,A02,SYBR,citMin,Unkn,HO-Ci,81
,A03,SYBR,citMin,Unkn,HO-Ci,81
,A04,SYBR,cit9,Unkn,HO-C9,80.5
,A05,SYBR,cit9,Unkn,HO-C9,80.5
,A06,SYBR,cit9,Unkn,HO-C9,80.5
,A07,SYBR,mCherry,Unkn,HO-Ci,84.5
,A08,SYBR,mCherry,Unkn,HO-Ci,84.5
,A09,SYBR,mCherry,Unkn,HO-Ci,84.5
,A10,SYBR,mCherry,Unkn,HO-C9,84.5
,A11,SYBR,mCherry,Unkn,HO-C9,84.5
,A12,SYBR,mCherry,Unkn,HO-C9,85
,B01,SYBR,citMin,Unkn,HO-Ci,81
,B02,SYBR,citMin,Unkn,HO-Ci,81
,B03,SYBR,citMin,Unkn,HO-Ci,81
,B04,SYBR,cit9,Unkn,HO-C9,80.5
,B05,SYBR,cit9,Unkn,HO-C9,80.5
,B06,SYBR,cit9,Unkn,HO-C9,80.5
,B07,SYBR,mCherry,Unkn,HO-Ci,84.5
,B08,SYBR,mCherry,Unkn,HO-Ci,84.5
,B09,SYBR,mCherry,Unkn,HO-Ci,84.5
,B10,SYBR,mCherry,Unkn,HO-C9,84.5
,B11,SYBR,mCherry,Unkn,HO-C9,84.5
,B12,SYBR,mCherry,Unkn,HO-C9,84.5
,C01,SYBR,citMin,Unkn,HO-Ci,81
,C02,SYBR,citMin,Unkn,HO-Ci,81
,C03,SYBR,citMin,Unkn,HO-Ci,81
,C04,SYBR,cit9,Unkn,HO-C9,80.5
,C05,SYBR,cit9,Unkn,HO-C9,80.5
,C06,SYBR,cit9,Unkn,HO-C9,80.5
,C07,SYBR,mCherry,Unkn,HO-Ci,84.5
,C08,SYBR,mCherry,Unkn,HO-Ci,84.5
,C09,SYBR,mCherry,Unkn,HO-Ci,84.5
,C10,SYBR,mCherry,Unkn,HO-C9,84.5
,C11,SYBR,mCherry,Unkn,HO-C9,84.5
,C12,SYBR,mCherry,Unkn,HO-C9,84.5
,D01,SYBR,citMin,Unkn,RPG1-Ci,81
,D02,SYBR,citMin,Unkn,RPG1-Ci,81
,D03,SYBR,citMin,Unkn,RPG1-Ci,81
,D04,SYBR,cit9,Unkn,RPG1-C9,80.5
,D05,SYBR,cit9,Unkn,RPG1-C9,80.5
,D06,SYBR,cit9,Unkn,RPG1-C9,80.5
,D07,SYBR,mCherry,Unkn,RPG1-Ci,84.5
,D08,SYBR,mCherry,Unkn,RPG1-Ci,84.5
,D09,SYBR,mCherry,Unkn,RPG1-Ci,84.5
,D10,SYBR,mCherry,Unkn,RPG1-C9,84.5
,D11,SYBR,mCherry,Unkn,RPG1-C9,84.5
,D12,SYBR,mCherry,Unkn,RPG1-C9,85
,E01,SYBR,citMin,Unkn,RPG1-Ci,81
,E02,SYBR,citMin,Unkn,RPG1-Ci,81
,E03,SYBR,citMin,Unkn,RPG1-Ci,81
,E04,SYBR,cit9,Unkn,RPG1-C9,80.5
,E05,SYBR,cit9,Unkn,RPG1-C9,80.5
,E06,SYBR,cit9,Unkn,RPG1-C9,80.5
,E07,SYBR,mCherry,Unkn,RPG1-Ci,84.5
,E08,SYBR,mCherry,Unkn,RPG1-Ci,84.5
,E09,SYBR,mCherry,Unkn,RPG1-Ci,84.5
,E10,SYBR,mCherry,Unkn,RPG1-C9,84.5
,E11,SYBR,mCherry,Unkn,RPG1-C9,84.5
,E12,SYBR,mCherry,Unkn,RPG1-C9,85
,F01,SYBR,citMin,Unkn,RPG1-Ci,81
,F02,SYBR,citMin,Unkn,RPG1-Ci,81
,F03,SYBR,citMin,Unkn,RPG1-Ci,81
,F04,SYBR,cit9,Unkn,RPG1-C9,80.5
,F05,SYBR,cit9,Unkn,RPG1-C9,80.5
,F06,SYBR,cit9,Unkn,RPG1-C9,80.5
,F07,SYBR,mCherry,Unkn,RPG1-Ci,84.5
,F08,SYBR,mCherry,Unkn,RPG1-Ci,84.5
,F09,SYBR,mCherry,Unkn,RPG1-Ci,84.5
,F10,SYBR,mCherry,Unkn,RPG1-C9,84.5
,F11,SYBR,mCherry,Unkn,RPG1-C9,84.5
,F12,SYBR,mCherry,Unkn,RPG1-C9,85
,G01,SYBR,citMin,NTC,NTC,None
,G02,SYBR,cit9,NTC,NTC,None
,G03,SYBR,mCherry,NTC,NTC,None
,G04,SYBR,citMin,NTC,NTC,None
,G05,SYBR,cit9,NTC,NTC,None
,G06,SYBR,mCherry,NTC,NTC,None
,G07,SYBR,citMin,NTC,NTC,None
,G08,SYBR,cit9,NTC,NTC,80
,G09,SYBR,mCherry,NTC,NTC,None
