,Well,Fluor,Target,Content,Sample,Cq,SQ
,A01,SYBR,citMin,Unkn,HO-Ci,15.8352039091121,NaN
,A02,SYBR,citMin,Unkn,HO-Ci,15.5616609799488,NaN
,A03,SYBR,citMin,Unkn,HO-Ci,15.6460032272543,NaN
,A04,SYBR,cit9,Unkn,HO-C9,16.9285955690279,NaN
,A05,SYBR,cit9,Unkn,HO-C9,17.06477613062,NaN
,A06,SYBR,cit9,Unkn,HO-C9,17.4143206246023,NaN
,A07,SYBR,mCherry,Unkn,HO-Ci,14.9970713746611,NaN
,A08,SYBR,mCherry,Unkn,HO-Ci,15.1717778021183,NaN
,A09,SYBR,mCherry,Unkn,HO-Ci,15.0426777322546,NaN
,A10,SYBR,mCherry,Unkn,HO-C9,14.9898586992633,NaN
,A11,SYBR,mCherry,Unkn,HO-C9,14.5129030100428,NaN
,A12,SYBR,mCherry,Unkn,HO-C9,15.3147125609626,NaN
,B01,SYBR,citMin,Unkn,HO-Ci,15.5935260146663,NaN
,B02,SYBR,citMin,Unkn,HO-Ci,15.5689799016806,NaN
,B03,SYBR,citMin,Unkn,HO-Ci,15.4997771877627,NaN
,B04,SYBR,cit9,Unkn,HO-C9,16.7629223146919,NaN
,B05,SYBR,cit9,Unkn,HO-C9,16.6822395603544,NaN
,B06,SYBR,cit9,Unkn,HO-C9,17.166860782876,NaN
,B07,SYBR,mCherry,Unkn,HO-Ci,14.8127628371237,NaN
,B08,SYBR,mCherry,Unkn,HO-Ci,14.921164403634,NaN
,B09,SYBR,mCherry,Unkn,HO-Ci,14.9258916536598,NaN
,B10,SYBR,mCherry,Unkn,HO-C9,14.9519918311424,NaN
,B11,SYBR,mCherry,Unkn,HO-C9,14.498790017189,NaN
,B12,SYBR,mCherry,Unkn,HO-C9,15.091144903682,NaN
,C01,SYBR,citMin,Unkn,HO-Ci,15.4989512421275,NaN
,C02,SYBR,citMin,Unkn,HO-Ci,15.5191621176708,NaN
,C03,SYBR,citMin,Unkn,HO-Ci,15.322350005039,NaN
,C04,SYBR,cit9,Unkn,HO-C9,16.6286367302889,NaN
,C05,SYBR,cit9,Unkn,HO-C9,16.4416568173417,NaN
,C06,SYBR,cit9,Unkn,HO-C9,17.0814132555329,NaN
,C07,SYBR,mCherry,Unkn,HO-Ci,14.7482683552181,NaN
,C08,SYBR,mCherry,Unkn,HO-Ci,14.9829980591656,NaN
,C09,SYBR,mCherry,Unkn,HO-Ci,15.0365933513464,NaN
,C10,SYBR,mCherry,Unkn,HO-C9,14.8599899655867,NaN
,C11,SYBR,mCherry,Unkn,HO-C9,14.4745130221766,NaN
,C12,SYBR,mCherry,Unkn,HO-C9,15.2340057717597,NaN
,D01,SYBR,citMin,Unkn,RPG1-Ci,16.1483641930158,NaN
,D02,SYBR,citMin,Unkn,RPG1-Ci,14.7351246143508,NaN
,D03,SYBR,citMin,Unkn,RPG1-Ci,15.7358538478318,NaN
,D04,SYBR,cit9,Unkn,RPG1-C9,18.0532595350007,NaN
,D05,SYBR,cit9,Unkn,RPG1-C9,16.045849894355,NaN
,D06,SYBR,cit9,Unkn,RPG1-C9,16.0636431889936,NaN
,D07,SYBR,mCherry,Unkn,RPG1-Ci,14.9765759910091,NaN
,D08,SYBR,mCherry,Unkn,RPG1-Ci,14.4097994098929,NaN
,D09,SYBR,mCherry,Unkn,RPG1-Ci,14.855320746806,NaN
,D10,SYBR,mCherry,Unkn,RPG1-C9,15.5219153606745,NaN
,D11,SYBR,mCherry,Unkn,RPG1-C9,14.3306177179338,NaN
,D12,SYBR,mCherry,Unkn,RPG1-C9,14.0316693098981,NaN
,E01,SYBR,citMin,Unkn,RPG1-Ci,15.7048947315313,NaN
,E02,SYBR,citMin,Unkn,RPG1-Ci,14.7429335002171,NaN
,E03,SYBR,citMin,Unkn,RPG1-Ci,15.5009923180515,NaN
,E04,SYBR,cit9,Unkn,RPG1-C9,17.8305390450855,NaN
,E05,SYBR,cit9,Unkn,RPG1-C9,16.0141016069175,NaN
,E06,SYBR,cit9,Unkn,RPG1-C9,16.081299319654,NaN
,E07,SYBR,mCherry,Unkn,RPG1-Ci,15.1088849331571,NaN
,E08,SYBR,mCherry,Unkn,RPG1-Ci,14.2962667927037,NaN
,E09,SYBR,mCherry,Unkn,RPG1-Ci,14.8677664429383,NaN
,E10,SYBR,mCherry,Unkn,RPG1-C9,15.5707802089054,NaN
,E11,SYBR,mCherry,Unkn,RPG1-C9,14.4064567354273,NaN
,E12,SYBR,mCherry,Unkn,RPG1-C9,14.136498794303,NaN
,F01,SYBR,citMin,Unkn,RPG1-Ci,15.827342434395,NaN
,F02,SYBR,citMin,Unkn,RPG1-Ci,14.7493819662554,NaN
,F03,SYBR,citMin,Unkn,RPG1-Ci,15.7091989966699,NaN
,F04,SYBR,cit9,Unkn,RPG1-C9,17.6717459861166,NaN
,F05,SYBR,cit9,Unkn,RPG1-C9,16.1652522193654,NaN
,F06,SYBR,cit9,Unkn,RPG1-C9,16.0258688547569,NaN
,F07,SYBR,mCherry,Unkn,RPG1-Ci,15.0496001321389,NaN
,F08,SYBR,mCherry,Unkn,RPG1-Ci,14.3150439725463,NaN
,F09,SYBR,mCherry,Unkn,RPG1-Ci,15.0696290411148,NaN
,F10,SYBR,mCherry,Unkn,RPG1-C9,15.4513738415909,NaN
,F11,SYBR,mCherry,Unkn,RPG1-C9,14.23806957961,NaN
,F12,SYBR,mCherry,Unkn,RPG1-C9,13.9151614073236,NaN
,G01,SYBR,citMin,NTC,NTC,NaN,NaN
,G02,SYBR,cit9,NTC,NTC,36.9223768209945,NaN
,G03,SYBR,mCherry,NTC,NTC,NaN,NaN
,G04,SYBR,citMin,NTC,NTC,NaN,NaN
,G05,SYBR,cit9,NTC,NTC,36.5209348662245,NaN
,G06,SYBR,mCherry,NTC,NTC,NaN,NaN
,G07,SYBR,citMin,NTC,NTC,NaN,NaN
,G08,SYBR,cit9,NTC,NTC,35.4592515520729,NaN
,G09,SYBR,mCherry,NTC,NTC,NaN,NaN
