.id,area,n
A10_A10.fcs,area 1,48
A10_A10.fcs,area 2,1305
A10_A10.fcs,area 3,6036
A10_A10.fcs,area 4,69
A10_A10.fcs,area 5,117
A11_A11.fcs,area 1,749
A11_A11.fcs,area 2,6583
A11_A11.fcs,area 3,58
A12_A12.fcs,area 1,727
A12_A12.fcs,area 2,6351
A12_A12.fcs,area 3,45
A7_A07.fcs,area 1,1077
A7_A07.fcs,area 2,7175
A7_A07.fcs,area 3,878
A8_A08.fcs,area 1,580
A8_A08.fcs,area 2,1464
A8_A08.fcs,area 3,225
A8_A08.fcs,area 4,4667
A8_A08.fcs,area 5,688
A9_A09.fcs,area 1,867
A9_A09.fcs,area 2,6238
A9_A09.fcs,area 3,635
B10_B10.fcs,area 1,1283
B10_B10.fcs,area 2,106
B10_B10.fcs,area 3,8624
B10_B10.fcs,area 4,473
B10_B10.fcs,area 5,1785
B11_B11.fcs,area 1,492
B11_B11.fcs,area 2,135
B11_B11.fcs,area 3,6023
B11_B11.fcs,area 4,95
B11_B11.fcs,area 5,727
B12_B12.fcs,area 1,200
B12_B12.fcs,area 2,388
B12_B12.fcs,area 3,6133
B12_B12.fcs,area 4,2443
B12_B12.fcs,area 5,218
B12_B12.fcs,area 6,55
B12_B12.fcs,area 7,75
B7_B07.fcs,area 1,1466
B7_B07.fcs,area 2,6877
B7_B07.fcs,area 3,149
B7_B07.fcs,area 4,550
B8_B08.fcs,area 1,845
B8_B08.fcs,area 2,1032
B8_B08.fcs,area 3,4638
B8_B08.fcs,area 4,972
B9_B09.fcs,area 1,849
B9_B09.fcs,area 2,6531
B9_B09.fcs,area 3,254
B9_B09.fcs,area 4,78
C7_C07.fcs,area 1,1960
C7_C07.fcs,area 2,1518
C7_C07.fcs,area 3,4099
C7_C07.fcs,area 4,793
Run 1_C10_C10.fcs,area 1,89
Run 1_C10_C10.fcs,area 2,881
Run 1_C10_C10.fcs,area 3,6874
Run 1_C10_C10.fcs,area 4,386
Run 1_C10_C10.fcs,area 5,159
Run 1_C10_C10.fcs,area 6,147
Run 1_C10_C10.fcs,area 7,208
Run 1_C11_C11.fcs,area 1,1000
Run 1_C11_C11.fcs,area 2,5046
Run 1_C11_C11.fcs,area 3,107
Run 1_C11_C11.fcs,area 4,382
Run 1_C12_C12.fcs,area 1,333
Run 1_C12_C12.fcs,area 2,89
Run 1_C12_C12.fcs,area 3,438
Run 1_C12_C12.fcs,area 4,5774
Run 1_C8_C08.fcs,area 1,836
Run 1_C8_C08.fcs,area 2,6670
Run 1_C8_C08.fcs,area 3,1745
Run 1_C8_C08.fcs,area 4,843
Run 1_C8_C08.fcs,area 5,76
Run 1_C9_C09.fcs,area 1,2422
Run 1_C9_C09.fcs,area 2,4668
Run 1_D10_D10.fcs,area 1,1524
Run 1_D10_D10.fcs,area 2,5959
Run 1_D10_D10.fcs,area 3,319
Run 1_D10_D10.fcs,area 4,95
Run 1_D11_D11.fcs,area 1,120
Run 1_D11_D11.fcs,area 2,183
