,Well,Fluor,Target,Content,Sample,End RFU,Call,Sample Type,CallType,Is Control
,A01,SYBR,citMin,Unkn,HO-Ci,1004.56511509844,,Unknown,Unassigned,False
,A02,SYBR,citMin,Unkn,HO-Ci,1029.45266694527,,Unknown,Unassigned,False
,A03,SYBR,citMin,Unkn,HO-Ci,1043.50253128589,,Unknown,Unassigned,False
,A04,SYBR,cit9,Unkn,HO-C9,1062.48624180392,,Unknown,Unassigned,False
,A05,SYBR,cit9,Unkn,HO-C9,980.460087267763,,Unknown,Unassigned,False
,A06,SYBR,cit9,Unkn,HO-C9,1074.38980411044,,Unknown,Unassigned,False
,A07,SYBR,mCherry,Unkn,HO-Ci,1203.48259569848,,Unknown,Unassigned,False
,A08,SYBR,mCherry,Unkn,HO-Ci,1163.19472706173,,Unknown,Unassigned,False
,A09,SYBR,mCherry,Unkn,HO-Ci,1143.94268990014,,Unknown,Unassigned,False
,A10,SYBR,mCherry,Unkn,HO-C9,1067.30801924628,,Unknown,Unassigned,False
,A11,SYBR,mCherry,Unkn,HO-C9,1057.28899508826,,Unknown,Unassigned,False
,A12,SYBR,mCherry,Unkn,HO-C9,1055.57638598097,,Unknown,Unassigned,False
,B01,SYBR,citMin,Unkn,HO-Ci,990.502321104997,,Unknown,Unassigned,False
,B02,SYBR,citMin,Unkn,HO-Ci,1005.04875681073,,Unknown,Unassigned,False
,B03,SYBR,citMin,Unkn,HO-Ci,1027.56503555,,Unknown,Unassigned,False
,B04,SYBR,cit9,Unkn,HO-C9,1134.55319575974,,Unknown,Unassigned,False
,B05,SYBR,cit9,Unkn,HO-C9,1121.0401783935,,Unknown,Unassigned,False
,B06,SYBR,cit9,Unkn,HO-C9,1181.73040686153,,Unknown,Unassigned,False
,B07,SYBR,mCherry,Unkn,HO-Ci,1245.20836508711,,Unknown,Unassigned,False
,B08,SYBR,mCherry,Unkn,HO-Ci,1248.04423027594,,Unknown,Unassigned,False
,B09,SYBR,mCherry,Unkn,HO-Ci,1221.55177887238,,Unknown,Unassigned,False
,B10,SYBR,mCherry,Unkn,HO-C9,1090.37458834768,,Unknown,Unassigned,False
,B11,SYBR,mCherry,Unkn,HO-C9,1112.21415860448,,Unknown,Unassigned,False
,B12,SYBR,mCherry,Unkn,HO-C9,1060.8465249687,,Unknown,Unassigned,False
,C01,SYBR,citMin,Unkn,HO-Ci,1002.03083197855,,Unknown,Unassigned,False
,C02,SYBR,citMin,Unkn,HO-Ci,1096.47526727605,,Unknown,Unassigned,False
,C03,SYBR,citMin,Unkn,HO-Ci,1167.12829849267,,Unknown,Unassigned,False
,C04,SYBR,cit9,Unkn,HO-C9,1170.3119771279,,Unknown,Unassigned,False
,C05,SYBR,cit9,Unkn,HO-C9,1159.02962038238,,Unknown,Unassigned,False
,C06,SYBR,cit9,Unkn,HO-C9,1159.84870615263,,Unknown,Unassigned,False
,C07,SYBR,mCherry,Unkn,HO-Ci,1337.42206047353,,Unknown,Unassigned,False
,C08,SYBR,mCherry,Unkn,HO-Ci,1209.50521304169,,Unknown,Unassigned,False
,C09,SYBR,mCherry,Unkn,HO-Ci,1178.59577852573,,Unknown,Unassigned,False
,C10,SYBR,mCherry,Unkn,HO-C9,1127.9334387987,,Unknown,Unassigned,False
,C11,SYBR,mCherry,Unkn,HO-C9,1148.43551602731,,Unknown,Unassigned,False
,C12,SYBR,mCherry,Unkn,HO-C9,1096.48867112063,,Unknown,Unassigned,False
,D01,SYBR,citMin,Unkn,FUN12-Ci,1043.43121650687,,Unknown,Unassigned,False
,D02,SYBR,citMin,Unkn,FUN12-Ci,1169.9853839205,,Unknown,Unassigned,False
,D03,SYBR,citMin,Unkn,FUN12-Ci,1072.18105395479,,Unknown,Unassigned,False
,D04,SYBR,cit9,Unkn,FUN12-C9,1072.5462069754,,Unknown,Unassigned,False
,D05,SYBR,cit9,Unkn,FUN12-C9,1126.93953169111,,Unknown,Unassigned,False
,D06,SYBR,cit9,Unkn,FUN12-C9,1135.57712605257,,Unknown,Unassigned,False
,D07,SYBR,mCherry,Unkn,FUN12-Ci,1213.47015706342,,Unknown,Unassigned,False
,D08,SYBR,mCherry,Unkn,FUN12-Ci,1191.46822896076,,Unknown,Unassigned,False
,D09,SYBR,mCherry,Unkn,FUN12-Ci,1184.77776656898,,Unknown,Unassigned,False
,D10,SYBR,mCherry,Unkn,FUN12-C9,1185.75695391088,,Unknown,Unassigned,False
,D11,SYBR,mCherry,Unkn,FUN12-C9,1155.39700258489,,Unknown,Unassigned,False
,D12,SYBR,mCherry,Unkn,FUN12-C9,1201.45898671534,,Unknown,Unassigned,False
,E01,SYBR,citMin,Unkn,FUN12-Ci,943.989608270571,,Unknown,Unassigned,False
,E02,SYBR,citMin,Unkn,FUN12-Ci,1114.15905438122,,Unknown,Unassigned,False
,E03,SYBR,citMin,Unkn,FUN12-Ci,1134.68142024553,,Unknown,Unassigned,False
,E04,SYBR,cit9,Unkn,FUN12-C9,1120.9417153752,,Unknown,Unassigned,False
,E05,SYBR,cit9,Unkn,FUN12-C9,1142.34041432549,,Unknown,Unassigned,False
,E06,SYBR,cit9,Unkn,FUN12-C9,1118.8160059098,,Unknown,Unassigned,False
,E07,SYBR,mCherry,Unkn,FUN12-Ci,1229.25816768635,,Unknown,Unassigned,False
,E08,SYBR,mCherry,Unkn,FUN12-Ci,1224.747988851,,Unknown,Unassigned,False
,E09,SYBR,mCherry,Unkn,FUN12-Ci,1210.58200599051,,Unknown,Unassigned,False
,E10,SYBR,mCherry,Unkn,FUN12-C9,1187.83795534676,,Unknown,Unassigned,False
,E11,SYBR,mCherry,Unkn,FUN12-C9,1125.29086065553,,Unknown,Unassigned,False
,E12,SYBR,mCherry,Unkn,FUN12-C9,1161.31614756214,,Unknown,Unassigned,False
,F01,SYBR,citMin,Unkn,FUN12-Ci,1003.62116452924,,Unknown,Unassigned,False
,F02,SYBR,citMin,Unkn,FUN12-Ci,1084.39729048691,,Unknown,Unassigned,False
,F03,SYBR,citMin,Unkn,FUN12-Ci,1076.44246814397,,Unknown,Unassigned,False
,F04,SYBR,cit9,Unkn,FUN12-C9,1171.4984849203,,Unknown,Unassigned,False
,F05,SYBR,cit9,Unkn,FUN12-C9,1133.12932829611,,Unknown,Unassigned,False
,F06,SYBR,cit9,Unkn,FUN12-C9,1131.17064275636,,Unknown,Unassigned,False
