,Temperature,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,G1,G2,G3,G4,G5,G6,G7,G8,G9
,72,3673.92987415758,3748.53318402347,3816.75342237399,3794.5691734353,4122.44224483954,3833.95968228191,3939.33068994952,3888.0737842076,3874.95713262199,3767.26812889755,3748.93618395336,3774.34872222163,3731.26370183229,3784.456823681,3751.07567112747,3821.47781735352,3870.13362974407,3990.57818281972,3977.8312565195,3996.06816942934,3950.47515949149,3816.1330876026,3774.32344709979,3729.87417363149,3717.98243086371,3798.33892697964,3852.84402903645,3886.55970470086,3879.59118064235,3875.42474186822,4070.85213995962,3936.06761814727,3878.77544104227,3802.68433319151,3816.46032772806,3836.55622795519,3793.54381477359,3904.98275130592,3967.99427867771,3789.23460020886,3872.27681711941,3857.41329384993,3899.42860072849,3910.82281801017,3886.28641497668,3853.91332118928,3829.07345490485,3894.80702705179,3725.48593607493,3854.20256271817,3891.82286181082,3852.852069551,3866.22779480265,3851.03201053399,3965.02504788499,3981.13215997249,3858.97349966793,3928.00376186873,3985.86948431671,3866.44787898678,3702.48620710545,3798.68142148645,4029.8466632862,3887.15493036949,3829.82284587693,3851.51060226743,4048.00581446614,3823.83529200076,3866.11998756453,3896.2030078952,3892.19442910924,3923.68459198027,2459.40901685988,2475.61382385784,2461.95914058751,2502.80847883692,3159.2131591371,2438.28652607836,2471.80551006473,3130.19532384037,2591.29048503375
,72.5,3645.09580379869,3717.4908395111,3784.28754234122,3762.56987142853,4083.0215224866,3801.93930986676,3905.15622242655,3854.92676199354,3843.60095601963,3738.23776757741,3719.10574797962,3744.36962941561,3700.688164553,3753.38228578562,3720.32086908536,3788.73838824934,3837.15750333981,3953.66288749088,3943.95155215093,3961.62501901426,3917.14469813539,3785.42393004975,3743.62025210534,3700.84156860204,3687.81338730341,3765.22298468409,3817.38538975931,3851.20362751354,3845.82390804703,3841.38161150316,4034.81141126921,3903.61290328693,3846.61241682476,3772.65535013651,3784.70673266684,3808.55501411086,3760.62529426458,3869.29798943354,3929.51069851177,3757.61035727556,3838.62807865217,3823.58016513424,3866.92336231312,3878.82406227268,3854.81526087655,3821.74800469029,3796.86432277445,3862.22202748825,3694.35325748264,3820.12848324429,3855.64629587149,3818.83027709912,3832.15232019384,3818.71871704085,3930.59547071546,3947.37806755712,3826.20472479838,3895.07164853797,3948.88694259727,3834.10828131772,3672.54998219589,3766.16401697092,3995.57430382123,3851.74643148096,3796.43937778149,3817.37831331471,4011.95656746951,3793.64282942548,3834.12795177615,3862.38989776856,3858.77912572568,3889.88352405501,2457.79194561322,2473.42742639007,2459.70154949457,2500.08260443046,3136.33834497941,2436.28205313798,2469.48158736561,3108.75560954552,2587.11249960885
,73,3616.2617334398,3686.44849499873,3751.82166230845,3730.57056942175,4043.60080013367,3769.9189374516,3870.98175490357,3821.77973977949,3812.24477941728,3709.20740625727,3689.27531200589,3714.39053660959,3670.11262727371,3722.30774789023,3689.56606704324,3755.99895914516,3804.18137693556,3916.74759216204,3910.07184778236,3927.18186859919,3883.81423677929,3754.71477249689,3712.91705711088,3671.80896357259,3657.64434374311,3732.10704238854,3781.92675048217,3815.84755032623,3812.05663545171,3807.33848113811,3998.7706825788,3871.15818842659,3814.44939260724,3742.62636708152,3752.95313760562,3780.55380026652,3727.70677375556,3833.61322756117,3891.02711834584,3725.98611434226,3804.97934018493,3789.74703641854,3834.41812389775,3846.82530653519,3823.34410677643,3789.58268819131,3764.65519064405,3829.63702792471,3663.22057889034,3786.0544037704,3819.46972993217,3784.80848464724,3798.07684558503,3786.4054235477,3896.16589354593,3913.62397514176,3793.43594992882,3862.13953520721,3911.90440087784,3801.76868364867,3642.61375728633,3733.64661245539,3961.30194435626,3816.33793259244,3763.05590968605,3783.24602436199,3975.90732047288,3763.4503668502,3802.13591598777,3828.57678764191,3825.36382234212,3856.08245612975,2456.17487436656,2471.24102892229,2457.44395840163,2497.35673002401,3113.46353082173,2434.27758019761,2467.15766466649,3087.31589525067,2582.93451418395
,73.5,3587.42766308091,3655.40615048636,3719.35578227567,3698.57126741497,4004.18007778074,3737.89856503645,3836.80728738059,3788.63271756543,3780.88860281492,3680.17704493713,3659.44487603215,3684.41144380356,3639.53708999442,3691.23320999484,3658.81126500112,3723.25953004098,3771.2052505313,3879.8322968332,3876.19214341378,3892.73871818411,3850.48377542319,3724.00561494404,3682.21386211642,3642.77635854314,3627.47530018281,3698.99110009299,3746.46811120502,3780.49147313891,3778.28936285639,3773.29535077306,3962.72995388839,3838.70347356625,3782.28636838972,3712.59738402652,3721.19954254439,3752.55258642219,3694.78825324654,3797.92846568879,3852.54353817991,3694.36187140895,3771.33060171769,3755.91390770284,3801.91288548238,3814.8265507977,3791.8729526763,3757.41737169232,3732.44605851365,3797.05202836117,3632.08790029804,3751.98032429651,3783.29316399284,3750.78669219536,3764.00137097622,3754.09213005456,3861.7363163764,3879.86988272639,3760.66717505926,3829.20742187645,3874.92185915841,3769.42908597961,3612.67753237677,3701.12920793986,3927.02958489129,3780.92943370392,3729.6724415906,3749.11373540927,3939.85807347625,3733.25790427492,3770.14388019939,3794.76367751526,3791.94851895856,3822.28138820449,2454.5578031199,2469.05463145452,2455.18636730869,2494.63085561756,3090.58871666404,2432.27310725723,2464.83374196738,3065.87618095583,2578.75652875905
,74,3558.59359272201,3624.36380597399,3686.8899022429,3666.57196540819,3964.7593554278,3705.87819262129,3802.63281985761,3755.48569535138,3749.53242621257,3651.14668361699,3629.61444005842,3654.43235099754,3608.96155271513,3660.15867209946,3628.056462959,3690.5201009368,3738.22912412705,3842.91700150435,3842.31243904521,3858.29556776903,3817.15331406709,3693.29645739119,3651.51066712196,3613.74375351369,3597.30625662251,3665.87515779744,3711.00947192788,3745.13539595159,3744.52209026107,3739.252220408,3926.68922519799,3806.2487587059,3750.12334417221,3682.56840097153,3689.44594748317,3724.55137257786,3661.86973273752,3762.24370381642,3814.05995801398,3662.73762847565,3737.68186325046,3722.08077898714,3769.40764706701,3782.82779506021,3760.40179857617,3725.25205519333,3700.23692638325,3764.46702879763,3600.95522170574,3717.90624482262,3747.11659805351,3716.76489974347,3729.9258963674,3721.77883656142,3827.30673920687,3846.11579031103,3727.8984001897,3796.27530854569,3837.93931743897,3737.08948831056,3582.7413074672,3668.61180342433,3892.75722542631,3745.5209348154,3696.28897349516,3714.98144645655,3903.80882647962,3703.06544169964,3738.15184441101,3760.95056738862,3758.53321557501,3788.48032027923,2452.94073187323,2466.86823398675,2452.92877621575,2491.90498121111,3067.71390250635,2430.26863431686,2462.50981926826,3044.43646666098,2574.57854333415
,74.5,3529.75952236306,3593.3214614617,3654.42402221016,3634.5726634014,3925.33863307493,3673.85782020622,3768.45835233468,3722.33867313738,3718.17624961013,3622.11632229678,3599.78400408466,3624.45325819155,3578.38601543585,3629.08413420409,3597.30166091687,3657.78067183257,3705.25299772269,3806.00170617553,3808.43273467663,3823.8524173539,3783.82285271089,3662.58729983827,3620.80747212756,3584.71114848424,3567.13721306216,3632.75921550178,3675.55083265076,3709.7793187643,3710.75481766569,3705.20909004305,3890.64849650757,3773.79404384563,3717.96031995466,3652.53941791664,3657.692352422,3696.5501587335,3628.95121222847,3726.55894194409,3775.57637784813,3631.11338554232,3704.03312478322,3688.24765027143,3736.90240865163,3750.82903932274,3728.93064447606,3693.08673869439,3668.02779425291,3731.88202923412,3569.82254311352,3683.83216534874,3710.94003211428,3682.74310729159,3695.85042175858,3689.46554306835,3792.87716203737,3812.36169789561,3695.1296253202,3763.34319521493,3800.95677571952,3704.74989064151,3552.80508255772,3636.0943989088,3858.48486596137,3710.11243592683,3662.90550539963,3680.84915750384,3867.75957948302,3672.87297912438,3706.15980862262,3727.13745726196,3725.11791219143,3754.67925235394,2451.32366062653,2464.68183651901,2450.67118512282,2489.17910680467,3044.83908834869,2428.2641613765,2460.18589656911,3022.9967523661,2570.40055790925
,75,3500.92545200417,3562.27911694934,3621.95814217739,3602.57336139463,3885.91791072199,3641.83744779106,3734.2838848117,3689.19165092332,3686.82007300777,3593.08596097664,3569.95356811092,3594.47416538553,3547.81047815656,3598.0095963087,3566.54685887475,3625.04124272839,3672.27687131844,3769.08641084669,3774.55303030806,3789.40926693882,3750.4923913548,3631.87814228541,3590.1042771331,3555.67854345479,3536.96816950186,3599.64327320623,3640.09219337361,3674.42324157699,3676.98754507037,3671.165959678,3854.60776781716,3741.33932898529,3685.79729573714,3622.51043486164,3625.93875736078,3668.54894488917,3596.03269171945,3690.87418007172,3737.09279768219,3599.48914260902,3670.38438631598,3654.41452155573,3704.39717023626,3718.83028358524,3697.45949037593,3660.9214221954,3635.81866212251,3699.29702967058,3538.68986452123,3649.75808587485,3674.76346617495,3648.72131483971,3661.77494714977,3657.15224957521,3758.44758486784,3778.60760548024,3662.36085045064,3730.41108188417,3763.97423400008,3672.41029297245,3522.86885764816,3603.57699439328,3824.2125064964,3674.70393703831,3629.52203730419,3646.71686855112,3831.71033248639,3642.6805165491,3674.16777283424,3693.32434713531,3691.70260880787,3720.87818442868,2449.70658937987,2462.49543905124,2448.41359402988,2486.45323239821,3021.964274191,2426.25968843612,2457.86197386999,3001.55703807125,2566.22257248434
,75.5,3472.69443901189,3531.58676450516,3589.85182132782,3570.76496402571,3846.58167681121,3609.2962481029,3700.21143665056,3656.6133293073,3656.22075846151,3564.64996754564,3540.45308603408,3565.00633359954,3517.44012287732,3566.78327102613,3536.0397980483,3591.92676277875,3639.53490991564,3732.49730612571,3740.76169023113,3755.14279469456,3717.04910866203,3601.88067005671,3559.69586188774,3527.34342133041,3506.44425691061,3566.54631295616,3605.13019205657,3639.36194297966,3643.24777192328,3637.27900028672,3818.86923558168,3709.26199021399,3653.73335850433,3592.93200172109,3594.18681154089,3639.80508316477,3563.20279504321,3654.93768467342,3698.41738404672,3567.70230996054,3637.06522828454,3620.57323069316,3671.71317291858,3687.15424012575,3665.76809940137,3629.14492906069,3603.98251431373,3666.34008134259,3507.65251769503,3616.21274896359,3639.10110003145,3614.83543596387,3627.81142822748,3624.6732206975,3724.50404535204,3745.23301331388,3629.5477783084,3697.59724612057,3727.4442324957,3640.10801866215,3492.92232479005,3571.67391415479,3789.32439095377,3639.24312180761,3595.92700330459,3613.18313215169,3795.99190327896,3612.53640671105,3642.13487483195,3659.77656370373,3659.03840376821,3686.99940674962,2448.03634805652,2460.25516266375,2445.90337312077,2483.78888354509,2998.85770379836,2424.14685573708,2455.05794566303,2979.44872269893,2561.87060814377
,76,3444.73409476484,3501.15018406578,3558.68627772835,3539.03012554735,3808.38566136522,3577.07569422013,3666.8408506541,3624.89594877765,3625.81754232403,3536.47179220526,3511.78256955054,3536.08506844401,3487.0772294959,3535.56257588108,3505.95378941177,3559.26725025031,3607.24597206921,3696.4555254041,3707.5934415344,3721.54126762738,3684.01088246019,3572.38760059116,3530.41987635508,3499.4633849681,3476.36467804145,3534.01662691615,3571.14885908759,3604.76200229777,3609.9053071082,3604.06422609703,3783.91945923148,3677.56855935574,3622.86721050668,3563.9612185801,3563.16658330304,3610.65340981773,3530.6102991409,3619.06634672513,3660.74892850391,3536.41311896495,3604.03242944793,3587.08542998616,3639.75500535385,3656.05066859107,3634.97792873456,3598.02722821373,3572.8809870107,3633.86891806309,3477.64057730539,3583.12029591889,3604.01800775686,3581.0887798194,3594.06182684639,3592.10589751738,3691.50625181354,3712.6689067231,3597.23647760789,3665.13364123743,3692.06576481627,3608.56160906573,3463.12746462444,3540.11411497014,3754.09853212379,3604.39981382062,3562.95503232237,3580.24985537133,3761.22973026073,3582.79231224621,3610.46392379613,3627.09741993404,3627.21267801472,3653.97372161841,2446.51428723038,2457.80385903105,2443.36246497067,2481.62958681577,2976.2504293539,2422.45658611918,2452.42548072555,2956.98825560097,2557.42583110115
,76.5,3417.30269307867,3471.36809560936,3528.10618422976,3507.701677856,3771.62146331539,3545.25745406668,3634.68178765357,3593.93324837246,3596.1846452563,3509.5533418719,3483.76015960751,3507.82698625124,3457.4648304931,3504.96436003133,3475.79557189343,3527.02019741657,3575.31866396855,3661.4873291438,3675.17731038214,3688.84619427693,3652.06724427483,3543.46944608104,3501.67229698595,3472.50364057324,3446.81573942161,3502.18863876369,3538.14064496231,3570.99379495566,3577.51130920608,3571.54117978478,3750.18449932429,3646.59986407005,3592.81643688559,3535.7145247669,3532.65833375402,3580.94170570973,3498.70200800574,3584.04477517004,3624.39369908058,3505.0922610354,3571.66803807633,3554.44608748662,3608.9996553941,3625.84412335025,3604.71174783318,3567.16175261851,3542.88225754246,3602.14023528407,3448.31872183271,3550.40325742311,3569.9576701876,3548.05029343322,3560.66424883019,3560.09991728523,3659.38436986476,3680.8260404307,3566.02589864396,3633.37085038355,3658.13634148628,3577.74431487452,3433.86741472516,3509.1513255194,3718.88018579433,3570.16069120758,3530.60551331103,3548.31790323271,3727.66541910953,3553.60764572634,3579.05801065566,3595.38105311092,3596.46896128398,3621.74421709793,2444.92078383324,2454.96830717163,2440.79348939887,2479.23301361156,2953.91974706795,2421.15703552446,2449.60773326128,2935.1311343624,2553.35172320932
