,Well,Fluor,Target,Content,Sample,End RFU,Call,Sample Type,CallType,Is Control
,A01,SYBR,citMin,Unkn,HO-Ci,966.021611576506,,Unknown,Unassigned,False
,A02,SYBR,citMin,Unkn,HO-Ci,1043.20075725748,,Unknown,Unassigned,False
,A03,SYBR,citMin,Unkn,HO-Ci,972.335824231568,,Unknown,Unassigned,False
,A04,SYBR,cit9,Unkn,HO-C9,1030.56699089391,,Unknown,Unassigned,False
,A05,SYBR,cit9,Unkn,HO-C9,918.990360422319,,Unknown,Unassigned,False
,A06,SYBR,cit9,Unkn,HO-C9,1041.92701553402,,Unknown,Unassigned,False
,A07,SYBR,mCherry,Unkn,HO-Ci,1144.08287392179,,Unknown,Unassigned,False
,A08,SYBR,mCherry,Unkn,HO-Ci,1098.01731940985,,Unknown,Unassigned,False
,A09,SYBR,mCherry,Unkn,HO-Ci,1093.85973013061,,Unknown,Unassigned,False
,A10,SYBR,mCherry,Unkn,HO-C9,1025.10455242434,,Unknown,Unassigned,False
,A11,SYBR,mCherry,Unkn,HO-C9,1019.21182246676,,Unknown,Unassigned,False
,A12,SYBR,mCherry,Unkn,HO-C9,1018.95005279307,,Unknown,Unassigned,False
,B01,SYBR,citMin,Unkn,HO-Ci,944.877847260552,,Unknown,Unassigned,False
,B02,SYBR,citMin,Unkn,HO-Ci,988.622079440533,,Unknown,Unassigned,False
,B03,SYBR,citMin,Unkn,HO-Ci,1032.05014035057,,Unknown,Unassigned,False
,B04,SYBR,cit9,Unkn,HO-C9,1095.16270686542,,Unknown,Unassigned,False
,B05,SYBR,cit9,Unkn,HO-C9,1067.93723514792,,Unknown,Unassigned,False
,B06,SYBR,cit9,Unkn,HO-C9,1122.20374225538,,Unknown,Unassigned,False
,B07,SYBR,mCherry,Unkn,HO-Ci,1212.82403329797,,Unknown,Unassigned,False
,B08,SYBR,mCherry,Unkn,HO-Ci,1227.67622675926,,Unknown,Unassigned,False
,B09,SYBR,mCherry,Unkn,HO-Ci,1183.30659647423,,Unknown,Unassigned,False
,B10,SYBR,mCherry,Unkn,HO-C9,1083.43478561107,,Unknown,Unassigned,False
,B11,SYBR,mCherry,Unkn,HO-C9,1028.86305303575,,Unknown,Unassigned,False
,B12,SYBR,mCherry,Unkn,HO-C9,1048.27173356569,,Unknown,Unassigned,False
,C01,SYBR,citMin,Unkn,HO-Ci,980.299434989917,,Unknown,Unassigned,False
,C02,SYBR,citMin,Unkn,HO-Ci,1053.71855104071,,Unknown,Unassigned,False
,C03,SYBR,citMin,Unkn,HO-Ci,1123.36177344212,,Unknown,Unassigned,False
,C04,SYBR,cit9,Unkn,HO-C9,1134.4656785715,,Unknown,Unassigned,False
,C05,SYBR,cit9,Unkn,HO-C9,1119.53583398806,,Unknown,Unassigned,False
,C06,SYBR,cit9,Unkn,HO-C9,1125.39981668261,,Unknown,Unassigned,False
,C07,SYBR,mCherry,Unkn,HO-Ci,1293.41435248578,,Unknown,Unassigned,False
,C08,SYBR,mCherry,Unkn,HO-Ci,1162.32245579823,,Unknown,Unassigned,False
,C09,SYBR,mCherry,Unkn,HO-Ci,1167.70632895661,,Unknown,Unassigned,False
,C10,SYBR,mCherry,Unkn,HO-C9,1100.95528102864,,Unknown,Unassigned,False
,C11,SYBR,mCherry,Unkn,HO-C9,1099.0143216998,,Unknown,Unassigned,False
,C12,SYBR,mCherry,Unkn,HO-C9,1036.34512007825,,Unknown,Unassigned,False
,D01,SYBR,citMin,Unkn,RPG1-Ci,811.160078663825,,Unknown,Unassigned,False
,D02,SYBR,citMin,Unkn,RPG1-Ci,1099.61575392601,,Unknown,Unassigned,False
,D03,SYBR,citMin,Unkn,RPG1-Ci,1042.37970312128,,Unknown,Unassigned,False
,D04,SYBR,cit9,Unkn,RPG1-C9,1066.82879034407,,Unknown,Unassigned,False
,D05,SYBR,cit9,Unkn,RPG1-C9,1111.60991572093,,Unknown,Unassigned,False
,D06,SYBR,cit9,Unkn,RPG1-C9,1106.2784048682,,Unknown,Unassigned,False
,D07,SYBR,mCherry,Unkn,RPG1-Ci,1261.15720240689,,Unknown,Unassigned,False
,D08,SYBR,mCherry,Unkn,RPG1-Ci,1203.62970482592,,Unknown,Unassigned,False
,D09,SYBR,mCherry,Unkn,RPG1-Ci,1225.54979457419,,Unknown,Unassigned,False
,D10,SYBR,mCherry,Unkn,RPG1-C9,1157.1179549423,,Unknown,Unassigned,False
,D11,SYBR,mCherry,Unkn,RPG1-C9,1107.64227339576,,Unknown,Unassigned,False
,D12,SYBR,mCherry,Unkn,RPG1-C9,1158.08635188749,,Unknown,Unassigned,False
,E01,SYBR,citMin,Unkn,RPG1-Ci,992.77361303632,,Unknown,Unassigned,False
,E02,SYBR,citMin,Unkn,RPG1-Ci,1122.84525139707,,Unknown,Unassigned,False
,E03,SYBR,citMin,Unkn,RPG1-Ci,1135.95768517485,,Unknown,Unassigned,False
,E04,SYBR,cit9,Unkn,RPG1-C9,1108.19846487799,,Unknown,Unassigned,False
,E05,SYBR,cit9,Unkn,RPG1-C9,1125.71458096918,,Unknown,Unassigned,False
