,Well,Fluor,Target,Content,Sample,Melt Temperature,Peak Height,Begin Temperature,End Temperature,Well Note
,A01,SYBR,citMin,Unkn,HO-Ci,81,245.214338278402,77,85.5,
,A02,SYBR,citMin,Unkn,HO-Ci,81,272.709081154875,77,89.5,
,A03,SYBR,citMin,Unkn,HO-Ci,81,258.70968240545,77,86,
,A04,SYBR,cit9,Unkn,HO-C9,80.5,290.172256281748,77,87,
,A05,SYBR,cit9,Unkn,HO-C9,80.5,294.975662595389,77,85.5,
,A06,SYBR,cit9,Unkn,HO-C9,80.5,291.753408447568,76.5,85,
,A07,SYBR,mCherry,Unkn,HO-Ci,84.5,264.326644685103,81,89,
,A08,SYBR,mCherry,Unkn,HO-Ci,84.5,256.15983132253,81,90,
,A09,SYBR,mCherry,Unkn,HO-Ci,84.5,248.738632527068,81,89,
,A10,SYBR,mCherry,Unkn,HO-C9,84.5,238.489763321333,81,91,
,A11,SYBR,mCherry,Unkn,HO-C9,84.5,232.107053924232,81,90.5,
,A12,SYBR,mCherry,Unkn,HO-C9,85,230.998712972782,81,89,
,B01,SYBR,citMin,Unkn,HO-Ci,81,257.072147941569,77,86,
,B02,SYBR,citMin,Unkn,HO-Ci,81,264.250802792448,77,85.5,
,B03,SYBR,citMin,Unkn,HO-Ci,81,268.66157289087,76.5,87,
,B04,SYBR,cit9,Unkn,HO-C9,80.5,305.16424177405,77,84,
,B05,SYBR,cit9,Unkn,HO-C9,80.5,300.230317949057,76.5,85,
,B06,SYBR,cit9,Unkn,HO-C9,80.5,312.618045520114,77,84.5,
,B07,SYBR,mCherry,Unkn,HO-Ci,84.5,276.63961527034,81,92.5,
,B08,SYBR,mCherry,Unkn,HO-Ci,84.5,280.205851251918,80.5,90,
,B09,SYBR,mCherry,Unkn,HO-Ci,84.5,272.397195628895,81,89,
,B10,SYBR,mCherry,Unkn,HO-C9,84.5,246.834385701648,81,89,
,B11,SYBR,mCherry,Unkn,HO-C9,84.5,238.964928857136,81,89,
,B12,SYBR,mCherry,Unkn,HO-C9,84.5,234.562232912179,81,90.5,
,C01,SYBR,citMin,Unkn,HO-Ci,81,256.339881882414,77,85.5,
,C02,SYBR,citMin,Unkn,HO-Ci,81,272.169287017217,77,87,
,C03,SYBR,citMin,Unkn,HO-Ci,81,288.415206734355,77.5,86,
,C04,SYBR,cit9,Unkn,HO-C9,80.5,313.722762117796,77,84,
,C05,SYBR,cit9,Unkn,HO-C9,80.5,315.937620542362,77,86,
,C06,SYBR,cit9,Unkn,HO-C9,80.5,305.368882035297,77,85,
,C07,SYBR,mCherry,Unkn,HO-Ci,84.5,292.764369143395,80,91,
,C08,SYBR,mCherry,Unkn,HO-Ci,84.5,269.217804260508,81,93,
,C09,SYBR,mCherry,Unkn,HO-Ci,84.5,262.610648275986,80.5,90.5,
,C10,SYBR,mCherry,Unkn,HO-C9,84.5,249.021862261308,81,89,
,C11,SYBR,mCherry,Unkn,HO-C9,84.5,250.998074522494,81,89.5,
,C12,SYBR,mCherry,Unkn,HO-C9,84.5,245.015578951352,79.5,89,
,D01,SYBR,citMin,Unkn,RPG1-Ci,81,250.258958931021,77,88,
,D02,SYBR,citMin,Unkn,RPG1-Ci,81,288.469521019852,77,86,
,D03,SYBR,citMin,Unkn,RPG1-Ci,81,288.284363875893,77,85.5,
,D04,SYBR,cit9,Unkn,RPG1-C9,80.5,289.937784375985,77,84.5,
,D05,SYBR,cit9,Unkn,RPG1-C9,80.5,305.254956544669,77,85.5,
,D06,SYBR,cit9,Unkn,RPG1-C9,80.5,302.132510845537,77,85.5,
,D07,SYBR,mCherry,Unkn,RPG1-Ci,84.5,275.116018429429,79.5,91,
,D08,SYBR,mCherry,Unkn,RPG1-Ci,84.5,269.231872058274,79,93.5,
,D09,SYBR,mCherry,Unkn,RPG1-Ci,84.5,271.375643180909,79,94,
,D10,SYBR,mCherry,Unkn,RPG1-C9,84.5,255.199696901544,81,89,
,D11,SYBR,mCherry,Unkn,RPG1-C9,84.5,250.550965335607,80.5,89,
,D12,SYBR,mCherry,Unkn,RPG1-C9,85,264.739230251501,81,91,
,E01,SYBR,citMin,Unkn,RPG1-Ci,81,254.267593057918,77,88,
,E02,SYBR,citMin,Unkn,RPG1-Ci,81,291.244767430155,77,86.5,
,E03,SYBR,citMin,Unkn,RPG1-Ci,81,293.770235573568,77,86.5,
,E04,SYBR,cit9,Unkn,RPG1-C9,80.5,307.393906236966,77,86,
,E05,SYBR,cit9,Unkn,RPG1-C9,80.5,308.941554227584,76.5,86,
,E06,SYBR,cit9,Unkn,RPG1-C9,80.5,297.983890494059,77,84.5,
,E07,SYBR,mCherry,Unkn,RPG1-Ci,84.5,267.749943443726,80,89,
,E08,SYBR,mCherry,Unkn,RPG1-Ci,84.5,277.831971396743,80.5,92,
,E09,SYBR,mCherry,Unkn,RPG1-Ci,84.5,255.398697673258,81.5,90,
,E10,SYBR,mCherry,Unkn,RPG1-C9,84.5,241.784135100771,80.5,90.5,
,E11,SYBR,mCherry,Unkn,RPG1-C9,84.5,251.567980503796,81,88.5,
,E12,SYBR,mCherry,Unkn,RPG1-C9,85,253.997705677626,81,91.5,
,F01,SYBR,citMin,Unkn,RPG1-Ci,81,240.476650671758,77,86,
,F02,SYBR,citMin,Unkn,RPG1-Ci,81,276.353763366569,77,87,
,F03,SYBR,citMin,Unkn,RPG1-Ci,81,283.055535930586,77,87,
,F04,SYBR,cit9,Unkn,RPG1-C9,80.5,309.471319785716,77,84.5,
,F05,SYBR,cit9,Unkn,RPG1-C9,80.5,293.365686426812,77,84.5,
,F06,SYBR,cit9,Unkn,RPG1-C9,80.5,293.394676026784,76.5,84,
,F07,SYBR,mCherry,Unkn,RPG1-Ci,84.5,279.733964513446,81,89,
,F08,SYBR,mCherry,Unkn,RPG1-Ci,84.5,271.308369090695,81,89,
,F09,SYBR,mCherry,Unkn,RPG1-Ci,84.5,257.989615715277,81,89.5,
,F10,SYBR,mCherry,Unkn,RPG1-C9,84.5,262.237366609445,80.5,90,
,F11,SYBR,mCherry,Unkn,RPG1-C9,84.5,254.734487120951,81,91.5,
,F12,SYBR,mCherry,Unkn,RPG1-C9,85,268.284809928877,81.5,90.5,
,G01,SYBR,citMin,NTC,NTC,None,None,None,None,
,G02,SYBR,cit9,NTC,NTC,None,None,None,None,
,G03,SYBR,mCherry,NTC,NTC,None,None,None,None,
,G04,SYBR,citMin,NTC,NTC,None,None,None,None,
,G05,SYBR,cit9,NTC,NTC,None,None,None,None,
,G06,SYBR,mCherry,NTC,NTC,None,None,None,None,
,G07,SYBR,citMin,NTC,NTC,None,None,None,None,
,G08,SYBR,cit9,NTC,NTC,80,154.172106748339,77,84,
,G09,SYBR,mCherry,NTC,NTC,None,None,None,None,
