,Temperature,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,G1,G2,G3,G4,G5,G6,G7,G8,G9
,72,3646.61141585759,3771.73405589,3696.29181830724,3760.14282887463,4072.24717754121,3797.3757248625,3902.96028317648,3850.66066840561,3801.8964478737,3772.80142693503,3720.32508039782,3656.48401355326,3719.44993827854,3775.20001394772,3732.11228150833,3815.72641770493,3832.08020322122,3936.70554670764,3972.97184485799,3985.2440417186,3931.73195308679,3778.17216956825,3752.5078447511,3683.25304229131,3694.28826997381,3741.50138445765,3811.64270022217,3849.08984686146,3845.39295716243,3854.30255399223,4044.30711696748,3925.74100664145,3857.12666006831,3791.65173749657,3785.55752621838,3768.02451925101,3713.40318022326,3834.69544487986,3921.25735790011,3729.27151379745,3852.31856155278,3807.3819584795,3934.22204905213,3924.6168290101,3947.12271817447,3828.89921838503,3806.07714822202,3852.07038712705,3742.07059156135,3855.77305220188,3860.52519051139,3805.40977708462,3832.47857322912,3817.96119934707,3892.93526244031,3977.62633211704,3829.01680722727,3847.89883056701,3914.25625064387,3852.54726700903,3626.64390425083,3777.48977799536,3973.7061537318,3842.12231300873,3789.87145318671,3794.69846472414,3958.11075132038,3945.00272417494,3851.06736702846,3870.51300001989,3795.48592470873,3915.33525667908,2463.22823591812,2959.35593230906,2456.59051295355,2483.91035245916,3023.45618294896,2425.56155941768,2476.42982552341,3193.02714042641,2576.47249951647
,72.5,3618.44861508915,3739.54492102623,3666.5556585951,3728.61365637358,4034.67743121248,3765.28205380171,3869.12916539599,3818.70227261144,3772.16278782169,3743.50288500427,3691.20819102283,3631.3381566964,3688.38796251457,3744.16947212639,3701.24114814405,3783.18804568829,3800.27658978644,3901.46143311539,3938.85520429875,3950.95304707245,3899.88917018588,3748.28844990048,3722.69024083382,3655.89598906373,3664.48373796556,3710.28241945024,3778.23797467578,3815.40483367094,3812.4519262032,3821.6019636608,4008.83134273701,3893.51123551083,3825.61937660618,3761.68048103353,3754.63824228414,3741.19747416731,3680.74738933155,3800.47697217269,3883.97535326627,3698.10780863424,3818.88822861779,3775.18867052204,3901.05026173473,3891.59661683294,3913.42230496397,3797.0830844554,3775.05524181338,3819.92825406397,3711.74969650066,3821.82176112415,3826.33892805904,3772.6279738832,3799.70958991938,3786.92714597836,3860.44709573995,3943.45043776408,3797.84575487237,3812.56579453219,3880.28225746649,3821.19227539705,3597.34865021136,3744.28438357954,3938.84572591485,3806.5361243706,3756.72365481177,3762.89841556374,3923.61032798084,3910.47902832003,3819.96260270125,3837.02543493326,3765.29095886554,3882.57893660424,2461.3519679809,2941.01964002989,2454.57726512029,2482.1161410585,3004.25556884957,2424.68353931247,2474.70576837488,3170.42475685408,2573.42579880341
,73,3590.28581432072,3707.35578616245,3636.81949888296,3697.08448387254,3997.10768488376,3733.18838274093,3835.29804761551,3786.74387681727,3742.42912776968,3714.2043430735,3662.09130164783,3606.19229983954,3657.32598675059,3713.13893030506,3670.37001477978,3750.64967367164,3768.47297635166,3866.21731952314,3904.73856373951,3916.6620524263,3868.04638728497,3718.4047302327,3692.87263691654,3628.53893583615,3634.67920595731,3679.06345444282,3744.83324912939,3781.71982048043,3779.51089524398,3788.90137332936,3973.35556850654,3861.28146438021,3794.11209314405,3731.70922457049,3723.71895834989,3714.37042908361,3648.09159843985,3766.25849946552,3846.69334863243,3666.94410347104,3785.45789568281,3742.99538256458,3867.87847441732,3858.57640465578,3879.72189175347,3765.26695052578,3744.03333540474,3787.7861210009,3681.42880143997,3787.87047004641,3792.15266560669,3739.84617068177,3766.94060660963,3755.89309260966,3827.95892903958,3909.27454341112,3766.67470251747,3777.23275849737,3846.3082642891,3789.83728378507,3568.05339617189,3711.07898916371,3903.98529809791,3770.94993573248,3723.57585643683,3731.09836640333,3889.10990464129,3875.95533246512,3788.85783837403,3803.53786984664,3735.09599302235,3849.82261652941,2459.47570004368,2922.68334775072,2452.56401728703,2480.32192965784,2985.05495475019,2423.80551920727,2472.98171122634,3147.82237328175,2570.37909809035
,73.5,3562.12301355229,3675.16665129867,3607.08333917082,3665.55531137149,3959.53793855503,3701.09471168015,3801.46692983502,3754.78548102309,3712.69546771768,3684.90580114273,3632.97441227283,3581.04644298268,3626.26401098661,3682.10838848374,3639.4988814155,3718.11130165499,3736.66936291688,3830.97320593089,3870.62192318027,3882.37105778015,3836.20360438406,3688.52101056493,3663.05503299926,3601.18188260858,3604.87467394906,3647.8444894354,3711.42852358299,3748.03480728991,3746.56986428475,3756.20078299792,3937.87979427607,3829.05169324959,3762.60480968192,3701.73796810744,3692.79967441565,3687.54338399992,3615.43580754815,3732.04002675834,3809.41134399859,3635.78039830783,3752.02756274782,3710.80209460712,3834.70668709992,3825.55619247863,3846.02147854297,3733.45081659615,3713.0114289961,3755.64398793782,3651.10790637927,3753.91917896868,3757.96640315435,3707.06436748034,3734.17162329988,3724.85903924095,3795.47076233922,3875.09864905817,3735.50365016258,3741.89972246255,3812.33427111172,3758.48229217309,3538.75814213242,3677.87359474789,3869.12487028097,3735.36374709436,3690.42805806189,3699.29831724293,3854.60948130175,3841.43163661021,3757.75307404682,3770.05030476001,3704.90102717916,3817.06629645457,2457.59943210646,2904.34705547155,2450.55076945377,2478.52771825717,2965.8543406508,2422.92749910206,2471.25765407781,3125.21998970942,2567.33239737729
,74,3533.96021278385,3642.97751643489,3577.34717945868,3634.02613887044,3921.9681922263,3669.00104061936,3767.63581205454,3722.82708522892,3682.96180766567,3655.60725921197,3603.85752289783,3555.90058612582,3595.20203522264,3651.07784666241,3608.62774805122,3685.57292963835,3704.86574948211,3795.72909233864,3836.50528262102,3848.08006313399,3804.36082148315,3658.63729089715,3633.23742908198,3573.824829381,3575.07014194081,3616.62552442798,3678.0237980366,3714.34979409939,3713.62883332553,3723.50019266648,3902.4040200456,3796.82192211897,3731.09752621978,3671.7667116444,3661.88039048141,3660.71633891622,3582.78001665645,3697.82155405117,3772.12933936474,3604.61669314463,3718.59722981284,3678.60880664966,3801.53489978252,3792.53598030147,3812.32106533247,3701.63468266652,3681.98952258745,3723.50185487475,3620.78701131858,3719.96788789094,3723.780140702,3674.28256427892,3701.40263999013,3693.82498587225,3762.98259563885,3840.92275470521,3704.33259780768,3706.56668642774,3778.36027793433,3727.12730056111,3509.46288809295,3644.66820033206,3834.26444246403,3699.77755845624,3657.28025968696,3667.49826808253,3820.1090579622,3806.9079407553,3726.6483097196,3736.56273967339,3674.70606133596,3784.30997637973,2455.72316416924,2886.01076319237,2448.5375216205,2476.73350685651,2946.65372655142,2422.04947899686,2469.53359692927,3102.61760613708,2564.28569666423
,74.5,3505.79741201539,3610.78838157115,3547.61101974658,3602.49696636939,3884.39844589759,3636.90736955855,3733.80469427407,3690.86868943483,3653.22814761367,3626.30871728126,3574.74063352284,3530.754729269,3564.1400594586,3620.04730484106,3577.75661468694,3653.03455762167,3673.06213604727,3760.4849787464,3802.38864206169,3813.78906848786,3772.51803858233,3628.75357122936,3603.41982516476,3546.46777615345,3545.26560993253,3585.40655942054,3644.61907249013,3680.66478090888,3680.68780236622,3690.79960233514,3866.92824581521,3764.59215098842,3699.5902427576,3641.79545518125,3630.96110654718,3633.88929383254,3550.12422576472,3663.60308134394,3734.84733473092,3573.45298798142,3685.16689687778,3646.41551869218,3768.36311246507,3759.51576812429,3778.62065212193,3669.81854873693,3650.96761617887,3691.35972181173,3590.46611625787,3686.01659681316,3689.59387824959,3641.50076107751,3668.63365668035,3662.79093250354,3730.49442893851,3806.7468603522,3673.16154545273,3671.2336503929,3744.38628475703,3695.77230894901,3480.1676340535,3611.46280591626,3799.40401464713,3664.19136981806,3624.13246131206,3635.69821892221,3785.60863462256,3772.38424490048,3695.5435453923,3703.07517458674,3644.51109549282,3751.5536563049,2453.84689623202,2867.67447091324,2446.52427378728,2474.93929545582,2927.45311245204,2421.17145889168,2467.80953978075,3080.0152225648,2561.23899595117
,75,3477.63461124695,3578.59924670737,3517.87486003444,3570.96779386835,3846.82869956886,3604.81369849776,3699.97357649358,3658.91029364066,3623.49448756166,3597.01017535049,3545.62374414784,3505.60887241214,3533.07808369462,3589.01676301974,3546.88548132266,3620.49618560503,3641.25852261249,3725.24086515415,3768.27200150245,3779.49807384171,3740.67525568143,3598.86985156158,3573.60222124748,3519.11072292588,3515.46107792428,3554.18759441313,3611.21434694374,3646.97976771836,3647.74677140699,3658.0990120037,3831.45247158474,3732.3623798578,3668.08295929547,3611.82419871821,3600.04182261294,3607.06224874884,3517.46843487302,3629.38460863677,3697.56533009708,3542.28928281821,3651.7365639428,3614.22223073472,3735.19132514767,3726.49555594714,3744.92023891143,3638.0024148073,3619.94570977023,3659.21758874865,3560.14522119718,3652.06530573542,3655.40761579724,3608.71895787609,3635.8646733706,3631.75687913483,3698.00626223815,3772.57096599924,3641.99049309784,3635.90061435808,3710.41229157964,3664.41731733703,3450.87238001403,3578.25741150043,3764.54358683019,3628.60518117994,3590.98466293712,3603.89816976181,3751.10821128302,3737.86054904558,3664.43878106508,3669.58760950012,3614.31612964962,3718.79733623006,2451.9706282948,2849.33817863407,2444.51102595402,2473.14508405516,2908.25249835265,2420.29343878647,2466.08548263222,3057.41283899246,2558.19229523811
,75.5,3449.69381208655,3547.13006522851,3488.33522315028,3539.44038059041,3809.32767047715,3572.8110089318,3667.06978957444,3627.67194119556,3593.83195730666,3567.98585180983,3517.37456834213,3480.17881517395,3502.47867755575,3558.1442120026,3516.52837451046,3587.54297056726,3609.22223298926,3689.97879534212,3734.38192533382,3745.37236579286,3708.11938465036,3568.88375587065,3544.4932679643,3491.80979064237,3485.28881032159,3522.91350262231,3577.23800182301,3613.02238346964,3614.92709281033,3625.05208821455,3796.13681139413,3699.8726804324,3636.94837182685,3582.11438875049,3568.91313841593,3579.96460039923,3485.05019900096,3595.10285607153,3660.39700911253,3511.3958893642,3618.58938646948,3581.89441537469,3701.90954072841,3693.48086330314,3711.26520782767,3606.42426805766,3589.06775924854,3626.88691046426,3529.89478220812,3617.85124152408,3620.97031095265,3575.74823852461,3602.74255821025,3600.4221183869,3665.87216237821,3738.5914394245,3611.30295537977,3601.08924647101,3676.62449882121,3633.30206132407,3422.06105420504,3545.89098198824,3729.49476348868,3593.61116547149,3558.44729879556,3572.38707662049,3717.372606768,3703.91537539013,3633.55448098558,3636.89661838733,3584.40802877356,3686.41373560849,2449.96344700904,2831.21445812819,2442.4059845071,2471.20185255846,2888.72496687377,2419.28058597155,2464.27710631685,3034.86081639171,2554.53851994536
,76,3421.9038726858,3516.7949943424,3459.37881194934,3508.26050665859,3772.70941013289,3541.57740164669,3635.05128168512,3597.11107689497,3564.64654482816,3539.47626067417,3489.36397039931,3455.24413974684,3472.35233443642,3527.62485005452,3486.39602763008,3554.63321223422,3577.71946978375,3655.01236406683,3701.15189156558,3711.64187370871,3675.5455563216,3539.52345387616,3515.77684896206,3465.3429785546,3455.07595790639,3492.00351335669,3543.57591065434,3579.09365649344,3582.39152630331,3592.68045305906,3761.39357102372,3667.82443135819,3606.26798709926,3553.01963460569,3538.64234746372,3552.33745772996,3453.28606813801,3561.48577672812,3624.11344970201,3480.46736804133,3585.92837995278,3550.41339620994,3669.37528130313,3660.87190222926,3678.24837312327,3575.72768692803,3558.90603397631,3595.21271329918,3500.33885672059,3583.92506443919,3587.00159823117,3543.05680425187,3569.76712071426,3569.2687421694,3634.69693611414,3705.55588943099,3581.24151323841,3567.73409524123,3643.60763505567,3602.9750608616,3393.74023057875,3514.15879892848,3694.62935135307,3559.49470267128,3526.43567660981,3541.50568819421,3684.30665337183,3671.39796363108,3602.78370386169,3604.74477873629,3555.24034410468,3654.5598403162,2448.12620342882,2813.70485949192,2440.39643492968,2469.34495257739,2869.36537271745,2418.0785504944,2462.56886486666,3012.4080062944,2550.60567098129
,76.5,3395.10589815855,3487.38914642044,3431.10130578272,3477.92811001805,3736.95063067493,3511.22886149494,3603.78809183203,3567.59284879798,3536.2975619981,3511.68413756761,3462.37163794213,3430.81329759769,3442.84501460188,3497.66993151761,3456.89201712687,3522.48247717278,3546.52057848592,3620.73852475722,3668.8576941232,3678.52825954115,3643.89143400643,3510.65589859583,3488.10536072565,3439.92546194963,3425.76124581628,3461.53110434964,3510.85377046938,3545.85949768895,3550.46985400811,3560.52261609125,3727.70730911032,3636.28484565031,3576.61830991581,3524.80014808027,3509.229797481,3524.78374053662,3422.58602262039,3528.94177313054,3588.91636082139,3450.32496338131,3554.13492042398,3519.42991957637,3637.90107424728,3628.93195205604,3646.27050575448,3545.7531505322,3529.67021117244,3564.71552076754,3471.59517381554,3550.17333050204,3553.5466047348,3510.96331239679,3537.185118523,3538.78978269185,3604.27179664189,3673.5596543061,3552.01809759415,3536.13139094795,3611.49244724676,3573.24571350775,3366.07877929872,3483.28321514714,3660.24556896689,3526.33701786642,3494.71513072751,3511.33898513946,3652.32855665362,3639.787549895,3572.61632328443,3573.55255411594,3526.77117629551,3623.76769430483,2446.25799903138,2796.73951816235,2438.4997219139,2467.55992955919,2850.41781834441,2416.31963730356,2460.77935845687,2990.17572538305,2546.7239499232
