,Well,Fluor,Target,Content,Sample,Biological Set Name,Cq,Cq Mean,Cq Std. Dev,Starting Quantity (SQ),Log Starting Quantity,SQ Mean,SQ Std. Dev,Set Point,Well Note
,A01,SYBR,citMin,Unkn,HO-Ci,,15.8352039091121,15.8352039091121,0,NaN,NaN,NaN,0,72,
,A02,SYBR,citMin,Unkn,HO-Ci,,15.5616609799488,15.5616609799488,0,NaN,NaN,NaN,0,72,
,A03,SYBR,citMin,Unkn,HO-Ci,,15.6460032272543,15.6460032272543,0,NaN,NaN,NaN,0,72,
,A04,SYBR,cit9,Unkn,HO-C9,,16.9285955690279,16.9285955690279,0,NaN,NaN,NaN,0,72,
,A05,SYBR,cit9,Unkn,HO-C9,,17.06477613062,17.06477613062,0,NaN,NaN,NaN,0,72,
,A06,SYBR,cit9,Unkn,HO-C9,,17.4143206246023,17.4143206246023,0,NaN,NaN,NaN,0,72,
,A07,SYBR,mCherry,Unkn,HO-Ci,,14.9970713746611,14.9970713746611,0,NaN,NaN,NaN,0,72,
,A08,SYBR,mCherry,Unkn,HO-Ci,,15.1717778021183,15.1717778021183,0,NaN,NaN,NaN,0,72,
,A09,SYBR,mCherry,Unkn,HO-Ci,,15.0426777322546,15.0426777322546,0,NaN,NaN,NaN,0,72,
,A10,SYBR,mCherry,Unkn,HO-C9,,14.9898586992633,14.9898586992633,0,NaN,NaN,NaN,0,72,
,A11,SYBR,mCherry,Unkn,HO-C9,,14.5129030100428,14.5129030100428,0,NaN,NaN,NaN,0,72,
,A12,SYBR,mCherry,Unkn,HO-C9,,15.3147125609626,15.3147125609626,0,NaN,NaN,NaN,0,72,
,B01,SYBR,citMin,Unkn,HO-Ci,,15.5935260146663,15.5935260146663,0,NaN,NaN,NaN,0,72,
,B02,SYBR,citMin,Unkn,HO-Ci,,15.5689799016806,15.5689799016806,0,NaN,NaN,NaN,0,72,
,B03,SYBR,citMin,Unkn,HO-Ci,,15.4997771877627,15.4997771877627,0,NaN,NaN,NaN,0,72,
,B04,SYBR,cit9,Unkn,HO-C9,,16.7629223146919,16.7629223146919,0,NaN,NaN,NaN,0,72,
,B05,SYBR,cit9,Unkn,HO-C9,,16.6822395603544,16.6822395603544,0,NaN,NaN,NaN,0,72,
,B06,SYBR,cit9,Unkn,HO-C9,,17.166860782876,17.166860782876,0,NaN,NaN,NaN,0,72,
,B07,SYBR,mCherry,Unkn,HO-Ci,,14.8127628371237,14.8127628371237,0,NaN,NaN,NaN,0,72,
,B08,SYBR,mCherry,Unkn,HO-Ci,,14.921164403634,14.921164403634,0,NaN,NaN,NaN,0,72,
,B09,SYBR,mCherry,Unkn,HO-Ci,,14.9258916536598,14.9258916536598,0,NaN,NaN,NaN,0,72,
,B10,SYBR,mCherry,Unkn,HO-C9,,14.9519918311424,14.9519918311424,0,NaN,NaN,NaN,0,72,
,B11,SYBR,mCherry,Unkn,HO-C9,,14.498790017189,14.498790017189,0,NaN,NaN,NaN,0,72,
,B12,SYBR,mCherry,Unkn,HO-C9,,15.091144903682,15.091144903682,0,NaN,NaN,NaN,0,72,
,C01,SYBR,citMin,Unkn,HO-Ci,,15.4989512421275,15.4989512421275,0,NaN,NaN,NaN,0,72,
,C02,SYBR,citMin,Unkn,HO-Ci,,15.5191621176708,15.5191621176708,0,NaN,NaN,NaN,0,72,
,C03,SYBR,citMin,Unkn,HO-Ci,,15.322350005039,15.322350005039,0,NaN,NaN,NaN,0,72,
,C04,SYBR,cit9,Unkn,HO-C9,,16.6286367302889,16.6286367302889,0,NaN,NaN,NaN,0,72,
