,Well,Fluor,Target,Content,Sample,Biological Set Name,Cq,Cq Mean,Cq Std. Dev,Starting Quantity (SQ),Log Starting Quantity,SQ Mean,SQ Std. Dev,Set Point,Well Note
,A01,SYBR,Actin,Unkn,HO,,16.3260820635592,16.3260820635592,0,NaN,NaN,NaN,0,72,
,A02,SYBR,Actin,Unkn,HO,,18.154134964487,18.154134964487,0,NaN,NaN,NaN,0,72,
,A03,SYBR,Actin,Unkn,HO,,16.0819714925657,16.0819714925657,0,NaN,NaN,NaN,0,72,
,A04,SYBR,Actin,Unkn,Fun12,,16.219646489391,16.219646489391,0,NaN,NaN,NaN,0,72,
,A05,SYBR,Actin,Unkn,Fun12,,16.8323322948574,16.8323322948574,0,NaN,NaN,NaN,0,72,
,A06,SYBR,Actin,Unkn,Fun12,,16.596919208681,16.596919208681,0,NaN,NaN,NaN,0,72,
,A07,SYBR,Actin,Unkn,Rpg1,,16.5562756938563,16.5562756938563,0,NaN,NaN,NaN,0,72,
,A08,SYBR,Actin,Unkn,Rpg1,,16.5652709532937,16.5652709532937,0,NaN,NaN,NaN,0,72,
,A09,SYBR,Actin,Unkn,Rpg1,,16.411795033335,16.411795033335,0,NaN,NaN,NaN,0,72,
,B01,SYBR,Actin,Unkn,HO,,16.5256668438013,16.5256668438013,0,NaN,NaN,NaN,0,72,
,B02,SYBR,Actin,Unkn,HO,,18.0775435340791,18.0775435340791,0,NaN,NaN,NaN,0,72,
,B03,SYBR,Actin,Unkn,HO,,15.8051353165512,15.8051353165512,0,NaN,NaN,NaN,0,72,
,B04,SYBR,Actin,Unkn,Fun12,,16.1607831662361,16.1607831662361,0,NaN,NaN,NaN,0,72,
,B05,SYBR,Actin,Unkn,Fun12,,16.6110756098571,16.6110756098571,0,NaN,NaN,NaN,0,72,
,B06,SYBR,Actin,Unkn,Fun12,,16.271529819202,16.271529819202,0,NaN,NaN,NaN,0,72,
,B07,SYBR,Actin,Unkn,Rpg1,,16.2543478917434,16.2543478917434,0,NaN,NaN,NaN,0,72,
,B08,SYBR,Actin,Unkn,Rpg1,,16.3504357826498,16.3504357826498,0,NaN,NaN,NaN,0,72,
,B09,SYBR,Actin,Unkn,Rpg1,,16.253588314675,16.253588314675,0,NaN,NaN,NaN,0,72,
,C01,SYBR,Actin,Unkn,HO,,16.3820799310148,16.3820799310148,0,NaN,NaN,NaN,0,72,
,C02,SYBR,Actin,Unkn,HO,,17.9408983508664,17.9408983508664,0,NaN,NaN,NaN,0,72,
,C03,SYBR,Actin,Unkn,HO,,15.6101185594395,15.6101185594395,0,NaN,NaN,NaN,0,72,
,C04,SYBR,Actin,Unkn,Fun12,,16.0632013166877,16.0632013166877,0,NaN,NaN,NaN,0,72,
