,Well,Fluor,Target,Content,Sample,Melt Temperature,Peak Height,Begin Temperature,End Temperature,Well Note
,A01,SYBR,Cit3,Unkn,Cit3,79,278.612067324035,74.5,85,
,A02,SYBR,Cit3,Unkn,Cit3,79,275.985260705714,74.5,86.5,
,A03,SYBR,Cit3,Unkn,Cit3,79,321.448675933167,74.5,87,
,A04,SYBR,mCh,Unkn,Cit3,84.5,282.441182135733,81,90,
,A05,SYBR,mCh,Unkn,Cit3,84.5,269.20015656658,81.5,88.5,
,A06,SYBR,mCh,Unkn,Cit3,84.5,308.44432178424,81,90,
,A07,SYBR,Cit6,Unkn,Cit6,78.5,312.122264977952,74.5,84.5,
,A08,SYBR,Cit6,Unkn,Cit6,78.5,312.709850929625,74.5,85,
,A09,SYBR,Cit6,Unkn,Cit6,78.5,311.505801078034,74.5,85.5,
,A10,SYBR,mCh,Unkn,Cit6,84.5,275.832342559039,81.5,89,
,A11,SYBR,mCh,Unkn,Cit6,84.5,262.462436733078,81.5,90,
,A12,SYBR,mCh,Unkn,Cit6,85,259.731426878905,81,88.5,
,B01,SYBR,Cit3,Unkn,Cit3,79,279.636519482395,74.5,86.5,
,B02,SYBR,Cit3,Unkn,Cit3,79,260.500122654328,74.5,85.5,
,B03,SYBR,Cit3,Unkn,Cit3,79,320.712947054983,74.5,84.5,
,B04,SYBR,mCh,Unkn,Cit3,84.5,309.668819250708,81,90.5,
,B05,SYBR,mCh,Unkn,Cit3,84.5,314.735894701476,81,89,
,B06,SYBR,mCh,Unkn,Cit3,84.5,339.522977769875,81,90.5,
,B07,SYBR,Cit6,Unkn,Cit6,78.5,360.07438529642,74.5,87,
,B08,SYBR,Cit6,Unkn,Cit6,78.5,345.344077214553,74.5,85,
,B09,SYBR,Cit6,Unkn,Cit6,78.5,335.410215273358,74.5,83.5,
,B10,SYBR,mCh,Unkn,Cit6,84.5,300.486001598186,81,89,
,B11,SYBR,mCh,Unkn,Cit6,84.5,277.287424493252,81,91.5,
,B12,SYBR,mCh,Unkn,Cit6,84.5,266.510275233022,78.5,88.5,
,C01,SYBR,Cit3,Unkn,Cit3,79,272.493491198326,74.5,83,
,C02,SYBR,Cit3,Unkn,Cit3,79,304.470877996805,74.5,84,
,C03,SYBR,Cit3,Unkn,Cit3,79,346.100385773169,74.5,86,
,C04,SYBR,mCh,Unkn,Cit3,84.5,324.542338176459,81,90.5,
,C05,SYBR,mCh,Unkn,Cit3,84.5,335.53079697201,81,88.5,
,C06,SYBR,mCh,Unkn,Cit3,84.5,314.420082369041,80.5,92,
,C07,SYBR,Cit6,Unkn,Cit6,78.5,343.332594603776,74.5,84,
,C08,SYBR,Cit6,Unkn,Cit6,78.5,251.421704137227,74.5,82.5,
,C09,SYBR,Cit6,Unkn,Cit6,78.5,330.437407438621,74.5,84.5,
,C10,SYBR,mCh,Unkn,Cit6,84.5,276.157340406529,81,91,
,C11,SYBR,mCh,Unkn,Cit6,84.5,288.536446285279,81,91,
