,Well,Fluor,Target,Content,Sample,Melt Temp
,A01,SYBR,Cit3,Unkn,Cit3,79
,A02,SYBR,Cit3,Unkn,Cit3,79
,A03,SYBR,Cit3,Unkn,Cit3,79
,A04,SYBR,mCh,Unkn,Cit3,84.5
,A05,SYBR,mCh,Unkn,Cit3,84.5
,A06,SYBR,mCh,Unkn,Cit3,84.5
,A07,SYBR,Cit6,Unkn,Cit6,78.5
,A08,SYBR,Cit6,Unkn,Cit6,78.5
,A09,SYBR,Cit6,Unkn,Cit6,78.5
,A10,SYBR,mCh,Unkn,Cit6,84.5
,A11,SYBR,mCh,Unkn,Cit6,84.5
,A12,SYBR,mCh,Unkn,Cit6,85
,B01,SYBR,Cit3,Unkn,Cit3,79
,B02,SYBR,Cit3,Unkn,Cit3,79
,B03,SYBR,Cit3,Unkn,Cit3,79
,B04,SYBR,mCh,Unkn,Cit3,84.5
,B05,SYBR,mCh,Unkn,Cit3,84.5
,B06,SYBR,mCh,Unkn,Cit3,84.5
,B07,SYBR,Cit6,Unkn,Cit6,78.5
,B08,SYBR,Cit6,Unkn,Cit6,78.5
,B09,SYBR,Cit6,Unkn,Cit6,78.5
,B10,SYBR,mCh,Unkn,Cit6,84.5
,B11,SYBR,mCh,Unkn,Cit6,84.5
,B12,SYBR,mCh,Unkn,Cit6,84.5
,C01,SYBR,Cit3,Unkn,Cit3,79
,C02,SYBR,Cit3,Unkn,Cit3,79
,C03,SYBR,Cit3,Unkn,Cit3,79
,C04,SYBR,mCh,Unkn,Cit3,84.5
,C05,SYBR,mCh,Unkn,Cit3,84.5
,C06,SYBR,mCh,Unkn,Cit3,84.5
,C07,SYBR,Cit6,Unkn,Cit6,78.5
,C08,SYBR,Cit6,Unkn,Cit6,78.5
,C09,SYBR,Cit6,Unkn,Cit6,78.5
,C10,SYBR,mCh,Unkn,Cit6,84.5
,C11,SYBR,mCh,Unkn,Cit6,84.5
,C12,SYBR,mCh,Unkn,Cit6,84.5
,D01,SYBR,Cit3,Unkn,J-Cit3,79
,D02,SYBR,Cit3,Unkn,J-Cit3,79
,D03,SYBR,Cit3,Unkn,J-Cit3,79
,D04,SYBR,mCh,Unkn,J-Cit3,84.5
,D05,SYBR,mCh,Unkn,J-Cit3,84.5
,D06,SYBR,mCh,Unkn,J-Cit3,84.5
,D07,SYBR,Cit6,Unkn,J-Cit6,78.5
,D08,SYBR,Cit6,Unkn,J-Cit6,78.5
,D09,SYBR,Cit6,Unkn,J-Cit6,78.5
,D10,SYBR,mCh,Unkn,J-Cit6,84.5
,D11,SYBR,mCh,Unkn,J-Cit6,84.5
,D12,SYBR,mCh,Unkn,J-Cit6,85
,E01,SYBR,Cit3,Unkn,J-Cit3,79
,E02,SYBR,Cit3,Unkn,J-Cit3,79
,E03,SYBR,Cit3,Unkn,J-Cit3,79
,E04,SYBR,mCh,Unkn,J-Cit3,84.5
,E05,SYBR,mCh,Unkn,J-Cit3,84.5
,E06,SYBR,mCh,Unkn,J-Cit3,84.5
,E07,SYBR,Cit6,Unkn,J-Cit6,78.5
,E08,SYBR,Cit6,Unkn,J-Cit6,78.5
,E09,SYBR,Cit6,Unkn,J-Cit6,78.5
,E10,SYBR,mCh,Unkn,J-Cit6,84.5
,E11,SYBR,mCh,Unkn,J-Cit6,84.5
,E12,SYBR,mCh,Unkn,J-Cit6,85
,F01,SYBR,Cit3,Unkn,J-Cit3,79
,F02,SYBR,Cit3,Unkn,J-Cit3,79
,F03,SYBR,Cit3,Unkn,J-Cit3,79
,F04,SYBR,mCh,Unkn,J-Cit3,84.5
,F05,SYBR,mCh,Unkn,J-Cit3,84.5
,F06,SYBR,mCh,Unkn,J-Cit3,84.5
,F07,SYBR,Cit6,Unkn,J-Cit6,78.5
,F08,SYBR,Cit6,Unkn,J-Cit6,78.5
,F09,SYBR,Cit6,Unkn,J-Cit6,78.5
,F10,SYBR,mCh,Unkn,J-Cit6,84.5
,F11,SYBR,mCh,Unkn,J-Cit6,84.5
,F12,SYBR,mCh,Unkn,J-Cit6,84.5
,H01,SYBR,Cit3,NTC,NTC,78.5
,H02,SYBR,Cit3,NTC,NTC,78.5
,H03,SYBR,Cit3,NTC,NTC,78.5
,H04,SYBR,Cit6,NTC,NTC,78.5
,H05,SYBR,Cit6,NTC,NTC,78.5
,H06,SYBR,Cit6,NTC,NTC,78.5
,H07,SYBR,mCh,NTC,NTC,None
,H08,SYBR,mCh,NTC,NTC,None
,H09,SYBR,mCh,NTC,NTC,None
