,,1,2,3,4,5,6,7,8,9,10,11,12
A,Content,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn
A,Sample,Cit3,Cit3,Cit3,Cit3,Cit3,Cit3,Cit6,Cit6,Cit6,Cit6,Cit6,Cit6
A,Cq,17.1480909322269,16.5752137952506,15.7019874209955,17.0151986590097,16.2463687271075,15.1510353967867,16.561820962952,16.4098338612834,16.1735230275517,16.1585132398425,15.9159899677966,16.0358934722069
A,copy number,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
B,Content,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn
B,Sample,Cit3,Cit3,Cit3,Cit3,Cit3,Cit3,Cit6,Cit6,Cit6,Cit6,Cit6,Cit6
B,Cq,17.0028347744545,16.3852349026638,15.7693486959685,16.7588025033415,15.7695630167451,15.0422726578548,16.2387257763461,16.1759342418279,16.0204795736954,16.0020914609049,15.751654258214,15.6463544805176
B,copy number,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
C,Content,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn
C,Sample,Cit3,Cit3,Cit3,Cit3,Cit3,Cit3,Cit6,Cit6,Cit6,Cit6,Cit6,Cit6
C,Cq,17.1044441026178,16.1500729413635,15.4896445795443,16.7420675440729,15.5731764662351,15.1540138383177,16.3670556877676,16.6289750921161,16.0237101700898,15.996549789539,15.6414868878577,15.6582617279991
C,copy number,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
D,Content,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn
D,Sample,J-Cit3,J-Cit3,J-Cit3,J-Cit3,J-Cit3,J-Cit3,J-Cit6,J-Cit6,J-Cit6,J-Cit6,J-Cit6,J-Cit6
D,Cq,15.419968133718,15.3214135338078,15.0740160683139,15.0656883443309,14.9487760220133,14.8492315856904,15.3666564539515,15.0247931244329,15.300465224619,14.8093841277485,14.7781672903713,14.6619379199716
D,copy number,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
E,Content,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn
E,Sample,J-Cit3,J-Cit3,J-Cit3,J-Cit3,J-Cit3,J-Cit3,J-Cit6,J-Cit6,J-Cit6,J-Cit6,J-Cit6,J-Cit6
E,Cq,15.7385508400892,15.5655001862283,15.0329128531587,14.9355993458683,14.8844512636641,14.8848504062407,15.4009387912065,14.976038362067,15.3596232639342,14.7334524339268,14.6284078526327,14.8802583472203
E,copy number,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
F,Content,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn
F,Sample,J-Cit3,J-Cit3,J-Cit3,J-Cit3,J-Cit3,J-Cit3,J-Cit6,J-Cit6,J-Cit6,J-Cit6,J-Cit6,J-Cit6
F,Cq,15.0794481157014,14.7599568876437,15.1071272047628,15.0126191894474,14.9305467644398,14.9108290405007,15.2051557710833,15.1319960536278,15.224583910036,14.6856016362295,14.498723680837,14.601984609274
F,copy number,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
G,Content,,,,,,,,,,,,
G,Sample,,,,,,,,,,,,
G,Cq,,,,,,,,,,,,
G,copy number,,,,,,,,,,,,
H,Content,NTC,NTC,NTC,NTC,NTC,NTC,NTC,NTC,NTC,,,
H,Sample,NTC,NTC,NTC,NTC,NTC,NTC,NTC,NTC,NTC,,,
H,Cq,33.8969000652915,32.5841154275749,32.8174948020465,23.7067959595001,23.2837399949803,21.607325412711,NaN,NaN,NaN,,,
H,copy number,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,
