,Well,Fluor,Target,Content,Sample,End RFU,Call,Sample Type,CallType,Is Control
,A01,SYBR,Cit3,Unkn,Cit3,982.960007359891,,Unknown,Unassigned,False
,A02,SYBR,Cit3,Unkn,Cit3,789.221098893385,,Unknown,Unassigned,False
,A03,SYBR,Cit3,Unkn,Cit3,1110.9025257525,,Unknown,Unassigned,False
,A04,SYBR,mCh,Unkn,Cit3,1194.2283360275,,Unknown,Unassigned,False
,A05,SYBR,mCh,Unkn,Cit3,1003.62459155718,,Unknown,Unassigned,False
,A06,SYBR,mCh,Unkn,Cit3,1309.62475181183,,Unknown,Unassigned,False
,A07,SYBR,Cit6,Unkn,Cit6,1049.98102275775,,Unknown,Unassigned,False
,A08,SYBR,Cit6,Unkn,Cit6,1049.74926458017,,Unknown,Unassigned,False
,A09,SYBR,Cit6,Unkn,Cit6,1043.47345395065,,Unknown,Unassigned,False
,A10,SYBR,mCh,Unkn,Cit6,1141.98057568928,,Unknown,Unassigned,False
,A11,SYBR,mCh,Unkn,Cit6,1089.45234063188,,Unknown,Unassigned,False
,A12,SYBR,mCh,Unkn,Cit6,1063.8082128742,,Unknown,Unassigned,False
,B01,SYBR,Cit3,Unkn,Cit3,903.814562306871,,Unknown,Unassigned,False
,B02,SYBR,Cit3,Unkn,Cit3,852.421418684127,,Unknown,Unassigned,False
,B03,SYBR,Cit3,Unkn,Cit3,1105.51061681237,,Unknown,Unassigned,False
,B04,SYBR,mCh,Unkn,Cit3,1309.68316502812,,Unknown,Unassigned,False
,B05,SYBR,mCh,Unkn,Cit3,1305.43528362146,,Unknown,Unassigned,False
,B06,SYBR,mCh,Unkn,Cit3,1456.81412375755,,Unknown,Unassigned,False
,B07,SYBR,Cit6,Unkn,Cit6,1243.69134344278,,Unknown,Unassigned,False
,B08,SYBR,Cit6,Unkn,Cit6,1170.29517329291,,Unknown,Unassigned,False
,B09,SYBR,Cit6,Unkn,Cit6,1133.21484154021,,Unknown,Unassigned,False
,B10,SYBR,mCh,Unkn,Cit6,1299.0107016909,,Unknown,Unassigned,False
,B11,SYBR,mCh,Unkn,Cit6,1197.19275643119,,Unknown,Unassigned,False
,B12,SYBR,mCh,Unkn,Cit6,1094.56532800338,,Unknown,Unassigned,False
,C01,SYBR,Cit3,Unkn,Cit3,879.075061707925,,Unknown,Unassigned,False
,C02,SYBR,Cit3,Unkn,Cit3,1032.76235563891,,Unknown,Unassigned,False
,C03,SYBR,Cit3,Unkn,Cit3,1200.91998601056,,Unknown,Unassigned,False
,C04,SYBR,mCh,Unkn,Cit3,1373.93156456414,,Unknown,Unassigned,False
,C05,SYBR,mCh,Unkn,Cit3,1400.49161592841,,Unknown,Unassigned,False
,C06,SYBR,mCh,Unkn,Cit3,1352.8457386461,,Unknown,Unassigned,False
,C07,SYBR,Cit6,Unkn,Cit6,1107.57675887027,,Unknown,Unassigned,False
,C08,SYBR,Cit6,Unkn,Cit6,788.488884632088,,Unknown,Unassigned,False
,C09,SYBR,Cit6,Unkn,Cit6,1122.89889236347,,Unknown,Unassigned,False
,C10,SYBR,mCh,Unkn,Cit6,1160.15802249852,,Unknown,Unassigned,False
,C11,SYBR,mCh,Unkn,Cit6,1264.68169673502,,Unknown,Unassigned,False
,C12,SYBR,mCh,Unkn,Cit6,1128.84289433583,,Unknown,Unassigned,False
,D01,SYBR,Cit3,Unkn,J-Cit3,946.917407769753,,Unknown,Unassigned,False
,D02,SYBR,Cit3,Unkn,J-Cit3,848.262204057377,,Unknown,Unassigned,False
,D03,SYBR,Cit3,Unkn,J-Cit3,1166.3295372733,,Unknown,Unassigned,False
,D04,SYBR,mCh,Unkn,J-Cit3,1304.84921798052,,Unknown,Unassigned,False
,D05,SYBR,mCh,Unkn,J-Cit3,1392.98240894033,,Unknown,Unassigned,False
,D06,SYBR,mCh,Unkn,J-Cit3,1446.77608375496,,Unknown,Unassigned,False
,D07,SYBR,Cit6,Unkn,J-Cit6,1191.35285929116,,Unknown,Unassigned,False
,D08,SYBR,Cit6,Unkn,J-Cit6,1188.90333054122,,Unknown,Unassigned,False
,D09,SYBR,Cit6,Unkn,J-Cit6,1121.79537591419,,Unknown,Unassigned,False
,D10,SYBR,mCh,Unkn,J-Cit6,1257.76913749363,,Unknown,Unassigned,False
,D11,SYBR,mCh,Unkn,J-Cit6,1174.14024773846,,Unknown,Unassigned,False
,D12,SYBR,mCh,Unkn,J-Cit6,1259.65406733727,,Unknown,Unassigned,False
,E01,SYBR,Cit3,Unkn,J-Cit3,755.79512711383,,Unknown,Unassigned,False
,E02,SYBR,Cit3,Unkn,J-Cit3,701.183173019473,,Unknown,Unassigned,False
,E03,SYBR,Cit3,Unkn,J-Cit3,1168.54235719256,,Unknown,Unassigned,False
,E04,SYBR,mCh,Unkn,J-Cit3,1381.12233504527,,Unknown,Unassigned,False
,E05,SYBR,mCh,Unkn,J-Cit3,1418.51686455646,,Unknown,Unassigned,False
,E06,SYBR,mCh,Unkn,J-Cit3,1400.82246477611,,Unknown,Unassigned,False
,E07,SYBR,Cit6,Unkn,J-Cit6,1174.84587888466,,Unknown,Unassigned,False
,E08,SYBR,Cit6,Unkn,J-Cit6,1157.55148884705,,Unknown,Unassigned,False
,E09,SYBR,Cit6,Unkn,J-Cit6,1084.91809304635,,Unknown,Unassigned,False
,E10,SYBR,mCh,Unkn,J-Cit6,1327.74509276805,,Unknown,Unassigned,False
,E11,SYBR,mCh,Unkn,J-Cit6,1230.74445638501,,Unknown,Unassigned,False
,E12,SYBR,mCh,Unkn,J-Cit6,1177.02968226639,,Unknown,Unassigned,False
,F01,SYBR,Cit3,Unkn,J-Cit3,1088.55039621228,,Unknown,Unassigned,False
,F02,SYBR,Cit3,Unkn,J-Cit3,1185.57206375192,,Unknown,Unassigned,False
,F03,SYBR,Cit3,Unkn,J-Cit3,1131.23123834415,,Unknown,Unassigned,False
,F04,SYBR,mCh,Unkn,J-Cit3,1369.23299414529,,Unknown,Unassigned,False
,F05,SYBR,mCh,Unkn,J-Cit3,1423.34731458698,,Unknown,Unassigned,False
,F06,SYBR,mCh,Unkn,J-Cit3,1357.34783608374,,Unknown,Unassigned,False
,F07,SYBR,Cit6,Unkn,J-Cit6,1244.01368254937,,Unknown,Unassigned,False
,F08,SYBR,Cit6,Unkn,J-Cit6,1097.11574998346,,Unknown,Unassigned,False
