,,1,2,3,4,5,6,7,8,9,10,11,12
A,Content,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn
A,Sample,Cit3,Cit3,Cit3,Cit3,Cit3,Cit3,Cit6,Cit6,Cit6,Cit6,Cit6,Cit6
A,Peak 1,79,79,79,84.5,84.5,84.5,78.5,78.5,78.5,84.5,84.5,85
A,Peak 2,None,None,None,None,None,None,None,None,None,None,None,None
B,Content,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn
B,Sample,Cit3,Cit3,Cit3,Cit3,Cit3,Cit3,Cit6,Cit6,Cit6,Cit6,Cit6,Cit6
B,Peak 1,79,79,79,84.5,84.5,84.5,78.5,78.5,78.5,84.5,84.5,84.5
B,Peak 2,None,None,None,None,None,None,None,None,None,None,None,None
C,Content,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn
C,Sample,Cit3,Cit3,Cit3,Cit3,Cit3,Cit3,Cit6,Cit6,Cit6,Cit6,Cit6,Cit6
C,Peak 1,79,79,79,84.5,84.5,84.5,78.5,78.5,78.5,84.5,84.5,84.5
C,Peak 2,None,None,None,None,None,None,None,None,None,None,None,None
D,Content,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn
D,Sample,J-Cit3,J-Cit3,J-Cit3,J-Cit3,J-Cit3,J-Cit3,J-Cit6,J-Cit6,J-Cit6,J-Cit6,J-Cit6,J-Cit6
D,Peak 1,79,79,79,84.5,84.5,84.5,78.5,78.5,78.5,84.5,84.5,85
D,Peak 2,None,None,None,None,None,None,None,None,None,None,None,None
E,Content,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn
E,Sample,J-Cit3,J-Cit3,J-Cit3,J-Cit3,J-Cit3,J-Cit3,J-Cit6,J-Cit6,J-Cit6,J-Cit6,J-Cit6,J-Cit6
E,Peak 1,79,79,79,84.5,84.5,84.5,78.5,78.5,78.5,84.5,84.5,85
E,Peak 2,None,None,None,None,None,None,None,None,None,None,None,None
F,Content,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn
F,Sample,J-Cit3,J-Cit3,J-Cit3,J-Cit3,J-Cit3,J-Cit3,J-Cit6,J-Cit6,J-Cit6,J-Cit6,J-Cit6,J-Cit6
F,Peak 1,79,79,79,84.5,84.5,84.5,78.5,78.5,78.5,84.5,84.5,84.5
F,Peak 2,None,None,None,None,None,None,None,None,None,None,None,None
G,Content,,,,,,,,,,,,
G,Sample,,,,,,,,,,,,
G,Peak 1,,,,,,,,,,,,
G,Peak 2,,,,,,,,,,,,
H,Content,NTC,NTC,NTC,NTC,NTC,NTC,NTC,NTC,NTC,,,
H,Sample,NTC,NTC,NTC,NTC,NTC,NTC,NTC,NTC,NTC,,,
H,Peak 1,78.5,78.5,78.5,78.5,78.5,78.5,None,None,None,,,
H,Peak 2,None,None,None,None,None,None,None,None,None,,,
