,Temperature,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,H1,H2,H3,H4,H5,H6,H7,H8,H9
,72,3684.26655190472,3782.83521185354,3877.16638640868,3972.02872639417,4228.02584124576,4154.54706737111,3789.28363901471,3799.11564885047,3813.47130821591,3960.63678239357,3885.27065367365,3815.02273650476,3728.75288914527,3617.67267644215,3856.55149256698,4073.24838217147,4161.00673465252,4370.22406260788,4042.7973299028,3939.86617704632,3889.78315305049,4099.75410404982,3960.72153666477,3845.84082371414,3613.82492262573,3776.15386610729,3982.54636959605,4157.74961467848,4201.8598192998,4166.85281441893,3969.55440333227,3544.86842960315,3880.9189932274,3938.30586557443,4026.38116338082,3961.39215352979,3707.07994222763,3597.89890141315,4004.90401371982,4051.65381698928,4229.18288831021,4272.15977306193,3958.48173540786,3948.32281954943,3903.90703847009,4015.5501337548,4212.6259300131,3998.59109537817,3519.85438771226,3404.0129534989,3924.07640902074,4130.53492054087,4204.25252989991,4225.50636678287,3952.70203185357,3926.56028828709,3824.3259589988,4111.0054671416,4110.6180183723,4119.1185000059,3803.32830893759,3922.26147538003,4070.25700292245,4184.37519056034,4201.67478675217,4165.96375195644,4039.65150265512,3904.78305784924,3850.78659619892,4156.7741065409,4112.13809415321,4102.03902668617,3587.3595928087,3641.64866023295,3599.61616349036,3922.33227011864,3879.22861565522,3899.33902265642,2529.7567962124,2560.31703249792,2624.359795837
,72.5,3656.28223530945,3752.08032619858,3842.88773839146,3940.54339045032,4193.14338241928,4119.56496191966,3757.55446294679,3767.65652963336,3781.73391296693,3930.06536246851,3854.03612082435,3788.87123599111,3699.94278978902,3593.37712513789,3823.93313735941,4039.8423382957,4126.61931844938,4331.9205165876,4004.0494663245,3904.58667878258,3857.01324806739,4065.12636123875,3928.79610859736,3817.43345285274,3587.27292694781,3746.14851826543,3944.13769892041,4122.31651256815,4167.14378834387,4132.07545421241,3934.20759886328,3523.52696167804,3847.9129704068,3909.50059608809,3992.0635230081,3929.07149708979,3677.76013718007,3572.40920832823,3967.70851233554,4019.69369977916,4193.3739872409,4234.40635597558,3923.1372824336,3914.11363718199,3871.37224701672,3983.80917671227,4175.03039498235,3968.12932270282,3495.74072284074,3384.29212200151,3887.80451291311,4096.09210211921,4168.46401797218,4190.26292301389,3918.12879988048,3893.13997163012,3792.63996859745,4076.41501099888,4074.73400345864,4083.89891750328,3771.12229388917,3887.10189800789,4034.67080392413,4146.85417668812,4166.1753287256,4131.21275825834,4001.76614270045,3870.76481734326,3819.7368183739,4121.66665826538,4077.92979168119,4069.1364758395,3558.27476774519,3609.55567478977,3567.29042423155,3889.3947194701,3846.47874526053,3866.1439510561,2528.06124074393,2558.30984613518,2619.54525587999
,73,3628.29791871418,3721.32544054361,3808.60909037424,3909.05805450647,4158.2609235928,4084.58285646821,3725.82528687886,3736.19741041626,3749.99651771795,3899.49394254344,3822.80158797505,3762.71973547747,3671.13269043278,3569.08157383362,3791.31478215183,4006.43629441993,4092.23190224624,4293.61697056732,3965.30160274621,3869.30718051884,3824.24334308429,4030.49861842768,3896.87068052994,3789.02608199134,3560.72093126988,3716.14317042357,3905.72902824476,4086.88341045781,4132.42775738795,4097.29809400588,3898.86079439429,3502.18549375293,3814.90694758619,3880.69532660175,3957.74588263538,3896.75084064979,3648.44033213251,3546.91951524331,3930.51301095125,3987.73358256903,4157.5650861716,4196.65293888923,3887.79282945934,3879.90445481455,3838.83745556335,3952.06821966973,4137.4348599516,3937.66755002748,3471.62705796923,3364.57129050411,3851.53261680547,4061.64928369754,4132.67550604445,4155.01947924492,3883.55556790738,3859.71965497315,3760.95397819609,4041.82455485617,4038.84998854497,4048.67933500065,3738.91627884075,3851.94232063575,3999.0846049258,4109.3331628159,4130.67587069903,4096.46176456023,3963.88078274579,3836.74657683728,3788.68704054888,4086.55920998987,4043.72148920917,4036.23392499283,3529.18994268169,3577.4626893466,3534.96468497273,3856.45716882156,3813.72887486584,3832.94887945579,2526.36568527545,2556.30265977243,2614.73071592299
,73.5,3600.31360211891,3690.57055488865,3774.33044235703,3877.57271856261,4123.37846476632,4049.60075101677,3694.09611081094,3704.73829119915,3718.25912246897,3868.92252261837,3791.56705512575,3736.56823496383,3642.32259107653,3544.78602252936,3758.69642694426,3973.03025054416,4057.84448604309,4255.31342454704,3926.55373916792,3834.0276822551,3791.47343810119,3995.87087561661,3864.94525246252,3760.61871112994,3534.16893559195,3686.13782258171,3867.32035756911,4051.45030834748,4097.71172643202,4062.52073379936,3863.51398992531,3480.84402582782,3781.90092476559,3851.89005711541,3923.42824226265,3864.43018420978,3619.12052708494,3521.42982215839,3893.31750956697,3955.77346535891,4121.75618510229,4158.89952180287,3852.44837648508,3845.6952724471,3806.30266410998,3920.3272626272,4099.83932492085,3907.20577735214,3447.51339309772,3344.85045900671,3815.26072069784,4027.20646527588,4096.88699411671,4119.77603547594,3848.98233593428,3826.29933831618,3729.26798779473,4007.23409871346,4002.96597363131,4013.45975249803,3706.71026379232,3816.78274326361,3963.49840592747,4071.81214894368,4095.17641267245,4061.71077086213,3925.99542279112,3802.7283363313,3757.63726272386,4051.45176171435,4009.51318673716,4003.33137414617,3500.10511761818,3545.36970390342,3502.63894571391,3823.51961817302,3780.97900447115,3799.75380785547,2524.67012980697,2554.29547340969,2609.91617596599
,74,3572.32928552364,3659.81566923368,3740.05179433981,3846.08738261876,4088.49600593984,4014.61864556532,3662.36693474301,3673.27917198205,3686.52172721999,3838.3511026933,3760.33252227645,3710.41673445019,3613.51249172028,3520.4904712251,3726.07807173668,3939.62420666839,4023.45706983995,4217.00987852676,3887.80587558962,3798.74818399136,3758.70353311809,3961.24313280554,3833.0198243951,3732.21134026854,3507.61693991403,3656.13247473985,3828.91168689347,4016.01720623714,4062.9956954761,4027.74337359283,3828.16718545632,3459.50255790271,3748.89490194499,3823.08478762906,3889.11060188993,3832.10952776978,3589.80072203738,3495.94012907347,3856.12200818269,3923.81334814878,4085.94728403298,4121.14610471652,3817.10392351082,3811.48609007966,3773.7678726566,3888.58630558466,4062.24378989009,3876.74400467679,3423.39972822621,3325.12962750931,3778.9888245902,3992.76364685422,4061.09848218898,4084.53259170697,3814.40910396118,3792.87902165921,3697.58199739338,3972.64364257075,3967.08195871765,3978.24016999541,3674.5042487439,3781.62316589147,3927.91220692915,4034.29113507146,4059.67695464588,4026.95977716402,3888.11006283645,3768.71009582532,3726.58748489884,4016.34431343883,3975.30488426514,3970.4288232995,3471.02029255467,3513.27671846024,3470.3132064551,3790.58206752447,3748.22913407646,3766.55873625516,2522.9745743385,2552.28828704694,2605.10163600899
,74.5,3544.34496892844,3629.06078357868,3705.77314632255,3814.60204667489,4053.61354711345,3979.63654011382,3630.63775867508,3641.82005276496,3654.78433197097,3807.77968276826,3729.09798942719,3684.26523393656,3584.70239236395,3496.19491992078,3693.45971652906,3906.21816279265,3989.06965363675,4178.70633250649,3849.05801201142,3763.46868572764,3725.93362813498,3926.61538999445,3801.0943963276,3703.80396940714,3481.0649442361,3626.12712689791,3790.50301621775,3980.58410412688,4028.27966452023,3992.96601338631,3792.82038098726,3438.16108997759,3715.88887912438,3794.27951814263,3854.79296151714,3799.7888713298,3560.48091698979,3470.45043598856,3818.9265067984,3891.85323093861,4050.13838296367,4083.39268763017,3781.75947053661,3777.27690771219,3741.2330812032,3856.8453485422,4024.64825485942,3846.28223200152,3399.28606335468,3305.40879601192,3742.71692848252,3958.32082843252,4025.30997026128,4049.28914793798,3779.83587198806,3759.45870500233,3665.89600699195,3938.05318642806,3931.19794380389,3943.0205874928,3642.29823369556,3746.46358851938,3892.32600793082,3996.77012119919,4024.17749661936,3992.20878346587,3850.22470288188,3734.69185531937,3695.53770707374,3981.23686516332,3941.0965817931,3937.52627245282,3441.93546749119,3481.18373301703,3437.98746719631,3757.64451687597,3715.4792636818,3733.36366465485,2521.27901887007,2550.28110068416,2600.287096052
,75,3516.36065233317,3598.30589792371,3671.49449830533,3783.11671073103,4018.73108828698,3944.65443466237,3598.90858260716,3610.36093354786,3623.04693672199,3777.20826284319,3697.86345657789,3658.11373342291,3555.8922930077,3471.89936861652,3660.84136132149,3872.81211891688,3954.6822374336,4140.40278648621,3810.31014843313,3728.1891874639,3693.16372315188,3891.98764718338,3769.16896826019,3675.39659854574,3454.51294855817,3596.12177905605,3752.09434554211,3945.15100201654,3993.5636335643,3958.18865317979,3757.47357651827,3416.81962205248,3682.88285630378,3765.47424865629,3820.47532114442,3767.4682148898,3531.16111194222,3444.96074290364,3781.73100541412,3859.89311372848,4014.32948189436,4045.63927054381,3746.41501756235,3743.06772534475,3708.69828974983,3825.10439149967,3987.05271982867,3815.82045932617,3375.17239848317,3285.68796451452,3706.44503237489,3923.87801001086,3989.52145833355,4014.045704169,3745.26264001496,3726.03838834536,3634.2100165906,3903.46273028534,3895.31392889022,3907.80100499017,3610.09221864713,3711.30401114724,3856.7398089325,3959.24910732697,3988.67803859279,3957.45778976777,3812.33934292721,3700.67361481339,3664.48792924871,3946.1294168878,3906.88827932108,3904.62372160615,3412.85064242768,3449.09074757385,3405.66172793749,3724.70696622743,3682.72939328711,3700.16859305453,2519.58346340159,2548.27391432142,2595.472556095
,75.5,3487.65967400344,3566.52377689048,3636.85357284406,3751.62609916334,3983.00639397971,3909.35357026322,3566.19903343152,3577.59314337612,3590.01602239915,3746.32253991806,3667.24408398434,3631.67014537083,3526.03270458287,3447.15436594518,3627.51862871777,3839.13769543608,3919.76089036374,4101.80211940586,3770.51773142192,3691.39839369089,3659.2717445811,3857.26394265292,3737.49078836652,3646.91757578119,3427.0142700793,3565.02860847311,3712.5196808896,3908.86166117943,3958.64503048655,3923.2505717862,3720.66122050298,3393.80024952449,3648.02091795275,3736.34364892708,3785.89725640501,3735.35220579836,3501.03516380529,3418.1692982907,3743.49648349464,3827.43173021957,3977.81909279996,4007.07032599603,3709.44339362387,3707.02798886235,3674.15907525656,3793.07097667171,3948.2269949747,3784.66406571672,3349.97922366402,3265.14877393076,3669.83387244514,3888.94813526704,3953.58013904,3978.18557411467,3708.94732348068,3691.00979283045,3600.96697318396,3868.58637129457,3859.01369973006,3872.31432663691,3577.08717860696,3675.15232328686,3819.88604402114,3921.93478021163,3952.38815392869,3922.31069101733,3773.22759962708,3665.14928935889,3631.84362601477,3910.59815073411,3872.60395202901,3871.27226558865,3381.62102507035,3415.53715129334,3372.12060723583,3687.49632997971,3645.7445899655,3663.27140462099,2517.28404194842,2545.79604467506,2590.17479257943
,76,3457.98287897628,3533.6230554042,3601.5529030075,3719.98209596158,3946.9018087068,3874.60083293913,3530.19046737694,3541.69535667123,3553.45382028319,3715.568509252,3637.11927946467,3605.3640089301,3494.87826514514,3421.51403248544,3592.84604082266,3805.4585813684,3884.72180842073,4063.63550959939,3726.52691212389,3650.38419011271,3621.40474047917,3822.80581460123,3706.00845073569,3618.75402706435,3398.81193957203,3532.96424762798,3671.79774149855,3872.55309604505,3923.62298389294,3888.47664990294,3679.63452719723,3366.83158019648,3608.61774336161,3707.15421834303,3751.43978085507,3703.11178895488,3470.2242605628,3390.07227340417,3703.96478901274,3794.90207204065,3941.38771721153,3968.63876542467,3668.27160344111,3666.77750018339,3635.32694059381,3761.23014469374,3908.78547396078,3753.02158331818,3323.90115699817,3243.33123067196,3632.55702170438,3854.09382830895,3918.04365323224,3942.47009821149,3668.1492011127,3651.25479373518,3563.40074055614,3834.13118411861,3822.59471940077,3837.2988887102,3543.96053563152,3637.95703110199,3781.17488012673,3884.97735631346,3916.25775788289,3887.85383403744,3729.30280681853,3625.52055496424,3594.25876185028,3875.44386109413,3838.31346619441,3838.43129503909,3347.39239115435,3379.08523672477,3335.86196370848,3639.84476191394,3599.03868249489,3616.18617750066,2514.41946657714,2543.02923813201,2585.20942550045
,76.5,3425.95166669752,3498.3741255025,3563.33649121917,3688.63006327416,3911.6259700416,3840.80660094628,3483.62965298988,3494.99494435884,3506.35901828136,3685.67294072311,3608.22771074985,3579.71477800005,3460.69214498027,3392.47768734761,3554.48397248046,3772.46613010766,3850.45450435724,4026.00271603965,3669.93662627014,3596.9222401351,3570.94155866539,3789.28500034007,3675.11375398017,3591.61581217508,3367.79401964959,3497.12271219349,3627.15999960756,3836.85343032956,3888.99233170083,3854.73095441793,3626.03866068727,3329.15547603221,3557.35609963579,3678.50551652575,3717.75713034368,3671.66955480087,3436.79238702433,3358.66075171046,3661.11391670342,3762.82001130802,3905.40559321367,3930.78681685715,3615.12848129167,3613.64399093941,3584.44475546749,3729.99340662766,3870.0785660973,3721.6297161983,3295.30617807347,3218.23688306079,3591.25855507222,3819.98296008979,3883.10149293245,3907.33289155459,3614.40542123919,3598.87276387409,3514.12681150859,3800.71288358359,3787.18649733493,3802.9093087925,3508.3389888533,3597.57283245712,3738.29930402272,3849.07305358099,3880.8830686844,3853.72632472511,3671.93682842984,3573.4893714548,3544.24264371537,3841.05922895277,3804.70692761966,3806.22676817102,3306.65751302121,3334.91248208141,3291.84480156142,3572.02825620204,3532.41142497209,3549.15787681044,2511.7329423537,2540.307161601,2580.25036597264
