,Well,Fluor,Target,Content,Sample,Biological Set Name,Cq,Cq Mean,Cq Std. Dev,Starting Quantity (SQ),Log Starting Quantity,SQ Mean,SQ Std. Dev,Set Point,Well Note
,A01,SYBR,Cit3,Unkn,Cit3,,17.1480909322269,17.1480909322269,0,NaN,NaN,NaN,0,72,
,A02,SYBR,Cit3,Unkn,Cit3,,16.5752137952506,16.5752137952506,0,NaN,NaN,NaN,0,72,
,A03,SYBR,Cit3,Unkn,Cit3,,15.7019874209955,15.7019874209955,0,NaN,NaN,NaN,0,72,
,A04,SYBR,mCh,Unkn,Cit3,,17.0151986590097,17.0151986590097,0,NaN,NaN,NaN,0,72,
,A05,SYBR,mCh,Unkn,Cit3,,16.2463687271075,16.2463687271075,0,NaN,NaN,NaN,0,72,
,A06,SYBR,mCh,Unkn,Cit3,,15.1510353967867,15.1510353967867,0,NaN,NaN,NaN,0,72,
,A07,SYBR,Cit6,Unkn,Cit6,,16.561820962952,16.561820962952,0,NaN,NaN,NaN,0,72,
,A08,SYBR,Cit6,Unkn,Cit6,,16.4098338612834,16.4098338612834,0,NaN,NaN,NaN,0,72,
,A09,SYBR,Cit6,Unkn,Cit6,,16.1735230275517,16.1735230275517,0,NaN,NaN,NaN,0,72,
,A10,SYBR,mCh,Unkn,Cit6,,16.1585132398425,16.1585132398425,0,NaN,NaN,NaN,0,72,
,A11,SYBR,mCh,Unkn,Cit6,,15.9159899677966,15.9159899677966,0,NaN,NaN,NaN,0,72,
,A12,SYBR,mCh,Unkn,Cit6,,16.0358934722069,16.0358934722069,0,NaN,NaN,NaN,0,72,
,B01,SYBR,Cit3,Unkn,Cit3,,17.0028347744545,17.0028347744545,0,NaN,NaN,NaN,0,72,
,B02,SYBR,Cit3,Unkn,Cit3,,16.3852349026638,16.3852349026638,0,NaN,NaN,NaN,0,72,
,B03,SYBR,Cit3,Unkn,Cit3,,15.7693486959685,15.7693486959685,0,NaN,NaN,NaN,0,72,
,B04,SYBR,mCh,Unkn,Cit3,,16.7588025033415,16.7588025033415,0,NaN,NaN,NaN,0,72,
,B05,SYBR,mCh,Unkn,Cit3,,15.7695630167451,15.7695630167451,0,NaN,NaN,NaN,0,72,
