,Well,Fluor,Target,Content,Sample,Melt Temperature,Peak Height,Begin Temperature,End Temperature,Well Note
,A01,SYBR,Cit9,Unkn,Cit9,80.5,261.925421535262,77,85.5,
,A02,SYBR,Cit9,Unkn,Cit9,80.5,303.53762412732,77,85,
,A03,SYBR,Cit9,Unkn,Cit9,80.5,300.3948979575,77,85,
,A04,SYBR,mCh,Unkn,Cit9,84.5,278.72806648849,80.5,89,
,A05,SYBR,mCh,Unkn,Cit9,84.5,294.475711979792,81,90.5,
,A06,SYBR,mCh,Unkn,Cit9,85,289.903276599678,81,89.5,
,A07,SYBR,CitMax,Unkn,CitMax,83.5,241.810527378665,80,89,
,A08,SYBR,CitMax,Unkn,CitMax,83.5,239.628352260243,80,88.5,
,A09,SYBR,CitMax,Unkn,CitMax,83.5,238.040858956944,80,90,
,A10,SYBR,mCh,Unkn,CitMax,84.5,259.277297773598,81,90.5,
,A11,SYBR,mCh,Unkn,CitMax,84.5,244.519212782569,81,88.5,
,A12,SYBR,mCh,Unkn,CitMax,85,244.178853054594,79,91.5,
,B01,SYBR,Cit9,Unkn,Cit9,80.5,290.569859926593,77,84.5,
,B02,SYBR,Cit9,Unkn,Cit9,80.5,306.478206349488,77,87,
,B03,SYBR,Cit9,Unkn,Cit9,80.5,308.128896709212,77,87,
,B04,SYBR,mCh,Unkn,Cit9,84.5,299.147969774774,81,89.5,
,B05,SYBR,mCh,Unkn,Cit9,84.5,308.854331899361,81.5,90.5,
,B06,SYBR,mCh,Unkn,Cit9,84.5,326.983933133666,81,89,
,B07,SYBR,CitMax,Unkn,CitMax,83.5,267.796791648575,80,87.5,
,B08,SYBR,CitMax,Unkn,CitMax,83.5,263.220176995765,80,89,
,B09,SYBR,CitMax,Unkn,CitMax,83.5,256.940384574074,80,87.5,
,B10,SYBR,mCh,Unkn,CitMax,84.5,281.918367073318,81,90,
,B11,SYBR,mCh,Unkn,CitMax,84.5,259.250670634766,81,89,
,B12,SYBR,mCh,Unkn,CitMax,85,249.63885758829,80,90,
,C01,SYBR,Cit9,Unkn,Cit9,80.5,284.257008678682,77,87,
,C02,SYBR,Cit9,Unkn,Cit9,80.5,319.319498145124,77,84.5,
,C03,SYBR,Cit9,Unkn,Cit9,80.5,320.927304928507,77,86.5,
,C04,SYBR,mCh,Unkn,Cit9,84.5,314.624521772331,80.5,89,
,C05,SYBR,mCh,Unkn,Cit9,84.5,327.099610667718,81,92,
,C06,SYBR,mCh,Unkn,Cit9,84.5,311.674423322062,80.5,91.5,
,C07,SYBR,CitMax,Unkn,CitMax,83.5,280.394082905624,80,88,
,C08,SYBR,CitMax,Unkn,CitMax,83.5,256.95777613243,80,88,
,C09,SYBR,CitMax,Unkn,CitMax,83.5,254.298852686876,79.5,88,
,C10,SYBR,mCh,Unkn,CitMax,84.5,277.511447723029,80.5,90,
,C11,SYBR,mCh,Unkn,CitMax,84.5,273.061964178297,81,91,
,C12,SYBR,mCh,Unkn,CitMax,85,262.771542944599,81.5,90.5,
,D01,SYBR,Cit9,Unkn,J-Cit9,80.5,289.373407337418,77,84.5,
,D02,SYBR,Cit9,Unkn,J-Cit9,80.5,325.045230386758,77,87.5,
,D03,SYBR,Cit9,Unkn,J-Cit9,80.5,314.482800307377,77,86.5,
,D04,SYBR,mCh,Unkn,J-Cit9,84.5,267.457681259184,81,89,
,D05,SYBR,mCh,Unkn,J-Cit9,84.5,315.917461017494,81,89,
,D06,SYBR,mCh,Unkn,J-Cit9,84.5,318.465943029219,81,89,
,D07,SYBR,CitMax,Unkn,J-CitMax,83.5,281.195702393397,80,87.5,
,D08,SYBR,CitMax,Unkn,J-CitMax,83.5,280.465204400048,80,88.5,
,D09,SYBR,CitMax,Unkn,J-CitMax,83.5,268.47970529655,79.5,88,
,D10,SYBR,mCh,Unkn,J-CitMax,84.5,287.029173667932,80.5,89,
,D11,SYBR,mCh,Unkn,J-CitMax,85,279.942315967954,81,90,
,D12,SYBR,mCh,Unkn,J-CitMax,85,293.274045886202,81,89.5,
