,Temperature,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,H1,H2,H3,H4,H5,H6,H7,H8,H9
,72,3635.37100428203,3840.61683641136,3855.37247565758,3987.33285373373,4359.1139178859,4063.63653862578,3748.37092535813,3736.4409464758,3751.70585745189,3894.52949409932,3872.87868132156,3711.04998668807,3807.60782018881,3888.18768024817,3872.37595936549,4030.79127123392,4128.40673218329,4325.00611587752,3936.83527807184,3874.89643284725,3844.81085370712,3992.2840947496,3851.70056453536,3776.02033952445,3748.65960199891,3910.23475861271,3923.80169459484,4119.80223411792,4182.51925462314,4179.30900294809,3994.02097874976,3851.05765856249,3806.35493564855,3951.13286478492,3899.16131644283,3936.36077160364,3794.43559770642,3945.30882572556,3960.33672496666,3821.38842741785,4182.01906844098,4178.55647006139,3979.32593979026,3969.34032218665,3929.1242081445,4090.34143977848,3981.01606334809,4006.28149568318,3627.65238377316,3863.72201372759,3908.50528914782,3986.45110419474,4147.52061492679,4153.05913846784,3958.9990464091,3914.82094647282,3822.37612650101,4060.72839210316,4064.23306731769,4007.28390742009,3613.81893002789,3914.39106025598,4051.99553591303,4068.42423840868,4126.75884377462,4178.93000006573,4026.42429740593,3907.63720552385,3779.20156277322,4104.46085266579,4069.24373901988,4014.02653477532,2573.59774532721,2569.32654546647,2550.47879757517,2575.15463312078,2587.66443561125,2525.80940607276,2526.34654388872,2559.6436181115,2588.15698126511
,72.5,3608.76959948318,3808.50540782362,3822.28842611511,3954.55639486333,4321.34383136996,4030.89961464923,3717.58215197338,3706.19501201209,3721.09937546959,3864.66632298333,3839.48065382011,3686.33081318453,3775.22107409431,3855.5560098312,3839.26363381139,3997.78254327649,4094.76134599461,4286.97970678785,3902.06652381132,3841.50326011848,3812.47733823646,3960.24233431146,3822.84888856227,3747.86334449445,3718.05549905811,3875.59467890443,3888.46474021093,4084.46755140995,4146.94030462366,4143.54024556782,3958.04196550547,3819.99743464309,3775.35032885067,3921.63195171934,3868.89041181454,3904.33607185662,3762.01935007744,3908.82722901387,3924.07963185545,3795.36283147402,4146.78437228466,4141.48829149019,3942.87285646892,3933.78279358895,3894.74390551216,4053.28414109428,3948.25394813743,3973.00010570495,3600.23254794319,3830.27698856358,3873.40742683972,3955.9274215536,4112.37902821409,4118.67331069184,3923.35521749368,3880.76186668957,3790.19039292626,4026.52546255744,4028.23132663042,3973.73437568077,3587.77553019607,3879.63605632218,4015.36551299983,4034.66835498162,4092.11556531095,4142.45088777391,3988.92065303107,3873.22101221547,3749.62133760468,4069.99914035738,4034.77860365804,3981.44512989365,2570.46862267108,2566.13127184832,2547.49004646979,2572.30732161871,2583.31789464428,2523.21698982508,2523.38897929619,2557.18724900893,2585.12911863999
,73,3582.16819468433,3776.39397923589,3789.20437657264,3921.77993599292,4283.57374485402,3998.16269067268,3686.79337858863,3675.94907754839,3690.49289348729,3834.80315186733,3806.08262631866,3661.61163968099,3742.83432799981,3822.92433941423,3806.15130825728,3964.77381531906,4061.11595980594,4248.95329769818,3867.2977695508,3808.11008738971,3780.14382276581,3928.20057387332,3793.99721258919,3719.70634946445,3687.45139611732,3840.95459919616,3853.12778582702,4049.13286870197,4111.36135462418,4107.77148818755,3922.06295226118,3788.9372107237,3744.34572205279,3892.13103865376,3838.61950718624,3872.31137210959,3729.60310244847,3872.34563230217,3887.82253874423,3769.33723553019,4111.54967612835,4104.42011291899,3906.41977314758,3898.22526499125,3860.36360287981,4016.22684241007,3915.49183292678,3939.71871572672,3572.81271211322,3796.83196339957,3838.30956453162,3925.40373891246,4077.23744150139,4084.28748291584,3887.71138857826,3846.70278690632,3758.00465935152,3992.32253301171,3992.22958594316,3940.18484394145,3561.73213036424,3844.88105238838,3978.73549008662,4000.91247155457,4057.47228684729,4105.97177548208,3951.41700865621,3838.80481890708,3720.04111243613,4035.53742804897,4000.31346829619,3948.86372501198,2567.33950001496,2562.93599823017,2544.50129536442,2569.46001011663,2578.97135367731,2520.6245735774,2520.43141470367,2554.73087990637,2582.10125601487
,73.5,3555.56678988548,3744.28255064815,3756.12032703017,3889.00347712251,4245.80365833808,3965.42576669613,3656.00460520388,3645.70314308468,3659.886411505,3804.93998075133,3772.68459881721,3636.89246617744,3710.44758190531,3790.29266899726,3773.03898270318,3931.76508736164,4027.47057361726,4210.92688860851,3832.52901529027,3774.71691466095,3747.81030729516,3896.15881343518,3765.1455366161,3691.54935443445,3656.84729317652,3806.31451948788,3817.79083144311,4013.79818599399,4075.7824046247,4072.00273080728,3886.08393901689,3757.8769868043,3713.34111525491,3862.63012558818,3808.34860255795,3840.28667236257,3697.18685481949,3835.86403559048,3851.56544563301,3743.31163958636,4076.31497997203,4067.3519343478,3869.96668982624,3862.66773639356,3825.98330024747,3979.16954372587,3882.72971771613,3906.43732574848,3545.39287628325,3763.38693823556,3803.21170222353,3894.88005627132,4042.0958547887,4049.90165513984,3852.06755966284,3812.64370712308,3725.81892577678,3958.11960346599,3956.2278452559,3906.63531220213,3535.68873053242,3810.12604845459,3942.10546717342,3967.15658812751,4022.82900838363,4069.49266319026,3913.91336428135,3804.3886255987,3690.46088726759,4001.07571574055,3965.84833293435,3916.28232013031,2564.21037735883,2559.74072461202,2541.51254425904,2566.61269861456,2574.62481271034,2518.03215732971,2517.47385011114,2552.2745108038,2579.07339338974
,74,3528.96538508663,3712.17112206042,3723.0362774877,3856.2270182521,4208.03357182214,3932.68884271958,3625.21583181913,3615.45720862097,3629.2799295227,3775.07680963534,3739.28657131576,3612.1732926739,3678.0608358108,3757.66099858029,3739.92665714907,3898.75635940421,3993.82518742859,4172.90047951884,3797.76026102975,3741.32374193218,3715.4767918245,3864.11705299704,3736.29386064302,3663.39235940445,3626.24319023573,3771.6744397796,3782.4538770592,3978.46350328602,4040.20345462522,4036.23397342701,3850.1049257726,3726.81676288491,3682.33650845703,3833.12921252259,3778.07769792966,3808.26197261555,3664.77060719052,3799.38243887878,3815.3083525218,3717.28604364253,4041.08028381572,4030.2837557766,3833.5136065049,3827.11020779586,3791.60299761512,3942.11224504166,3849.96760250547,3873.15593577025,3517.97304045329,3729.94191307155,3768.11383991543,3864.35637363018,4006.954268076,4015.51582736384,3816.42373074742,3778.58462733983,3693.63319220203,3923.91667392027,3920.22610456864,3873.08578046281,3509.6453307006,3775.37104452079,3905.47544426022,3933.40070470046,3988.18572991996,4033.01355089844,3876.40971990648,3769.97243229032,3660.88066209905,3966.61400343214,3931.38319757251,3883.70091524864,2561.08125470271,2556.54545099388,2538.52379315367,2563.76538711248,2570.27827174336,2515.43974108203,2514.51628551862,2549.81814170124,2576.04553076462
,74.5,3502.36398028776,3680.05969347262,3689.95222794523,3823.45055938163,4170.26348530628,3899.95191874307,3594.42705843434,3585.21127415728,3598.67344754037,3745.21363851938,3705.8885438143,3587.45411917034,3645.67408971635,3725.02932816328,3706.81433159495,3865.74763144676,3960.17980123989,4134.87407042913,3762.99150676914,3707.93056920339,3683.14327635392,3832.07529255887,3707.44218466991,3635.23536437445,3595.63908729484,3737.03436007128,3747.11692267527,3943.12882057804,4004.62450462576,4000.46521604674,3814.12591252831,3695.75653896546,3651.33190165911,3803.62829945706,3747.80679330136,3776.23727286854,3632.35435956151,3762.90084216709,3779.0512594106,3691.26044769872,4005.8455876594,3993.21557720537,3797.06052318357,3791.55267919814,3757.22269498277,3905.05494635746,3817.20548729485,3839.87454579212,3490.5532046233,3696.49688790747,3733.01597760728,3833.83269098902,3971.81268136326,3981.12999958783,3780.77990183193,3744.52554755658,3661.44745862733,3889.71374437451,3884.22436388139,3839.5362487234,3483.60193086877,3740.61604058703,3868.845421347,3899.64482127336,3953.54245145634,3996.53443860666,3838.90607553167,3735.55623898191,3631.30043693049,3932.15229112369,3896.91806221064,3851.11951036701,2557.95213204661,2553.35017737578,2535.53504204826,2560.9180756104,2565.93173077635,2512.84732483432,2511.55872092612,2547.36177259869,2573.0176681395
,75,3475.76257548891,3647.94826488489,3656.86817840276,3790.67410051123,4132.49339879034,3867.21499476652,3563.63828504959,3554.96533969357,3568.06696555807,3715.35046740339,3672.49051631285,3562.73494566679,3613.28734362185,3692.39765774631,3673.70200604084,3832.73890348934,3926.53441505122,4096.84766133946,3728.22275250862,3674.53739647462,3650.80976088327,3800.03353212073,3678.59050869683,3607.07836934445,3565.03498435404,3702.39428036301,3711.77996829136,3907.79413787007,3969.04555462628,3964.69645866647,3778.14689928402,3664.69631504606,3620.32729486124,3774.12738639148,3717.53588867307,3744.21257312151,3599.93811193253,3726.41924545539,3742.79416629939,3665.23485175489,3970.61089150308,3956.14739863417,3760.60743986223,3755.99515060045,3722.84239235042,3867.99764767325,3784.4433720842,3806.59315581389,3463.13336879333,3663.05186274346,3697.91811529919,3803.30900834789,3936.67109465056,3946.74417181183,3745.13607291651,3710.46646777333,3629.26172505259,3855.51081482879,3848.22262319412,3805.98671698408,3457.55853103695,3705.86103665323,3832.21539843379,3865.8889378463,3918.89917299268,3960.05532631484,3801.40243115681,3701.14004567352,3601.72021176195,3897.69057881528,3862.45292684879,3818.53810548534,2554.82300939049,2550.15490375763,2532.54629094289,2558.07076410833,2561.58518980938,2510.25490858664,2508.6011563336,2544.90540349612,2569.98980551437
,75.5,3448.6926185286,3615.92560028441,3623.9023323623,3757.91465090861,4094.30341223144,3834.28234280936,3533.21703068758,3524.70545920919,3537.20628364832,3685.24171938489,3639.77565821015,3538.01041893989,3580.95915584778,3660.01318805485,3640.66092918123,3799.63368930756,3892.39419779858,4058.51678506592,3693.3313735996,3640.88546664502,3618.3755294081,3767.81783900215,3650.26200249788,3578.90231693996,3534.00686255059,3668.19830043994,3676.8372983304,3872.43946633828,3933.20019589259,3929.14276701756,3742.43465495263,3633.37744957649,3589.24320521803,3744.13615105437,3687.23336722967,3712.70666858566,3567.42135418326,3690.07036228103,3706.59740681528,3638.62109045821,3934.88352880889,3919.1735161194,3724.30300460286,3720.71475348457,3688.3391466374,3831.09851633892,3751.71716116049,3773.61466594751,3435.80880538226,3629.84560439198,3662.58536422271,3772.22201242037,3901.49307426196,3912.12845189973,3710.12315585168,3676.49296423772,3597.27123541856,3821.28168307808,3811.99296498819,3772.30223211537,3431.53758828096,3671.21786403981,3795.44791284403,3831.94482446582,3884.5252138116,3923.70533350739,3764.47341394482,3666.94898217872,3572.16841358129,3863.36420485345,3828.2842299732,3786.40131426534,2551.44843977614,2546.88179973708,2529.48320351621,2554.95202000467,2556.93974715458,2507.65058590011,2506.02094980797,2542.10327388058,2566.79969534862
,76,3421.65515795507,3584.00881338209,3591.45547744934,3725.41692252902,4056.35043167157,3801.81740988088,3503.21650540898,3494.47270836839,3506.42414949124,3655.5162669541,3608.29697929527,3513.7816537744,3549.17173103035,3628.05846359874,3607.94281633505,3766.96286443455,3858.60764620364,4020.4697088929,3659.3526854757,3607.29692616098,3586.30880422039,3735.98965925359,3622.25131771762,3551.67524766027,3503.43451000022,3634.43705829629,3642.28604961472,3837.61120104779,3898.19417099376,3893.87486294498,3707.5288045586,3602.31658131568,3558.47425697421,3714.1332669823,3657.31345505566,3681.8739087038,3535.04838243522,3653.87616243257,3670.79442377758,3611.86517064658,3899.38342291902,3882.99320778978,3688.78622459226,3686.02676752708,3654.40590359385,3794.88840504061,3719.06532099786,3741.37230794167,3408.51145649354,3597.01824300149,3627.75608224377,3740.9914871344,3866.78931101028,3877.78617546172,3675.82795744499,3642.78638768967,3565.6782995817,3787.73783940338,3776.76607929082,3738.96368070888,3405.8790177722,3637.38833835753,3758.96524604207,3798.67444450354,3850.44194631778,3887.71449914281,3728.02553771068,3633.60595426735,3542.66798051636,3829.48997035942,3793.99482621666,3755.05896450999,2548.14309115578,2543.82250088127,2526.64249613965,2551.8232029484,2552.50908039254,2505.10064479993,2503.56307226004,2539.44358362641,2563.79381708542
,76.5,3395.15270832562,3552.74097765929,3559.53456036672,3693.67345556438,4019.07803510038,3769.80643038882,3474.151008973,3465.23940917812,3476.40389422922,3626.11455630243,3577.95862233263,3489.72501395369,3517.95595942022,3596.85832505181,3575.92371859953,3734.91549912757,3825.87725773768,3983.3665128365,3625.99285758111,3574.88076165514,3555.24521298121,3704.86166793712,3594.84074893772,3524.73486216768,3473.48971281755,3601.50179805598,3608.84127498757,3803.51307326853,3864.15644766077,3859.29403873151,3674.11555868369,3571.95330966442,3528.0850873491,3684.66115696948,3627.68377221099,3652.28976071697,3503.47788197095,3619.18557047378,3635.56401080594,3585.28752843573,3864.85577062759,3847.77447403332,3654.609612653,3652.58361294134,3621.47908657052,3760.27762967294,3687.09233521553,3709.42978729777,3381.52999451819,3564.97807574281,3593.76977573215,3710.16260408129,3833.16380005438,3844.06324384568,3642.79680795716,3610.5015475721,3534.80100399861,3754.88163651867,3742.74535591551,3706.75935880812,3380.7191134203,3604.23944056755,3723.08604114631,3766.04612763707,3817.50170244057,3852.63539960621,3693.09449114275,3601.5123849128,3514.19916115082,3796.26064778562,3760.69640279928,3724.4193200211,2545.19389721901,2540.95690265804,2523.87680169897,2548.65035685833,2548.37090089183,2503.0381536837,2501.11217302808,2536.56545596318,2560.61555950066
