,,1,2,3,4,5,6,7,8,9,10,11,12
A,Content,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn
A,Sample,Cit9,Cit9,Cit9,Cit9,Cit9,Cit9,CitMax,CitMax,CitMax,CitMax,CitMax,CitMax
A,Cq,19.8623347606543,16.3674586386427,16.5203983094811,18.2221823838282,15.5713154600679,15.4452252412779,17.9367494996691,17.3250807577951,17.5257697390224,16.1934541348446,16.1043765451236,16.0070729499887
A,copy number,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
B,Content,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn
B,Sample,Cit9,Cit9,Cit9,Cit9,Cit9,Cit9,CitMax,CitMax,CitMax,CitMax,CitMax,CitMax
B,Cq,19.4268586416321,16.3321978036066,16.3631908298009,17.9605562640382,15.2494093441249,15.2752383672194,17.662659949318,17.10247313178,17.2609074745526,15.9811674878254,15.5934532118382,15.7672387531304
B,copy number,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
C,Content,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn
C,Sample,Cit9,Cit9,Cit9,Cit9,Cit9,Cit9,CitMax,CitMax,CitMax,CitMax,CitMax,CitMax
C,Cq,19.5430796734954,16.2766662444011,16.1818722804255,17.8412937982153,15.1293379602382,15.3092026016583,17.4992864288342,17.1172380039842,17.2509168231085,16.0261502258005,15.3503817068567,15.8802609768007
C,copy number,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
D,Content,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn
D,Sample,J-Cit9,J-Cit9,J-Cit9,J-Cit9,J-Cit9,J-Cit9,J-CitMax,J-CitMax,J-CitMax,J-CitMax,J-CitMax,J-CitMax
D,Cq,16.1411327822595,15.2647745407178,16.4330644835181,15.7446743258729,14.9339486020013,15.1968594091053,15.9646291060294,15.6009734025152,16.1098764411716,15.0107562686284,14.8045915776174,15.0371496178845
D,copy number,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
E,Content,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn
E,Sample,J-Cit9,J-Cit9,J-Cit9,J-Cit9,J-Cit9,J-Cit9,J-CitMax,J-CitMax,J-CitMax,J-CitMax,J-CitMax,J-CitMax
E,Cq,16.3667628657031,15.3671793543261,16.3819233281938,15.5605336021719,14.942421723912,15.273532731663,16.0488409793184,15.6958492827413,16.216368553246,14.9744936933098,14.8396840699703,15.1992077331946
E,copy number,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
F,Content,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn
F,Sample,J-Cit9,J-Cit9,J-Cit9,J-Cit9,J-Cit9,J-Cit9,J-CitMax,J-CitMax,J-CitMax,J-CitMax,J-CitMax,J-CitMax
F,Cq,16.2300896658249,15.1861776967953,16.3688206382158,15.4222703095539,15.0197779557919,15.2485323363816,15.9950352907961,15.6775727480087,16.0609895011938,14.8046521347823,14.6752274828923,15.0267903549911
F,copy number,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
G,Content,,,,,,,,,,,,
G,Sample,,,,,,,,,,,,
G,Cq,,,,,,,,,,,,
G,copy number,,,,,,,,,,,,
H,Content,NTC,NTC,NTC,NTC,NTC,NTC,NTC,NTC,NTC,,,
H,Sample,NTC,NTC,NTC,NTC,NTC,NTC,NTC,NTC,NTC,,,
H,Cq,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,
H,copy number,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,
