,Well,Fluor,Target,Content,Sample,Melt Temp
,A01,SYBR,Citmin,Unkn,Citmin,81.5
,A02,SYBR,Citmin,Unkn,Citmin,81
,A03,SYBR,Citmin,Unkn,Citmin,81
,A04,SYBR,mCh,Unkn,Citmin,85
,A05,SYBR,mCh,Unkn,Citmin,85
,A06,SYBR,mCh,Unkn,Citmin,85
,A07,SYBR,Cit0,Unkn,Cit0,80.5
,A08,SYBR,Cit0,Unkn,Cit0,80.5
,A09,SYBR,Cit0,Unkn,Cit0,80.5
,A10,SYBR,mCh,Unkn,Cit0,85
,A11,SYBR,mCh,Unkn,Cit0,85
,A12,SYBR,mCh,Unkn,Cit0,85
,B01,SYBR,Citmin,Unkn,Citmin,81
,B02,SYBR,Citmin,Unkn,Citmin,81
,B03,SYBR,Citmin,Unkn,Citmin,81
,B04,SYBR,mCh,Unkn,Citmin,84.5
,B05,SYBR,mCh,Unkn,Citmin,84.5
,B06,SYBR,mCh,Unkn,Citmin,85
,B07,SYBR,Cit0,Unkn,Cit0,80.5
,B08,SYBR,Cit0,Unkn,Cit0,80.5
,B09,SYBR,Cit0,Unkn,Cit0,80.5
,B10,SYBR,mCh,Unkn,Cit0,84.5
,B11,SYBR,mCh,Unkn,Cit0,85
,B12,SYBR,mCh,Unkn,Cit0,85
,C01,SYBR,Citmin,Unkn,Citmin,81
,C02,SYBR,Citmin,Unkn,Citmin,81
,C03,SYBR,Citmin,Unkn,Citmin,81
,C04,SYBR,mCh,Unkn,Citmin,84.5
,C05,SYBR,mCh,Unkn,Citmin,85
,C06,SYBR,mCh,Unkn,Citmin,85
,C07,SYBR,Cit0,Unkn,Cit0,80.5
,C08,SYBR,Cit0,Unkn,Cit0,80.5
,C09,SYBR,Cit0,Unkn,Cit0,80.5
,C10,SYBR,mCh,Unkn,Cit0,84.5
,C11,SYBR,mCh,Unkn,Cit0,85
,C12,SYBR,mCh,Unkn,Cit0,85
,D01,SYBR,Citmin,Unkn,J-Citmin,81
,D02,SYBR,Citmin,Unkn,J-Citmin,81
,D03,SYBR,Citmin,Unkn,J-Citmin,81
,D04,SYBR,mCh,Unkn,J-Citmin,84.5
,D05,SYBR,mCh,Unkn,J-Citmin,85
,D06,SYBR,mCh,Unkn,J-Citmin,85
,D07,SYBR,Cit0,Unkn,J-Cit0,80.5
,D08,SYBR,Cit0,Unkn,J-Cit0,80.5
,D09,SYBR,Cit0,Unkn,J-Cit0,80.5
,D10,SYBR,mCh,Unkn,J-Cit0,85
,D11,SYBR,mCh,Unkn,J-Cit0,85
,D12,SYBR,mCh,Unkn,J-Cit0,85
,E01,SYBR,Citmin,Unkn,J-Citmin,81
,E02,SYBR,Citmin,Unkn,J-Citmin,81
,E03,SYBR,Citmin,Unkn,J-Citmin,81
,E04,SYBR,mCh,Unkn,J-Citmin,84.5
,E05,SYBR,mCh,Unkn,J-Citmin,84.5
,E06,SYBR,mCh,Unkn,J-Citmin,84.5
,E07,SYBR,Cit0,Unkn,J-Cit0,80.5
,E08,SYBR,Cit0,Unkn,J-Cit0,80.5
,E09,SYBR,Cit0,Unkn,J-Cit0,80.5
,E10,SYBR,mCh,Unkn,J-Cit0,84.5
,E11,SYBR,mCh,Unkn,J-Cit0,85
,E12,SYBR,mCh,Unkn,J-Cit0,85
,F01,SYBR,Citmin,Unkn,J-Citmin,81
,F02,SYBR,Citmin,Unkn,J-Citmin,81
,F03,SYBR,Citmin,Unkn,J-Citmin,81
,F04,SYBR,mCh,Unkn,J-Citmin,84.5
,F05,SYBR,mCh,Unkn,J-Citmin,84.5
,F06,SYBR,mCh,Unkn,J-Citmin,84.5
,F07,SYBR,Cit0,Unkn,J-Cit0,80.5
,F08,SYBR,Cit0,Unkn,J-Cit0,80.5
,F09,SYBR,Cit0,Unkn,J-Cit0,80.5
,F10,SYBR,mCh,Unkn,J-Cit0,84.5
,F11,SYBR,mCh,Unkn,J-Cit0,85
,F12,SYBR,mCh,Unkn,J-Cit0,85
,H01,SYBR,Citmin,NTC,NTC,None
,H02,SYBR,Citmin,NTC,NTC,None
,H03,SYBR,Citmin,NTC,NTC,None
,H04,SYBR,mCh,NTC,NTC,None
,H05,SYBR,mCh,NTC,NTC,None
,H06,SYBR,mCh,NTC,NTC,None
,H07,SYBR,Cit0,NTC,NTC,None
,H08,SYBR,Cit0,NTC,NTC,None
,H09,SYBR,Cit0,NTC,NTC,None
