,Well,Fluor,Target,Content,Sample,Melt Temperature,Peak Height,Begin Temperature,End Temperature,Well Note
,A01,SYBR,Citmin,Unkn,Citmin,81.5,269.860646086471,77.5,88.5,
,A02,SYBR,Citmin,Unkn,Citmin,81,300.09113634818,77,85.5,
,A03,SYBR,Citmin,Unkn,Citmin,81,300.197959629235,77,85.5,
,A04,SYBR,mCh,Unkn,Citmin,85,305.205402354261,81,89,
,A05,SYBR,mCh,Unkn,Citmin,85,320.357316808002,81.5,89,
,A06,SYBR,mCh,Unkn,Citmin,85,317.976521970914,81,89,
,A07,SYBR,Cit0,Unkn,Cit0,80.5,290.214288631809,77,85,
,A08,SYBR,Cit0,Unkn,Cit0,80.5,285.15169124187,76.5,86,
,A09,SYBR,Cit0,Unkn,Cit0,80.5,281.142760887159,77,85,
,A10,SYBR,mCh,Unkn,Cit0,85,284.800238186572,81.5,91,
,A11,SYBR,mCh,Unkn,Cit0,85,268.712150013398,81,89.5,
,A12,SYBR,mCh,Unkn,Cit0,85,257.012018151521,80,88.5,
,B01,SYBR,Citmin,Unkn,Citmin,81,284.289948584555,77.5,87.5,
,B02,SYBR,Citmin,Unkn,Citmin,81,305.265199256821,77,86.5,
,B03,SYBR,Citmin,Unkn,Citmin,81,301.054353221406,77,86,
,B04,SYBR,mCh,Unkn,Citmin,84.5,312.89732430611,81,89,
,B05,SYBR,mCh,Unkn,Citmin,84.5,313.471730893253,81,89.5,
,B06,SYBR,mCh,Unkn,Citmin,85,353.769239869191,81,89.5,
,B07,SYBR,Cit0,Unkn,Cit0,80.5,312.367876091563,77,87,
,B08,SYBR,Cit0,Unkn,Cit0,80.5,314.088784751315,77,85,
,B09,SYBR,Cit0,Unkn,Cit0,80.5,305.29244503348,74.5,85,
,B10,SYBR,mCh,Unkn,Cit0,84.5,303.837702832533,81,90,
,B11,SYBR,mCh,Unkn,Cit0,85,280.069794754856,79.5,89.5,
,B12,SYBR,mCh,Unkn,Cit0,85,267.180985481524,81,90,
,C01,SYBR,Citmin,Unkn,Citmin,81,280.37480344711,77.5,85.5,
,C02,SYBR,Citmin,Unkn,Citmin,81,315.654705161848,77,85.5,
,C03,SYBR,Citmin,Unkn,Citmin,81,319.672841461386,77,88,
,C04,SYBR,mCh,Unkn,Citmin,84.5,332.081559760301,81.5,89,
,C05,SYBR,mCh,Unkn,Citmin,85,341.654725138892,81,91,
,C06,SYBR,mCh,Unkn,Citmin,85,331.120532185966,81,89.5,
,C07,SYBR,Cit0,Unkn,Cit0,80.5,328.182677456159,76.5,86,
,C08,SYBR,Cit0,Unkn,Cit0,80.5,293.948317316739,76.5,85,
,C09,SYBR,Cit0,Unkn,Cit0,80.5,292.796018109592,76.5,87,
,C10,SYBR,mCh,Unkn,Cit0,84.5,292.631539789805,81,91.5,
,C11,SYBR,mCh,Unkn,Cit0,85,291.308503055743,81,90.5,
,C12,SYBR,mCh,Unkn,Cit0,85,273.904516412148,80.5,91,
,D01,SYBR,Citmin,Unkn,J-Citmin,81,288.228590209596,77,88,
,D02,SYBR,Citmin,Unkn,J-Citmin,81,323.917270595707,77.5,86.5,
,D03,SYBR,Citmin,Unkn,J-Citmin,81,312.170912963431,77.5,88,
,D04,SYBR,mCh,Unkn,J-Citmin,84.5,318.811161922757,81,93,
,D05,SYBR,mCh,Unkn,J-Citmin,85,336.912942964394,81,90,
,D06,SYBR,mCh,Unkn,J-Citmin,85,336.11102455072,81.5,91.5,
,D07,SYBR,Cit0,Unkn,J-Cit0,80.5,317.165291508658,77,86,
,D08,SYBR,Cit0,Unkn,J-Cit0,80.5,312.310859098049,76.5,85,
,D09,SYBR,Cit0,Unkn,J-Cit0,80.5,293.355587735235,76.5,86,
,D10,SYBR,mCh,Unkn,J-Cit0,85,289.407584525719,81,91,
,D11,SYBR,mCh,Unkn,J-Cit0,85,289.804661267263,81,89,
,D12,SYBR,mCh,Unkn,J-Cit0,85,302.218421154711,81.5,90,
,E01,SYBR,Citmin,Unkn,J-Citmin,81,267.517011790908,77,86,
,E02,SYBR,Citmin,Unkn,J-Citmin,81,305.62778885375,77.5,86.5,
,E03,SYBR,Citmin,Unkn,J-Citmin,81,314.032533082844,77,85.5,
,E04,SYBR,mCh,Unkn,J-Citmin,84.5,330.579628516977,81,91,
,E05,SYBR,mCh,Unkn,J-Citmin,84.5,333.717634322461,81,92.5,
,E06,SYBR,mCh,Unkn,J-Citmin,84.5,328.881352158166,81,89,
,E07,SYBR,Cit0,Unkn,J-Cit0,80.5,313.301447528128,77,88.5,
,E08,SYBR,Cit0,Unkn,J-Cit0,80.5,299.202288278198,77,87,
,E09,SYBR,Cit0,Unkn,J-Cit0,80.5,284.934337046997,76.5,86,
,E10,SYBR,mCh,Unkn,J-Cit0,84.5,298.619438615616,81,91,
,E11,SYBR,mCh,Unkn,J-Cit0,85,289.79548725934,81,88.5,
,E12,SYBR,mCh,Unkn,J-Cit0,85,299.778031494544,81.5,91,
,F01,SYBR,Citmin,Unkn,J-Citmin,81,282.438919927088,77,88.5,
