,Temperature,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,H1,H2,H3,H4,H5,H6,H7,H8,H9
,72,3808.38299717407,3940.96080003694,3931.76525701877,4112.61905465984,4579.05913730731,4198.24106374031,3881.41633088584,3871.97796105567,3865.61261918985,4017.05989969672,3895.52588248411,3772.22692694222,3916.09968670571,4156.36483823501,3935.16547706693,4125.0305021257,4170.70490903529,4481.9667176419,4056.82290434826,4012.41569439652,3953.88111404885,4118.05540648527,3970.49299311027,3820.3501392727,3827.02854075477,4002.49313072754,4010.233725389,4242.77130326477,4267.38844032623,4315.87403016494,4120.09407667299,3952.33116911182,3896.15488352427,4036.16841077383,3997.8274414169,3929.58441849616,3865.64729715395,4049.34290424455,4066.37290835389,4133.12807155274,4309.14165308176,4287.35910791417,4026.11329113729,4013.84320441322,3919.33209356464,4012.60155687141,4039.26379594285,4022.8829232324,3782.31953782738,3956.27867116752,3983.40832911821,4217.78414894594,4259.93697207911,4284.2632957718,4007.55533577326,3945.39367027008,3870.74474778003,4087.79197121944,4137.35833094283,4045.94829315825,3859.5588547892,3980.97629308819,4131.61984227132,4256.80355090214,4182.3681623038,4184.15119659791,4071.02947892538,3949.71965103084,3903.00859240721,4139.97464516893,4091.63244724026,4072.34887245654,3318.16253890437,2906.14637896609,3017.22798570912,2581.24406051851,2539.70037748222,2517.81342626662,2523.07593607536,2540.98548674456,2543.37499493655
,72.5,3780.05486769799,3908.88021914413,3898.0400828759,4079.06063553627,4538.69265563254,4164.27406474958,3848.49860187114,3839.45544752963,3832.38635562047,3986.57914775378,3865.83457171416,3749.10365387877,3882.78232756484,4120.89895122071,3901.64745923429,4092.24684293679,4138.34035266091,4441.71580287806,4018.82695921193,3976.44133141675,3920.79714141751,4084.99001047919,3939.48714854233,3793.67364773519,3795.95073829532,3967.03331305465,3973.98757791055,4206.20424100168,4231.36850882075,4277.92339575915,4081.44123797258,3918.81876969549,3862.47920337209,4005.05307828832,3966.83171676807,3899.72138559773,3834.77810845443,4013.54916916788,4030.63866431099,4100.50061817016,4273.64923236047,4250.24007257265,3989.60242007589,3979.26637276999,3886.82643327262,3982.76614772409,4005.86865915604,3990.07455864137,3752.91503812315,3921.93208392329,3948.63233390543,4181.98666587928,4224.5512488447,4248.87076951149,3971.58804172477,3911.27539305077,3837.93062248883,4054.71880144816,4101.13048632296,4014.40550224743,3828.12721792775,3946.26339988357,4095.60538703673,4218.13793974701,4148.19543671748,4150.57917388536,4033.43087482511,3914.69192727423,3870.25374533838,4104.66085463198,4059.05055689026,4040.02658779086,3294.4382422989,2891.4148683916,2999.73855726035,2578.53359779743,2537.60213130305,2515.99563956907,2520.92475940278,2539.15120657748,2541.45188274992
,73,3751.72673822191,3876.79963825132,3864.31490873304,4045.50221641269,4498.32617395776,4130.30706575885,3815.58087285644,3806.93293400358,3799.16009205108,3956.09839581085,3836.14326094421,3725.98038081531,3849.46496842397,4085.43306420642,3868.12944140164,4059.46318374788,4105.97579628654,4401.46488811423,3980.8310140756,3940.46696843698,3887.71316878617,4051.92461447311,3908.48130397439,3766.99715619769,3764.87293583587,3931.57349538176,3937.74143043211,4169.6371787386,4195.34857731526,4239.97276135336,4042.78839927216,3885.30637027915,3828.80352321992,3973.93774580281,3935.83599211924,3869.8583526993,3803.90891975491,3977.75543409121,3994.9044202681,4067.87316478759,4238.15681163917,4213.12103723113,3953.09154901449,3944.68954112676,3854.3207729806,3952.93073857676,3972.47352236923,3957.26619405034,3723.51053841893,3887.58549667905,3913.85633869264,4146.18918281262,4189.16552561029,4213.47824325118,3935.62074767627,3877.15711583145,3805.11649719763,4021.64563167689,4064.90264170308,3982.86271133661,3796.69558106629,3911.55050667894,4059.59093180214,4179.47232859188,4114.02271113116,4117.0071511728,3995.83227072483,3879.66420351761,3837.49889826956,4069.34706409503,4026.46866654026,4007.70430312518,3270.71394569342,2876.68335781712,2982.24912881158,2575.82313507635,2535.50388512388,2514.17785287151,2518.77358273019,2537.3169264104,2539.52877056329
,73.5,3723.39860874583,3844.71905735851,3830.58973459017,4011.94379728912,4457.95969228299,4096.34006676811,3782.66314384173,3774.41042047753,3765.9338284817,3925.61764386791,3806.45195017426,3702.85710775186,3816.14760928311,4049.96717719212,3834.611423569,4026.67952455897,4073.61123991217,4361.21397335039,3942.83506893927,3904.49260545722,3854.62919615483,4018.85921846704,3877.47545940645,3740.32066466018,3733.79513337642,3896.11367770888,3901.49528295366,4133.07011647551,4159.32864580978,4202.02212694757,4004.13556057175,3851.79397086282,3795.12784306775,3942.8224133173,3904.8402674704,3839.99531980087,3773.03973105539,3941.96169901454,3959.1701762252,4035.24571140502,4202.66439091787,4176.00200188961,3916.58067795309,3910.11270948353,3821.81511268859,3923.09532942944,3939.07838558242,3924.45782945931,3694.1060387147,3853.23890943482,3879.08034347985,4110.39169974596,4153.77980237588,4178.08571699087,3899.65345362777,3843.03883861213,3772.30237190643,3988.57246190562,4028.6747970832,3951.31992042579,3765.26394420484,3876.83761347432,4023.57647656754,4140.80671743675,4079.84998554484,4083.43512846025,3958.23366662456,3844.63647976099,3804.74405120073,4034.03327355807,3993.88677619026,3975.38201845951,3246.98964908794,2861.95184724264,2964.75970036281,2573.11267235527,2533.40563894472,2512.36006617395,2516.62240605761,2535.48264624332,2537.60565837666
,74,3695.07047926974,3812.6384764657,3796.8645604473,3978.38537816554,4417.59321060822,4062.37306777738,3749.74541482703,3741.88790695148,3732.70756491231,3895.13689192497,3776.76063940432,3679.7338346884,3782.83025014224,4014.50129017782,3801.09340573636,3993.89586537006,4041.24668353779,4320.96305858655,3904.83912380294,3868.51824247745,3821.54522352349,3985.79382246096,3846.46961483851,3713.64417312267,3702.71733091697,3860.65386003599,3865.24913547522,4096.50305421242,4123.30871430429,4164.07149254178,3965.48272187134,3818.28157144648,3761.45216291558,3911.70708083178,3873.84454282157,3810.13228690244,3742.17054235587,3906.16796393787,3923.43593218231,4002.61825802245,4167.17197019657,4138.88296654809,3880.06980689169,3875.53587784029,3789.30945239657,3893.25992028212,3905.68324879561,3891.64946486828,3664.70153901048,3818.89232219058,3844.30434826706,4074.5942166793,4118.39407914147,4142.69319073056,3863.68615957928,3808.92056139282,3739.48824661524,3955.49929213435,3992.44695246333,3919.77712951497,3733.83230734339,3842.1247202697,3987.56202133295,4102.14110628162,4045.67725995852,4049.8631057477,3920.63506252429,3809.60875600438,3771.9892041319,3998.71948302112,3961.30488584026,3943.05973379383,3223.26535248246,2847.22033666815,2947.27027191404,2570.4022096342,2531.30739276555,2510.5422794764,2514.47122938503,2533.64836607624,2535.68254619003
,74.5,3666.74234979363,3780.55789557286,3763.13938630435,3944.82695904193,4377.22672893346,4028.40606878656,3716.82768581227,3709.36539342537,3699.48130134299,3864.65613998205,3747.06932863445,3656.61056162493,3749.51289100136,3979.03540316351,3767.57538790377,3961.11220618111,4008.88212716347,4280.71214382273,3866.84317866661,3832.54387949765,3788.46125089212,3952.72842645495,3815.4637702706,3686.96768158518,3671.63952845751,3825.19404236316,3829.00298799678,4059.93599194928,4087.28878279885,4126.12085813602,3926.82988317091,3784.76917203017,3727.7764827634,3880.59174834633,3842.84881817277,3780.26925400397,3711.30135365631,3870.37422886118,3887.70168813938,3969.99080463988,4131.67954947527,4101.76393120657,3843.55893583029,3840.95904619704,3756.80379210455,3863.42451113479,3872.28811200876,3858.84110027726,3635.29703930631,3784.54573494638,3809.52835305427,4038.79673361258,4083.00835590708,4107.3006644703,3827.71886553081,3774.80228417346,3706.67412132401,3922.42612236307,3956.21910784338,3888.23433860416,3702.40067048189,3807.41182706512,3951.54756609834,4063.47549512643,4011.50453437221,4016.29108303514,3883.03645842408,3774.58103224775,3739.23435706318,3963.40569248419,3928.7229954902,3910.73744912813,3199.54105587694,2832.48882609367,2929.78084346524,2567.6917469131,2529.2091465864,2508.72449277885,2512.32005271242,2531.81408590915,2533.75943400343
,75,3638.41422031754,3748.47731468005,3729.41421216148,3911.26853991836,4336.86024725868,3994.43906979582,3683.90995679756,3676.84287989932,3666.25503777361,3834.17538803912,3717.3780178645,3633.48728856148,3716.19553186049,3943.56951614921,3734.05737007112,3928.3285469922,3976.51757078909,4240.4612290589,3828.84723353028,3796.56951651788,3755.37727826078,3919.66303044887,3784.45792570266,3660.29119004767,3640.56172599806,3789.73422469028,3792.75684051833,4023.3689296862,4051.26885129336,4088.17022373023,3888.1770444705,3751.25677261383,3694.10080261123,3849.47641586082,3811.85309352394,3750.40622110554,3680.43216495679,3834.58049378451,3851.96744409648,3937.36335125731,4096.18712875397,4064.64489586505,3807.04806476889,3806.38221455381,3724.29813181253,3833.58910198747,3838.89297522195,3826.03273568623,3605.89253960208,3750.19914770214,3774.75235784149,4002.99925054592,4047.62263267267,4071.90813820999,3791.75157148231,3740.68400695415,3673.85999603281,3889.35295259179,3919.99126322351,3856.69154769334,3670.96903362044,3772.69893386049,3915.53311086375,4024.8098839713,3977.33180878589,3982.71906032258,3845.43785432381,3739.55330849114,3706.47950999435,3928.09190194724,3896.1411051402,3878.41516446245,3175.81675927146,2817.75731551918,2912.29141501647,2564.98128419202,2527.11090040723,2506.90670608129,2510.16887603983,2529.97980574207,2531.8363218168
,75.5,3609.10057094993,3715.88875090084,3695.68322061856,3877.37080010254,4294.67798445005,3959.4813948155,3650.82893020617,3643.50191969482,3632.53456729567,3802.79953173822,3687.98256840987,3609.21377437367,3682.24571271404,3907.69670718304,3700.9370021661,3894.77824929573,3943.86012046066,4200.01019487573,3790.25410808719,3760.0452693889,3721.3486077125,3886.23141772019,3753.58178855602,3633.28793561727,3609.33706455634,3754.44224728906,3756.47173452827,3986.89171088244,4015.08946492312,4049.80161029328,3849.718433312,3717.61935103049,3660.51751516914,3818.38327659599,3780.64507372979,3720.89719630416,3649.3226928528,3797.61367520671,3814.72139980127,3904.04968520405,4059.49409222721,4026.26466643769,3769.47339813443,3770.68033691436,3690.42657536814,3803.14771724109,3804.54156502169,3792.39585190971,3576.11500492436,3714.95398098169,3739.77287408867,3967.06256473754,4011.24206983733,4035.51314054014,3755.03167138136,3705.8478467615,3640.38988151678,3855.95585622449,3883.05855695831,3824.71601421671,3640.0205151753,3738.31063316875,3878.92790080989,3985.6220179985,3942.84004135466,3948.5386494078,3807.49205510252,3704.2642552712,3673.46168641979,3892.6258771276,3863.0794515019,3846.46197832889,3151.24569046475,2803.28818308549,2894.43026088209,2561.64908861141,2524.7060203958,2505.27937647487,2507.75293559804,2527.61778758822,2529.45476874487
,76,3579.0714030381,3683.37642148573,3662.31553287152,3843.49144692802,4251.79987375363,3924.81407242475,3617.89932844817,3610.14842434619,3599.03649464356,3771.08744914914,3658.98053194511,3584.44301614013,3648.83936551874,3872.10414993479,3668.1800430752,3861.20320785693,3911.04575667038,4159.25260674329,3751.96983654442,3723.73241716656,3686.60357917979,3853.07365250009,3723.08185099537,3606.26466005302,3578.0027576741,3719.19963940218,3720.49587732584,3950.67575916018,3979.24092197953,4011.71804540845,3812.17721369198,3683.90796720615,3627.00324183648,3787.5576042346,3749.54617192061,3691.73954613448,3617.96522089438,3760.41638762851,3776.726046534,3871.03575178266,4022.80181945535,3987.67667815332,3732.02726476134,3734.60667632519,3656.59429506676,3772.15197700573,3770.30514980013,3758.94203692049,3546.52909565521,3679.72879284009,3704.91801898078,3931.15363698256,3974.75353704714,3998.47925144362,3718.10163851634,3670.93543165116,3606.44628795571,3822.95917021947,3846.41248613441,3792.66205127781,3609.24741705872,3704.12427058397,3842.08937048168,3946.73923759976,3908.64565165669,3914.46879277882,3769.75709357268,3669.30177209989,3640.39945826011,3858.27669770096,3830.25302460295,3814.59620516677,3126.58996149888,2788.76915252324,2876.41108880698,2558.21647552216,2522.24191179044,2503.65177061146,2505.33730861324,2525.20108350904,2526.92471383197
,76.5,3549.22156845825,3651.10945145029,3629.66680811719,3810.49130824543,4209.36303092404,3890.42647379661,3585.21584778155,3576.73445330616,3565.74675966362,3739.96289135671,3630.82433176348,3559.37194541451,3616.07618715769,3837.16494200351,3635.98451101999,3828.09280792826,3878.31502822694,4119.40450170327,3714.12598894241,3687.66720480568,3651.89274397438,3820.16861767402,3692.90308257839,3579.76353101069,3547.36003265415,3684.73386808245,3685.28718210955,3915.31419287941,3944.30052181428,3974.86948152165,3775.09568085096,3650.5379711318,3594.36907295078,3757.01306492005,3718.45219067402,3663.29718553018,3587.05055388797,3723.49973761687,3738.78413427498,3838.41441282238,3986.51112640789,3949.56121105804,3694.79795543564,3699.02758736675,3622.96743242578,3741.54857382748,3736.8925153346,3725.99775681583,3517.33777636398,3644.91378259868,3670.83852299872,3895.65920330205,3938.50539907294,3962.0208539341,3681.19477096192,3636.35839349948,3572.72119067467,3790.53803005811,3810.64469445663,3760.62133240921,3579.2542935998,3670.39943635662,3805.41052461192,3909.03341550898,3875.12014348375,3880.89093057566,3732.34119389596,3634.81681870403,3607.80080405061,3824.87646415075,3797.71193340692,3783.69710194157,3102.07112369396,2774.85833717836,2858.67377944314,2554.61378643929,2519.9819196671,2502.09317662747,2503.02404197775,2522.56287525013,2524.48955799363
