,Well,Fluor,Target,Content,Sample,Cq,SQ
,A01,SYBR,Citmin,Unkn,Citmin,16.8814744322068,NaN
,A02,SYBR,Citmin,Unkn,Citmin,15.9492119274003,NaN
,A03,SYBR,Citmin,Unkn,Citmin,15.4259631262351,NaN
,A04,SYBR,mCh,Unkn,Citmin,15.7281883127242,NaN
,A05,SYBR,mCh,Unkn,Citmin,15.8472624069189,NaN
,A06,SYBR,mCh,Unkn,Citmin,15.0006173749723,NaN
,A07,SYBR,Cit0,Unkn,Cit0,15.6302346708061,NaN
,A08,SYBR,Cit0,Unkn,Cit0,15.5834590700151,NaN
,A09,SYBR,Cit0,Unkn,Cit0,16.0454822908865,NaN
,A10,SYBR,mCh,Unkn,Cit0,15.4222195268005,NaN
,A11,SYBR,mCh,Unkn,Cit0,15.0832432981576,NaN
,A12,SYBR,mCh,Unkn,Cit0,15.7143813258435,NaN
,B01,SYBR,Citmin,Unkn,Citmin,16.7498732496046,NaN
,B02,SYBR,Citmin,Unkn,Citmin,15.7624854217966,NaN
,B03,SYBR,Citmin,Unkn,Citmin,15.3692048690481,NaN
,B04,SYBR,mCh,Unkn,Citmin,15.5230790452327,NaN
,B05,SYBR,mCh,Unkn,Citmin,15.5630908118079,NaN
,B06,SYBR,mCh,Unkn,Citmin,14.7852957514812,NaN
,B07,SYBR,Cit0,Unkn,Cit0,15.2750955521019,NaN
,B08,SYBR,Cit0,Unkn,Cit0,15.3706521350016,NaN
,B09,SYBR,Cit0,Unkn,Cit0,15.7956012407378,NaN
,B10,SYBR,mCh,Unkn,Cit0,15.2787143797641,NaN
,B11,SYBR,mCh,Unkn,Cit0,15.0498640130707,NaN
,B12,SYBR,mCh,Unkn,Cit0,15.4477335245623,NaN
,C01,SYBR,Citmin,Unkn,Citmin,16.5014930372567,NaN
,C02,SYBR,Citmin,Unkn,Citmin,15.7480007442706,NaN
,C03,SYBR,Citmin,Unkn,Citmin,15.2689710713766,NaN
,C04,SYBR,mCh,Unkn,Citmin,15.5685568145901,NaN
,C05,SYBR,mCh,Unkn,Citmin,15.4184613792808,NaN
,C06,SYBR,mCh,Unkn,Citmin,14.8069322009991,NaN
,C07,SYBR,Cit0,Unkn,Cit0,15.1648876214966,NaN
,C08,SYBR,Cit0,Unkn,Cit0,15.3428030501713,NaN
,C09,SYBR,Cit0,Unkn,Cit0,15.8893121147137,NaN
,C10,SYBR,mCh,Unkn,Cit0,15.2714042189269,NaN
,C11,SYBR,mCh,Unkn,Cit0,14.9767791731325,NaN
,C12,SYBR,mCh,Unkn,Cit0,15.4338309928694,NaN
