"Strain","Cit","Clone","Cit_mCh"
"HC1J","cit0","A",0.860994863291167
"HC1J","cit0","B",1.04040192040802
"HC1J","cit0","C",0.925938648121082
"HC1J","cit3","A",0.753656970258548
"HC1J","cit3","B",0.815430870746166
"HC1J","cit3","C",0.876778890202701
"HC1J","cit6","A",0.668297505318908
"HC1J","cit6","B",0.753053235165561
"HC1J","cit6","C",0.66888781035062
"HC1J","cit9","A",0.628433056059609
"HC1J","cit9","B",0.808137244917343
"HC1J","cit9","C",0.449078225160968
"HC1J","citMax","A",0.475373122229329
"HC1J","citMax","B",0.541500996948881
"HC1J","citMax","C",0.485868476270493
"HC1J","citMin","A",0.706999142024356
"HC1J","citMin","B",0.850553563390228
"HC1J","citMin","C",0.882002547506765
"WT","cit0","A",0.977638785581606
"WT","cit0","B",0.760133159739988
"WT","cit0","C",0.769423642361297
"WT","cit3","A",0.842977657395455
"WT","cit3","B",0.703616973252354
"WT","cit3","C",0.688779319673653
"WT","cit6","A",0.791786854764059
"WT","cit6","B",0.643849754554126
"WT","cit6","C",0.81654198297211
"WT","cit9","A",0.329249492861647
"WT","cit9","B",0.496975519365108
"WT","cit9","C",0.495881828276282
"WT","citMax","A",0.322497226156923
"WT","citMax","B",0.353832839439542
"WT","citMax","C",0.363239469997719
"WT","citMin","A",0.465115573341491
"WT","citMin","B",0.864360770646075
"WT","citMin","C",0.71181229303716
