guide	yorf	gene	logFC.slow	adj.P.Val.slow	logFC.fast	adj.P.Val.fast
YAL035W_04	YAL035W	FUN12	2.39669809511403	0.0248914180896015	-0.283771304412178	0.999989686247773
YAL051W_06	YAL051W	OAF1	1.63980320594935	0.2033383467012	0.138977228519234	0.999989686247773
YAR050W_08	YAR050W	FLO1	1.13279466291557	0.413285658530758	-0.10232169095153	0.999989686247773
YBL008W-A_02	YBL008W-A	YBL008W-A	1.29521407845064	0.766271743263023	-0.129875153775668	0.999989686247773
YBL055C_06	YBL055C	YBL055C	1.19955163680675	0.663726530478596	0.104749416048554	0.999989686247773
YBL063W_03	YBL063W	KIP1	1.75134743919931	0.299802822847355	0.236672408125375	0.999989686247773
YBR004C_08	YBR004C	GPI18	1.04987927099914	0.99938470421465	0.210083381479542	0.999989686247773
YBR011C_01	YBR011C	IPP1	1.03406385806411	0.763093298030958	0.349862490790056	0.999989686247773
YBR032W_08	YBR032W	YBR032W	1.00426044695611	0.991622604464314	0.0236256596057009	0.999989686247773
YBR079C_05	YBR079C	RPG1	1.68418600755576	0.580372553722927	0.38812115505449	0.999989686247773
YBR138C_01	YBR138C	YBR138C	1.11326154657122	0.788701559666026	0.250564558766673	0.999989686247773
YBR193C_08	YBR193C	MED8	1.06276236549865	0.767570498391017	-0.620693692035082	0.999989686247773
YBR243C_01	YBR243C	ALG7	1.27136932373372	0.463020520808293	0.0977367737786056	0.999989686247773
YCL058W-A_01	YCL059C	KRR1	1.12144455600441	0.99938470421465	-0.158269756866234	0.999989686247773
YCR060W_03	YCR059C	YIH1	1.16988627154671	0.870884018757371	0.00102439814349637	0.999989686247773
YCR079W_08	YCR079W	PTC6	1.00965443720784	0.788172408517903	0.000928103467513386	0.999989686247773
YDL140C_06	YDL140C	RPO21	1.01256686208835	0.963062618979612	0.342735135658262	0.999989686247773
YDR007W_05	YDR007W	TRP1	1.91208203809338	0.0625499490309112	0.00276230144988112	0.999989686247773
YDR064W_00	YDR064W	RPS13	1.00609074023613	0.99938470421465	0.247548361408616	0.999989686247773
YDR088C_07	YDR088C	SLU7	1.15903258694191	0.939597090009438	0.007989440042727	0.999989686247773
YDR229W_09	YDR229W	IVY1	1.03140255007372	0.99938470421465	0.0296479648400483	0.999989686247773
YDR255C_09	YDR255C	RMD5	1.04483372978198	0.99938470421465	0.283492492289537	0.999989686247773
YDR302W_03	YDR302W	GPI11	1.19929138979924	0.671840759957361	0.235646507944162	0.999989686247773
YDR391C_05	YDR391C	YDR391C	1.54131530838087	0.110352542402917	-0.156554745722567	0.999989686247773
YER008C_07	YER008C	SEC3	2.39599703842557	0.00109311449468964	-0.426548931944839	0.999989686247773
YER071C_02	YER071C	TDA2	1.40855039357171	0.387494137798493	0.307086072861284	0.999989686247773
YER186C_00	YER186C	YER186C	1.065770969826	0.963062618979612	0.224543025778291	0.999989686247773
YFL010W-A_09	YFL010W-A	AUA1	1.55425126193748	0.21739028504481	0.0644837402406654	0.999989686247773
YFR046C_02	YFR046C	CNN1	1.22829638257359	0.281417063855666	0.223502112462219	0.999989686247773
YGL009C_07	YGL009C	LEU1	1.0223346767248	0.940652889760661	-0.458094959422481	0.999989686247773
YGL092W_06	YGL092W	NUP145	1.09863450110388	0.816170185449626	0.280389393508156	0.999989686247773
YGL137W_07	YGL137W	SEC27	2.14106437317882	0.272519235697185	0.889608095487214	0.999989686247773
YGL157W_01	YGL157W	ARI1	1.28867056595138	0.488398794778641	-0.247243610935247	0.999989686247773
YGL169W_08	YGL169W	SUA5	1.35282472682431	0.696023103777793	0.70771089712937	0.68700276532964
YGL178W_02	YGL178W	MPT5	1.81832170481239	0.318572400006991	-0.00343998132682444	0.999989686247773
YGL186C_02	YGL186C	TPN1	1.64708295306829	0.169325338512094	0.0102154874044078	0.999989686247773
YGL231C_03	YGL231C	EMC4	1.1842210594899	0.992903121565309	0.182169849116764	0.999989686247773
YGR010W_03	YGR010W	NMA2	1.01296970409986	0.957191770570866	-0.0261111061835151	0.999989686247773
YGR035W-A_09	YGR035W-A	YGR035W-A	1.33298161321399	0.760782375032661	0.341780549606165	0.999989686247773
YGR058W_03	YGR058W	PEF1	1.11506585036226	0.671840759957361	0.426091250947636	0.999989686247773
YGR077C_08	YGR077C	PEX8	1.15232613081074	0.841584244140738	0.308076989055308	0.999989686247773
YGR101W_05	YGR101W	PCP1	1.43252950965016	0.319997371831098	-0.338521348017731	0.999989686247773
YGR102C_06	YGR103W	NOP7	2.18718226512686	0.000316238389795564	-0.313812251044493	0.999989686247773
YGR177C_04	YGR177C	ATF2	1.07421499263589	0.935366472628248	0.145602297591211	0.999989686247773
YHL014C_08	YHL014C	YLF2	1.0163721597588	0.909148863793536	0.0518011172494109	0.999989686247773
YHL016C_03	YHL016C	DUR3	1.43798499113319	0.393025198657266	0.313740005204104	0.999989686247773
YHL035C_07	YHL035C	VMR1	1.00103804885891	0.99938470421465	-0.1848293561084	0.999989686247773
YHR091C_06	YHR091C	MSR1	1.12063877635193	0.99938470421465	0.450833027364991	0.999989686247773
YHR165C_07	YHR165C	PRP8	1.22519426779019	0.944833005434917	0.328029158726342	0.999989686247773
YHR166C_01	YHR167W	THP2	1.48961351432107	0.00214518360577859	0.769261678088844	0.999989686247773
YHR219W_05	YHR219W	YHR219W	1.09971188803131	0.909148863793536	0.00503052823512452	0.999989686247773
YIL044C_02	YIL044C	AGE2	1.30593755509894	0.872945324635882	0.326213290024434	0.999989686247773
YJL076W_01	YJL076W	NET1	1.64236319474992	0.309827159283879	-0.402351964877823	0.999989686247773
YJL105W_05	YJL105W	SET4	1.31493606728355	0.299802822847355	-0.01138149752808	0.999989686247773
YJL115W_04	YJL115W	ASF1	1.15202207375713	0.589978939359409	0.0680283188660721	0.999989686247773
YJL206C_05	YJL206C	YJL206C	1.14079584658341	0.224812775283734	0.353598439093661	0.999989686247773
YJR002W_04	YJR002W	MPP10	1.05258414823031	0.99938470421465	-1.10846358872986	0.999989686247773
YJR040W_09	YJR040W	GEF1	1.20412801461564	0.816170185449626	-0.0886011768011497	0.999989686247773
YJR046W_02	YJR046W	TAH11	1.41149228741954	0.549573853761745	0.220765212929411	0.999989686247773
YJR078W_04	YJR078W	BNA2	1.41231837180923	0.544363549148969	0.159655775983841	0.999989686247773
YJR116W_02	YJR116W	TDA4	1.00014204496911	0.862456125788056	-0.0729419310344625	0.999989686247773
YJR151C_07	YJR151C	DAN4	1.13124048548269	0.839462893795836	-0.0870738700516385	0.999989686247773
YKL042W_06	YKL042W	SPC42	1.54275428487248	0.696023103777793	-0.295574052564104	0.999989686247773
YKL056C_04	YKL056C	TMA19	1.43994761684041	0.212180709449909	0.177373487347215	0.999989686247773
YKL060C_08	YKL060C	FBA1	1.07455449560337	0.99938470421465	-0.634008385424005	0.999989686247773
YKL068W_04	YKL068W	NUP100	1.48516203162179	0.0333610339268999	-0.345815952170685	0.999989686247773
YKL121W_04	YKL121W	DGR2	1.04134939936852	0.611576664723593	0.433360421209406	0.999989686247773
YKL152C_04	YKL152C	GPM1	1.08332392682441	0.99938470421465	0.25997274380545	0.999989686247773
YKL175W_04	YKL175W	ZRT3	1.24230898852718	0.857840961655356	0.405429893326237	0.999989686247773
YKL218C_02	YKL218C	SRY1	1.04501111203421	0.855065018087214	0.215868564554232	0.999989686247773
YKR003W_07	YKR003W	OSH6	1.13794004833233	0.99938470421465	-0.551290024777292	0.999989686247773
YKR059W_02	YKR059W	TIF1	1.1261838957193	0.933443242630325	0.154365168020888	0.999989686247773
YLL049W_02	YLL050C	COF1	1.28339474094005	0.99938470421465	0.696080849884906	0.999989686247773
YLL055W_02	YLL055W	YCT1	1.0170480314745	0.816170185449626	0.0616623723806616	0.999989686247773
YLR034C_09	YLR034C	SMF3	1.6932141464935	0.506188980417575	0.213324900325456	0.999989686247773
YLR085C_06	YLR085C	ARP6	1.14262454925839	0.995931082480193	-0.00155280170266047	0.999989686247773
YLR284C_02	YLR284C	ECI1	1.1380714831917	0.937099412768065	-0.313791790235602	0.999989686247773
YLR313C_07	YLR313C	SPH1	1.06747644518505	0.184505717762843	-0.392612073067184	0.999989686247773
YLR352W_05	YLR352W	YLR352W	1.01016907069643	0.99938470421465	-0.0250026039116435	0.999989686247773
YML067C_03	YML067C	ERV41	1.130126882692	0.437262560074453	0.142124330275731	0.999989686247773
YML071C_09	YML071C	COG8	1.10874815323376	0.781564847651572	-0.140675083550003	0.999989686247773
YMR085W_05	YMR085W	YMR085W	1.06690605897321	0.99938470421465	-0.0100971962479634	0.999989686247773
YMR125W_02	YMR125W	STO1	1.32336446367401	0.0716389370481055	0.100547811617477	0.999989686247773
YMR146C_01	YMR146C	TIF34	1.41442705171082	0.992903121565309	0.631744130126495	0.999989686247773
YMR263W_05	YMR263W	SAP30	1.02125598791406	0.99938470421465	-0.0428808737518316	0.999989686247773
YMR309C_02	YMR309C	NIP1	1.9445787284605	0.298401738242834	-0.00226787573767484	0.999989686247773
YNL088W_07	YNL088W	TOP2	1.85663280048467	0.042219238163222	0.0558270133263722	0.999989686247773
YNL152W_06	YNL152W	INN1	1.38325976120123	0.825189334513433	-0.270180168228484	0.999989686247773
YNL165W_00	YNL165W	YNL165W	1.13149685833274	0.0971786745853899	0.289745713879944	0.999989686247773
YNR021W_03	YNR021W	YNR021W	1.06671684362946	0.854096612003835	0.0110821461112284	0.999989686247773
YNR038W_03	YNR038W	DBP6	1.57852715536277	0.383619782890341	-0.329909297513746	0.999989686247773
YNR058W_09	YNR058W	BIO3	1.53044079750417	0.415142922073856	-0.44055243183586	0.999989686247773
