,Well,Fluor,Target,Content,Sample,Melt Temperature,Peak Height,Begin Temperature,End Temperature,Well Note
,A01,SYBR,citMin,Unkn,HO-Ci,81,251.909830887543,77,87.5,
,A02,SYBR,citMin,Unkn,HO-Ci,81,270.25155324363,77,86,
,A03,SYBR,citMin,Unkn,HO-Ci,81,279.808372694943,77,88,
,A04,SYBR,cit9,Unkn,HO-C9,80.5,298.383416543684,77,84.5,
,A05,SYBR,cit9,Unkn,HO-C9,80.5,303.257021651001,77,88.5,
,A06,SYBR,cit9,Unkn,HO-C9,80.5,301.147352688602,77,86,
,A07,SYBR,mCherry,Unkn,HO-Ci,84.5,271.332231580009,80.5,88.5,
,A08,SYBR,mCherry,Unkn,HO-Ci,84.5,264.881639623446,81,89,
,A09,SYBR,mCherry,Unkn,HO-Ci,84.5,266.014141393373,81,89.5,
,A10,SYBR,mCherry,Unkn,HO-C9,84.5,243.580587339715,81.5,91.5,
,A11,SYBR,mCherry,Unkn,HO-C9,84.5,239.316274878516,80.5,89,
,A12,SYBR,mCherry,Unkn,HO-C9,84.5,245.56137847953,80.5,89.5,
,B01,SYBR,citMin,Unkn,HO-Ci,81,263.021399372067,77,88,
,B02,SYBR,citMin,Unkn,HO-Ci,81,266.108194316779,77,87,
,B03,SYBR,citMin,Unkn,HO-Ci,81,273.524008290863,76,86.5,
,B04,SYBR,cit9,Unkn,HO-C9,80.5,309.138565214068,77,85,
,B05,SYBR,cit9,Unkn,HO-C9,80.5,307.7368255295,77,84.5,
,B06,SYBR,cit9,Unkn,HO-C9,80.5,324.014874924058,77,84.5,
,B07,SYBR,mCherry,Unkn,HO-Ci,84.5,280.487967664585,80.5,92,
,B08,SYBR,mCherry,Unkn,HO-Ci,84.5,284.000667271492,80.5,90.5,
,B09,SYBR,mCherry,Unkn,HO-Ci,84.5,278.63287804236,80.5,89.5,
,B10,SYBR,mCherry,Unkn,HO-C9,84.5,253.448441559175,81,90,
,B11,SYBR,mCherry,Unkn,HO-C9,84.5,244.233705141302,81,89,
,B12,SYBR,mCherry,Unkn,HO-C9,84.5,241.738049074341,81,89.5,
