,,1,2,3,4,5,6,7,8,9,10,11,12
A,Content,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn
A,Sample,HO-Ci,HO-Ci,HO-Ci,HO-C9,HO-C9,HO-C9,HO-Ci,HO-Ci,HO-Ci,HO-C9,HO-C9,HO-C9
A,Cq,15.8352039091121,15.5616609799488,15.6460032272543,16.9285955690279,17.06477613062,17.4143206246023,14.9970713746611,15.1717778021183,15.0426777322546,14.9898586992633,14.5129030100428,15.3147125609626
A,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
B,Content,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn
B,Sample,HO-Ci,HO-Ci,HO-Ci,HO-C9,HO-C9,HO-C9,HO-Ci,HO-Ci,HO-Ci,HO-C9,HO-C9,HO-C9
B,Cq,15.5935260146663,15.5689799016806,15.4997771877627,16.7629223146919,16.6822395603544,17.166860782876,14.8127628371237,14.921164403634,14.9258916536598,14.9519918311424,14.498790017189,15.091144903682
B,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
C,Content,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn
C,Sample,HO-Ci,HO-Ci,HO-Ci,HO-C9,HO-C9,HO-C9,HO-Ci,HO-Ci,HO-Ci,HO-C9,HO-C9,HO-C9
C,Cq,15.4989512421275,15.5191621176708,15.322350005039,16.6286367302889,16.4416568173417,17.0814132555329,14.7482683552181,14.9829980591656,15.0365933513464,14.8599899655867,14.4745130221766,15.2340057717597
C,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
D,Content,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn
D,Sample,RPG1-Ci,RPG1-Ci,RPG1-Ci,RPG1-C9,RPG1-C9,RPG1-C9,RPG1-Ci,RPG1-Ci,RPG1-Ci,RPG1-C9,RPG1-C9,RPG1-C9
D,Cq,16.1483641930158,14.7351246143508,15.7358538478318,18.0532595350007,16.045849894355,16.0636431889936,14.9765759910091,14.4097994098929,14.855320746806,15.5219153606745,14.3306177179338,14.0316693098981
D,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
E,Content,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn
E,Sample,RPG1-Ci,RPG1-Ci,RPG1-Ci,RPG1-C9,RPG1-C9,RPG1-C9,RPG1-Ci,RPG1-Ci,RPG1-Ci,RPG1-C9,RPG1-C9,RPG1-C9
E,Cq,15.7048947315313,14.7429335002171,15.5009923180515,17.8305390450855,16.0141016069175,16.081299319654,15.1088849331571,14.2962667927037,14.8677664429383,15.5707802089054,14.4064567354273,14.136498794303
E,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
F,Content,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn
F,Sample,RPG1-Ci,RPG1-Ci,RPG1-Ci,RPG1-C9,RPG1-C9,RPG1-C9,RPG1-Ci,RPG1-Ci,RPG1-Ci,RPG1-C9,RPG1-C9,RPG1-C9
F,Cq,15.827342434395,14.7493819662554,15.7091989966699,17.6717459861166,16.1652522193654,16.0258688547569,15.0496001321389,14.3150439725463,15.0696290411148,15.4513738415909,14.23806957961,13.9151614073236
F,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
G,Content,NTC,NTC,NTC,NTC,NTC,NTC,NTC,NTC,NTC,,,
G,Sample,NTC,NTC,NTC,NTC,NTC,NTC,NTC,NTC,NTC,,,
G,Cq,NaN,36.9223768209945,NaN,NaN,36.5209348662245,NaN,NaN,35.4592515520729,NaN,,,
G,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,
H,Content,,,,,,,,,,,,
H,Sample,,,,,,,,,,,,
H,Cq,,,,,,,,,,,,
H,,,,,,,,,,,,,
