,Well,Fluor,Target,Content,Sample,Cq,SQ
,A01,SYBR,Cit3,Unkn,Cit3,17.1480909322269,NaN
,A02,SYBR,Cit3,Unkn,Cit3,16.5752137952506,NaN
,A03,SYBR,Cit3,Unkn,Cit3,15.7019874209955,NaN
,A04,SYBR,mCh,Unkn,Cit3,17.0151986590097,NaN
,A05,SYBR,mCh,Unkn,Cit3,16.2463687271075,NaN
,A06,SYBR,mCh,Unkn,Cit3,15.1510353967867,NaN
,A07,SYBR,Cit6,Unkn,Cit6,16.561820962952,NaN
,A08,SYBR,Cit6,Unkn,Cit6,16.4098338612834,NaN
,A09,SYBR,Cit6,Unkn,Cit6,16.1735230275517,NaN
,A10,SYBR,mCh,Unkn,Cit6,16.1585132398425,NaN
,A11,SYBR,mCh,Unkn,Cit6,15.9159899677966,NaN
,A12,SYBR,mCh,Unkn,Cit6,16.0358934722069,NaN
,B01,SYBR,Cit3,Unkn,Cit3,17.0028347744545,NaN
,B02,SYBR,Cit3,Unkn,Cit3,16.3852349026638,NaN
,B03,SYBR,Cit3,Unkn,Cit3,15.7693486959685,NaN
,B04,SYBR,mCh,Unkn,Cit3,16.7588025033415,NaN
,B05,SYBR,mCh,Unkn,Cit3,15.7695630167451,NaN
,B06,SYBR,mCh,Unkn,Cit3,15.0422726578548,NaN
,B07,SYBR,Cit6,Unkn,Cit6,16.2387257763461,NaN
,B08,SYBR,Cit6,Unkn,Cit6,16.1759342418279,NaN
,B09,SYBR,Cit6,Unkn,Cit6,16.0204795736954,NaN
,B10,SYBR,mCh,Unkn,Cit6,16.0020914609049,NaN
,B11,SYBR,mCh,Unkn,Cit6,15.751654258214,NaN
,B12,SYBR,mCh,Unkn,Cit6,15.6463544805176,NaN
,C01,SYBR,Cit3,Unkn,Cit3,17.1044441026178,NaN
,C02,SYBR,Cit3,Unkn,Cit3,16.1500729413635,NaN
,C03,SYBR,Cit3,Unkn,Cit3,15.4896445795443,NaN
,C04,SYBR,mCh,Unkn,Cit3,16.7420675440729,NaN
,C05,SYBR,mCh,Unkn,Cit3,15.5731764662351,NaN
,C06,SYBR,mCh,Unkn,Cit3,15.1540138383177,NaN
,C07,SYBR,Cit6,Unkn,Cit6,16.3670556877676,NaN
,C08,SYBR,Cit6,Unkn,Cit6,16.6289750921161,NaN
,C09,SYBR,Cit6,Unkn,Cit6,16.0237101700898,NaN
,C10,SYBR,mCh,Unkn,Cit6,15.996549789539,NaN
,C11,SYBR,mCh,Unkn,Cit6,15.6414868878577,NaN
,C12,SYBR,mCh,Unkn,Cit6,15.6582617279991,NaN
,D01,SYBR,Cit3,Unkn,J-Cit3,15.419968133718,NaN
,D02,SYBR,Cit3,Unkn,J-Cit3,15.3214135338078,NaN
,D03,SYBR,Cit3,Unkn,J-Cit3,15.0740160683139,NaN
,D04,SYBR,mCh,Unkn,J-Cit3,15.0656883443309,NaN
,D05,SYBR,mCh,Unkn,J-Cit3,14.9487760220133,NaN
,D06,SYBR,mCh,Unkn,J-Cit3,14.8492315856904,NaN
,D07,SYBR,Cit6,Unkn,J-Cit6,15.3666564539515,NaN
,D08,SYBR,Cit6,Unkn,J-Cit6,15.0247931244329,NaN
,D09,SYBR,Cit6,Unkn,J-Cit6,15.300465224619,NaN
,D10,SYBR,mCh,Unkn,J-Cit6,14.8093841277485,NaN
,D11,SYBR,mCh,Unkn,J-Cit6,14.7781672903713,NaN
,D12,SYBR,mCh,Unkn,J-Cit6,14.6619379199716,NaN
,E01,SYBR,Cit3,Unkn,J-Cit3,15.7385508400892,NaN
,E02,SYBR,Cit3,Unkn,J-Cit3,15.5655001862283,NaN
,E03,SYBR,Cit3,Unkn,J-Cit3,15.0329128531587,NaN
,E04,SYBR,mCh,Unkn,J-Cit3,14.9355993458683,NaN
,E05,SYBR,mCh,Unkn,J-Cit3,14.8844512636641,NaN
,E06,SYBR,mCh,Unkn,J-Cit3,14.8848504062407,NaN
,E07,SYBR,Cit6,Unkn,J-Cit6,15.4009387912065,NaN
,E08,SYBR,Cit6,Unkn,J-Cit6,14.976038362067,NaN
,E09,SYBR,Cit6,Unkn,J-Cit6,15.3596232639342,NaN
,E10,SYBR,mCh,Unkn,J-Cit6,14.7334524339268,NaN
,E11,SYBR,mCh,Unkn,J-Cit6,14.6284078526327,NaN
,E12,SYBR,mCh,Unkn,J-Cit6,14.8802583472203,NaN
,F01,SYBR,Cit3,Unkn,J-Cit3,15.0794481157014,NaN
,F02,SYBR,Cit3,Unkn,J-Cit3,14.7599568876437,NaN
,F03,SYBR,Cit3,Unkn,J-Cit3,15.1071272047628,NaN
,F04,SYBR,mCh,Unkn,J-Cit3,15.0126191894474,NaN
,F05,SYBR,mCh,Unkn,J-Cit3,14.9305467644398,NaN
,F06,SYBR,mCh,Unkn,J-Cit3,14.9108290405007,NaN
,F07,SYBR,Cit6,Unkn,J-Cit6,15.2051557710833,NaN
,F08,SYBR,Cit6,Unkn,J-Cit6,15.1319960536278,NaN
,F09,SYBR,Cit6,Unkn,J-Cit6,15.224583910036,NaN
,F10,SYBR,mCh,Unkn,J-Cit6,14.6856016362295,NaN
,F11,SYBR,mCh,Unkn,J-Cit6,14.498723680837,NaN
,F12,SYBR,mCh,Unkn,J-Cit6,14.601984609274,NaN
,H01,SYBR,Cit3,NTC,NTC,33.8969000652915,NaN
,H02,SYBR,Cit3,NTC,NTC,32.5841154275749,NaN
,H03,SYBR,Cit3,NTC,NTC,32.8174948020465,NaN
,H04,SYBR,Cit6,NTC,NTC,23.7067959595001,NaN
,H05,SYBR,Cit6,NTC,NTC,23.2837399949803,NaN
,H06,SYBR,Cit6,NTC,NTC,21.607325412711,NaN
,H07,SYBR,mCh,NTC,NTC,NaN,NaN
,H08,SYBR,mCh,NTC,NTC,NaN,NaN
,H09,SYBR,mCh,NTC,NTC,NaN,NaN
