,Well,Fluor,Target,Content,Sample,Biological Set Name,Cq,Cq Mean,Cq Std. Dev,Starting Quantity (SQ),Log Starting Quantity,SQ Mean,SQ Std. Dev,Set Point,Well Note
,A01,SYBR,Cit9,Unkn,Cit9,,19.8623347606543,19.8623347606543,0,NaN,NaN,NaN,0,72,
,A02,SYBR,Cit9,Unkn,Cit9,,16.3674586386427,16.3674586386427,0,NaN,NaN,NaN,0,72,
,A03,SYBR,Cit9,Unkn,Cit9,,16.5203983094811,16.5203983094811,0,NaN,NaN,NaN,0,72,
,A04,SYBR,mCh,Unkn,Cit9,,18.2221823838282,18.2221823838282,0,NaN,NaN,NaN,0,72,
,A05,SYBR,mCh,Unkn,Cit9,,15.5713154600679,15.5713154600679,0,NaN,NaN,NaN,0,72,
,A06,SYBR,mCh,Unkn,Cit9,,15.4452252412779,15.4452252412779,0,NaN,NaN,NaN,0,72,
,A07,SYBR,CitMax,Unkn,CitMax,,17.9367494996691,17.9367494996691,0,NaN,NaN,NaN,0,72,
,A08,SYBR,CitMax,Unkn,CitMax,,17.3250807577951,17.3250807577951,0,NaN,NaN,NaN,0,72,
,A09,SYBR,CitMax,Unkn,CitMax,,17.5257697390224,17.5257697390224,0,NaN,NaN,NaN,0,72,
,A10,SYBR,mCh,Unkn,CitMax,,16.1934541348446,16.1934541348446,0,NaN,NaN,NaN,0,72,
,A11,SYBR,mCh,Unkn,CitMax,,16.1043765451236,16.1043765451236,0,NaN,NaN,NaN,0,72,
,A12,SYBR,mCh,Unkn,CitMax,,16.0070729499887,16.0070729499887,0,NaN,NaN,NaN,0,72,
,B01,SYBR,Cit9,Unkn,Cit9,,19.4268586416321,19.4268586416321,0,NaN,NaN,NaN,0,72,
,B02,SYBR,Cit9,Unkn,Cit9,,16.3321978036066,16.3321978036066,0,NaN,NaN,NaN,0,72,
,B03,SYBR,Cit9,Unkn,Cit9,,16.3631908298009,16.3631908298009,0,NaN,NaN,NaN,0,72,
,B04,SYBR,mCh,Unkn,Cit9,,17.9605562640382,17.9605562640382,0,NaN,NaN,NaN,0,72,
,B05,SYBR,mCh,Unkn,Cit9,,15.2494093441249,15.2494093441249,0,NaN,NaN,NaN,0,72,
,B06,SYBR,mCh,Unkn,Cit9,,15.2752383672194,15.2752383672194,0,NaN,NaN,NaN,0,72,
,B07,SYBR,CitMax,Unkn,CitMax,,17.662659949318,17.662659949318,0,NaN,NaN,NaN,0,72,
,B08,SYBR,CitMax,Unkn,CitMax,,17.10247313178,17.10247313178,0,NaN,NaN,NaN,0,72,
,B09,SYBR,CitMax,Unkn,CitMax,,17.2609074745526,17.2609074745526,0,NaN,NaN,NaN,0,72,
,B10,SYBR,mCh,Unkn,CitMax,,15.9811674878254,15.9811674878254,0,NaN,NaN,NaN,0,72,
,B11,SYBR,mCh,Unkn,CitMax,,15.5934532118382,15.5934532118382,0,NaN,NaN,NaN,0,72,
,B12,SYBR,mCh,Unkn,CitMax,,15.7672387531304,15.7672387531304,0,NaN,NaN,NaN,0,72,
,C01,SYBR,Cit9,Unkn,Cit9,,19.5430796734954,19.5430796734954,0,NaN,NaN,NaN,0,72,
,C02,SYBR,Cit9,Unkn,Cit9,,16.2766662444011,16.2766662444011,0,NaN,NaN,NaN,0,72,
,C03,SYBR,Cit9,Unkn,Cit9,,16.1818722804255,16.1818722804255,0,NaN,NaN,NaN,0,72,
,C04,SYBR,mCh,Unkn,Cit9,,17.8412937982153,17.8412937982153,0,NaN,NaN,NaN,0,72,
,C05,SYBR,mCh,Unkn,Cit9,,15.1293379602382,15.1293379602382,0,NaN,NaN,NaN,0,72,
,C06,SYBR,mCh,Unkn,Cit9,,15.3092026016583,15.3092026016583,0,NaN,NaN,NaN,0,72,
,C07,SYBR,CitMax,Unkn,CitMax,,17.4992864288342,17.4992864288342,0,NaN,NaN,NaN,0,72,
,C08,SYBR,CitMax,Unkn,CitMax,,17.1172380039842,17.1172380039842,0,NaN,NaN,NaN,0,72,
,C09,SYBR,CitMax,Unkn,CitMax,,17.2509168231085,17.2509168231085,0,NaN,NaN,NaN,0,72,
,C10,SYBR,mCh,Unkn,CitMax,,16.0261502258005,16.0261502258005,0,NaN,NaN,NaN,0,72,
,C11,SYBR,mCh,Unkn,CitMax,,15.3503817068567,15.3503817068567,0,NaN,NaN,NaN,0,72,
,C12,SYBR,mCh,Unkn,CitMax,,15.8802609768007,15.8802609768007,0,NaN,NaN,NaN,0,72,
,D01,SYBR,Cit9,Unkn,J-Cit9,,16.1411327822595,16.1411327822595,0,NaN,NaN,NaN,0,72,
,D02,SYBR,Cit9,Unkn,J-Cit9,,15.2647745407178,15.2647745407178,0,NaN,NaN,NaN,0,72,
,D03,SYBR,Cit9,Unkn,J-Cit9,,16.4330644835181,16.4330644835181,0,NaN,NaN,NaN,0,72,
,D04,SYBR,mCh,Unkn,J-Cit9,,15.7446743258729,15.7446743258729,0,NaN,NaN,NaN,0,72,
,D05,SYBR,mCh,Unkn,J-Cit9,,14.9339486020013,14.9339486020013,0,NaN,NaN,NaN,0,72,
,D06,SYBR,mCh,Unkn,J-Cit9,,15.1968594091053,15.1968594091053,0,NaN,NaN,NaN,0,72,
,D07,SYBR,CitMax,Unkn,J-CitMax,,15.9646291060294,15.9646291060294,0,NaN,NaN,NaN,0,72,
,D08,SYBR,CitMax,Unkn,J-CitMax,,15.6009734025152,15.6009734025152,0,NaN,NaN,NaN,0,72,
,D09,SYBR,CitMax,Unkn,J-CitMax,,16.1098764411716,16.1098764411716,0,NaN,NaN,NaN,0,72,
,D10,SYBR,mCh,Unkn,J-CitMax,,15.0107562686284,15.0107562686284,0,NaN,NaN,NaN,0,72,
,D11,SYBR,mCh,Unkn,J-CitMax,,14.8045915776174,14.8045915776174,0,NaN,NaN,NaN,0,72,
,D12,SYBR,mCh,Unkn,J-CitMax,,15.0371496178845,15.0371496178845,0,NaN,NaN,NaN,0,72,
,E01,SYBR,Cit9,Unkn,J-Cit9,,16.3667628657031,16.3667628657031,0,NaN,NaN,NaN,0,72,
,E02,SYBR,Cit9,Unkn,J-Cit9,,15.3671793543261,15.3671793543261,0,NaN,NaN,NaN,0,72,
,E03,SYBR,Cit9,Unkn,J-Cit9,,16.3819233281938,16.3819233281938,0,NaN,NaN,NaN,0,72,
,E04,SYBR,mCh,Unkn,J-Cit9,,15.5605336021719,15.5605336021719,0,NaN,NaN,NaN,0,72,
,E05,SYBR,mCh,Unkn,J-Cit9,,14.942421723912,14.942421723912,0,NaN,NaN,NaN,0,72,
,E06,SYBR,mCh,Unkn,J-Cit9,,15.273532731663,15.273532731663,0,NaN,NaN,NaN,0,72,
,E07,SYBR,CitMax,Unkn,J-CitMax,,16.0488409793184,16.0488409793184,0,NaN,NaN,NaN,0,72,
,E08,SYBR,CitMax,Unkn,J-CitMax,,15.6958492827413,15.6958492827413,0,NaN,NaN,NaN,0,72,
,E09,SYBR,CitMax,Unkn,J-CitMax,,16.216368553246,16.216368553246,0,NaN,NaN,NaN,0,72,
,E10,SYBR,mCh,Unkn,J-CitMax,,14.9744936933098,14.9744936933098,0,NaN,NaN,NaN,0,72,
,E11,SYBR,mCh,Unkn,J-CitMax,,14.8396840699703,14.8396840699703,0,NaN,NaN,NaN,0,72,
,E12,SYBR,mCh,Unkn,J-CitMax,,15.1992077331946,15.1992077331946,0,NaN,NaN,NaN,0,72,
,F01,SYBR,Cit9,Unkn,J-Cit9,,16.2300896658249,16.2300896658249,0,NaN,NaN,NaN,0,72,
,F02,SYBR,Cit9,Unkn,J-Cit9,,15.1861776967953,15.1861776967953,0,NaN,NaN,NaN,0,72,
,F03,SYBR,Cit9,Unkn,J-Cit9,,16.3688206382158,16.3688206382158,0,NaN,NaN,NaN,0,72,
,F04,SYBR,mCh,Unkn,J-Cit9,,15.4222703095539,15.4222703095539,0,NaN,NaN,NaN,0,72,
,F05,SYBR,mCh,Unkn,J-Cit9,,15.0197779557919,15.0197779557919,0,NaN,NaN,NaN,0,72,
,F06,SYBR,mCh,Unkn,J-Cit9,,15.2485323363816,15.2485323363816,0,NaN,NaN,NaN,0,72,
,F07,SYBR,CitMax,Unkn,J-CitMax,,15.9950352907961,15.9950352907961,0,NaN,NaN,NaN,0,72,
,F08,SYBR,CitMax,Unkn,J-CitMax,,15.6775727480087,15.6775727480087,0,NaN,NaN,NaN,0,72,
,F09,SYBR,CitMax,Unkn,J-CitMax,,16.0609895011938,16.0609895011938,0,NaN,NaN,NaN,0,72,
,F10,SYBR,mCh,Unkn,J-CitMax,,14.8046521347823,14.8046521347823,0,NaN,NaN,NaN,0,72,
,F11,SYBR,mCh,Unkn,J-CitMax,,14.6752274828923,14.6752274828923,0,NaN,NaN,NaN,0,72,
,F12,SYBR,mCh,Unkn,J-CitMax,,15.0267903549911,15.0267903549911,0,NaN,NaN,NaN,0,72,
,H01,SYBR,Cit9,NTC,NTC,,NaN,0,0,NaN,NaN,0,0,72,
,H02,SYBR,Cit9,NTC,NTC,,NaN,0,0,NaN,NaN,0,0,72,
,H03,SYBR,Cit9,NTC,NTC,,NaN,0,0,NaN,NaN,0,0,72,
,H04,SYBR,CitMax,NTC,NTC,,NaN,0,0,NaN,NaN,0,0,72,
,H05,SYBR,CitMax,NTC,NTC,,NaN,0,0,NaN,NaN,0,0,72,
,H06,SYBR,CitMax,NTC,NTC,,NaN,0,0,NaN,NaN,0,0,72,
,H07,SYBR,mCh,NTC,NTC,,NaN,0,0,NaN,NaN,0,0,72,
,H08,SYBR,mCh,NTC,NTC,,NaN,0,0,NaN,NaN,0,0,72,
,H09,SYBR,mCh,NTC,NTC,,NaN,0,0,NaN,NaN,0,0,72,
