,Well,Fluor,Target,Content,Sample,Cq,SQ
,A01,SYBR,Cit9,Unkn,Cit9,19.8623347606543,NaN
,A02,SYBR,Cit9,Unkn,Cit9,16.3674586386427,NaN
,A03,SYBR,Cit9,Unkn,Cit9,16.5203983094811,NaN
,A04,SYBR,mCh,Unkn,Cit9,18.2221823838282,NaN
,A05,SYBR,mCh,Unkn,Cit9,15.5713154600679,NaN
,A06,SYBR,mCh,Unkn,Cit9,15.4452252412779,NaN
,A07,SYBR,CitMax,Unkn,CitMax,17.9367494996691,NaN
,A08,SYBR,CitMax,Unkn,CitMax,17.3250807577951,NaN
,A09,SYBR,CitMax,Unkn,CitMax,17.5257697390224,NaN
,A10,SYBR,mCh,Unkn,CitMax,16.1934541348446,NaN
,A11,SYBR,mCh,Unkn,CitMax,16.1043765451236,NaN
,A12,SYBR,mCh,Unkn,CitMax,16.0070729499887,NaN
,B01,SYBR,Cit9,Unkn,Cit9,19.4268586416321,NaN
,B02,SYBR,Cit9,Unkn,Cit9,16.3321978036066,NaN
,B03,SYBR,Cit9,Unkn,Cit9,16.3631908298009,NaN
,B04,SYBR,mCh,Unkn,Cit9,17.9605562640382,NaN
,B05,SYBR,mCh,Unkn,Cit9,15.2494093441249,NaN
,B06,SYBR,mCh,Unkn,Cit9,15.2752383672194,NaN
,B07,SYBR,CitMax,Unkn,CitMax,17.662659949318,NaN
,B08,SYBR,CitMax,Unkn,CitMax,17.10247313178,NaN
,B09,SYBR,CitMax,Unkn,CitMax,17.2609074745526,NaN
,B10,SYBR,mCh,Unkn,CitMax,15.9811674878254,NaN
,B11,SYBR,mCh,Unkn,CitMax,15.5934532118382,NaN
,B12,SYBR,mCh,Unkn,CitMax,15.7672387531304,NaN
,C01,SYBR,Cit9,Unkn,Cit9,19.5430796734954,NaN
,C02,SYBR,Cit9,Unkn,Cit9,16.2766662444011,NaN
,C03,SYBR,Cit9,Unkn,Cit9,16.1818722804255,NaN
,C04,SYBR,mCh,Unkn,Cit9,17.8412937982153,NaN
,C05,SYBR,mCh,Unkn,Cit9,15.1293379602382,NaN
,C06,SYBR,mCh,Unkn,Cit9,15.3092026016583,NaN
,C07,SYBR,CitMax,Unkn,CitMax,17.4992864288342,NaN
,C08,SYBR,CitMax,Unkn,CitMax,17.1172380039842,NaN
,C09,SYBR,CitMax,Unkn,CitMax,17.2509168231085,NaN
,C10,SYBR,mCh,Unkn,CitMax,16.0261502258005,NaN
,C11,SYBR,mCh,Unkn,CitMax,15.3503817068567,NaN
,C12,SYBR,mCh,Unkn,CitMax,15.8802609768007,NaN
,D01,SYBR,Cit9,Unkn,J-Cit9,16.1411327822595,NaN
,D02,SYBR,Cit9,Unkn,J-Cit9,15.2647745407178,NaN
,D03,SYBR,Cit9,Unkn,J-Cit9,16.4330644835181,NaN
,D04,SYBR,mCh,Unkn,J-Cit9,15.7446743258729,NaN
,D05,SYBR,mCh,Unkn,J-Cit9,14.9339486020013,NaN
,D06,SYBR,mCh,Unkn,J-Cit9,15.1968594091053,NaN
,D07,SYBR,CitMax,Unkn,J-CitMax,15.9646291060294,NaN
,D08,SYBR,CitMax,Unkn,J-CitMax,15.6009734025152,NaN
,D09,SYBR,CitMax,Unkn,J-CitMax,16.1098764411716,NaN
,D10,SYBR,mCh,Unkn,J-CitMax,15.0107562686284,NaN
,D11,SYBR,mCh,Unkn,J-CitMax,14.8045915776174,NaN
,D12,SYBR,mCh,Unkn,J-CitMax,15.0371496178845,NaN
,E01,SYBR,Cit9,Unkn,J-Cit9,16.3667628657031,NaN
,E02,SYBR,Cit9,Unkn,J-Cit9,15.3671793543261,NaN
,E03,SYBR,Cit9,Unkn,J-Cit9,16.3819233281938,NaN
,E04,SYBR,mCh,Unkn,J-Cit9,15.5605336021719,NaN
,E05,SYBR,mCh,Unkn,J-Cit9,14.942421723912,NaN
,E06,SYBR,mCh,Unkn,J-Cit9,15.273532731663,NaN
,E07,SYBR,CitMax,Unkn,J-CitMax,16.0488409793184,NaN
,E08,SYBR,CitMax,Unkn,J-CitMax,15.6958492827413,NaN
,E09,SYBR,CitMax,Unkn,J-CitMax,16.216368553246,NaN
,E10,SYBR,mCh,Unkn,J-CitMax,14.9744936933098,NaN
,E11,SYBR,mCh,Unkn,J-CitMax,14.8396840699703,NaN
,E12,SYBR,mCh,Unkn,J-CitMax,15.1992077331946,NaN
,F01,SYBR,Cit9,Unkn,J-Cit9,16.2300896658249,NaN
,F02,SYBR,Cit9,Unkn,J-Cit9,15.1861776967953,NaN
,F03,SYBR,Cit9,Unkn,J-Cit9,16.3688206382158,NaN
,F04,SYBR,mCh,Unkn,J-Cit9,15.4222703095539,NaN
,F05,SYBR,mCh,Unkn,J-Cit9,15.0197779557919,NaN
,F06,SYBR,mCh,Unkn,J-Cit9,15.2485323363816,NaN
,F07,SYBR,CitMax,Unkn,J-CitMax,15.9950352907961,NaN
,F08,SYBR,CitMax,Unkn,J-CitMax,15.6775727480087,NaN
,F09,SYBR,CitMax,Unkn,J-CitMax,16.0609895011938,NaN
,F10,SYBR,mCh,Unkn,J-CitMax,14.8046521347823,NaN
,F11,SYBR,mCh,Unkn,J-CitMax,14.6752274828923,NaN
,F12,SYBR,mCh,Unkn,J-CitMax,15.0267903549911,NaN
,H01,SYBR,Cit9,NTC,NTC,NaN,NaN
,H02,SYBR,Cit9,NTC,NTC,NaN,NaN
,H03,SYBR,Cit9,NTC,NTC,NaN,NaN
,H04,SYBR,CitMax,NTC,NTC,NaN,NaN
,H05,SYBR,CitMax,NTC,NTC,NaN,NaN
,H06,SYBR,CitMax,NTC,NTC,NaN,NaN
,H07,SYBR,mCh,NTC,NTC,NaN,NaN
,H08,SYBR,mCh,NTC,NTC,NaN,NaN
,H09,SYBR,mCh,NTC,NTC,NaN,NaN
