,Well,Fluor,Target,Content,Sample,End RFU,Call,Sample Type,CallType,Is Control
,A01,SYBR,Citmin,Unkn,Citmin,1047.12463614275,,Unknown,Unassigned,False
,A02,SYBR,Citmin,Unkn,Citmin,1125.99328786505,,Unknown,Unassigned,False
,A03,SYBR,Citmin,Unkn,Citmin,1125.60028656272,,Unknown,Unassigned,False
,A04,SYBR,mCh,Unkn,Citmin,1264.83218102976,,Unknown,Unassigned,False
,A05,SYBR,mCh,Unkn,Citmin,1216.594444891,,Unknown,Unassigned,False
,A06,SYBR,mCh,Unkn,Citmin,1308.59480450572,,Unknown,Unassigned,False
,A07,SYBR,Cit0,Unkn,Cit0,1071.78174762999,,Unknown,Unassigned,False
,A08,SYBR,Cit0,Unkn,Cit0,1077.97070913174,,Unknown,Unassigned,False
,A09,SYBR,Cit0,Unkn,Cit0,1045.9258918561,,Unknown,Unassigned,False
,A10,SYBR,mCh,Unkn,Cit0,1168.15258391195,,Unknown,Unassigned,False
,A11,SYBR,mCh,Unkn,Cit0,1128.91985362503,,Unknown,Unassigned,False
,A12,SYBR,mCh,Unkn,Cit0,1052.12881775867,,Unknown,Unassigned,False
,B01,SYBR,Citmin,Unkn,Citmin,1006.84843893473,,Unknown,Unassigned,False
,B02,SYBR,Citmin,Unkn,Citmin,1163.83274476342,,Unknown,Unassigned,False
,B03,SYBR,Citmin,Unkn,Citmin,1145.91563555179,,Unknown,Unassigned,False
,B04,SYBR,mCh,Unkn,Citmin,1344.58078354326,,Unknown,Unassigned,False
,B05,SYBR,mCh,Unkn,Citmin,1325.04045357487,,Unknown,Unassigned,False
,B06,SYBR,mCh,Unkn,Citmin,1502.17417568801,,Unknown,Unassigned,False
,B07,SYBR,Cit0,Unkn,Cit0,1217.34410053571,,Unknown,Unassigned,False
,B08,SYBR,Cit0,Unkn,Cit0,1198.26966686501,,Unknown,Unassigned,False
,B09,SYBR,Cit0,Unkn,Cit0,1173.26830609603,,Unknown,Unassigned,False
,B10,SYBR,mCh,Unkn,Cit0,1325.96613673486,,Unknown,Unassigned,False
,B11,SYBR,mCh,Unkn,Cit0,1208.74627092128,,Unknown,Unassigned,False
,B12,SYBR,mCh,Unkn,Cit0,1118.36541789202,,Unknown,Unassigned,False
,C01,SYBR,Citmin,Unkn,Citmin,1057.39138761745,,Unknown,Unassigned,False
,C02,SYBR,Citmin,Unkn,Citmin,1225.53509855258,,Unknown,Unassigned,False
,C03,SYBR,Citmin,Unkn,Citmin,1234.50109771037,,Unknown,Unassigned,False
,C04,SYBR,mCh,Unkn,Citmin,1404.95475871477,,Unknown,Unassigned,False
,C05,SYBR,mCh,Unkn,Citmin,1459.83016186227,,Unknown,Unassigned,False
,C06,SYBR,mCh,Unkn,Citmin,1430.38305021481,,Unknown,Unassigned,False
,C07,SYBR,Cit0,Unkn,Cit0,1296.47811128259,,Unknown,Unassigned,False
