,,1,2,3,4,5,6,7,8,9,10,11,12
A,Content,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn
A,Sample,Citmin,Citmin,Citmin,Citmin,Citmin,Citmin,Cit0,Cit0,Cit0,Cit0,Cit0,Cit0
A,Peak 1,81.5,81,81,85,85,85,80.5,80.5,80.5,85,85,85
A,Peak 2,None,None,None,None,None,None,None,None,None,None,None,None
B,Content,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn
B,Sample,Citmin,Citmin,Citmin,Citmin,Citmin,Citmin,Cit0,Cit0,Cit0,Cit0,Cit0,Cit0
B,Peak 1,81,81,81,84.5,84.5,85,80.5,80.5,80.5,84.5,85,85
B,Peak 2,None,None,None,None,None,None,None,None,None,None,None,None
C,Content,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn
C,Sample,Citmin,Citmin,Citmin,Citmin,Citmin,Citmin,Cit0,Cit0,Cit0,Cit0,Cit0,Cit0
C,Peak 1,81,81,81,84.5,85,85,80.5,80.5,80.5,84.5,85,85
C,Peak 2,None,None,None,None,None,None,None,None,None,None,None,None
D,Content,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn
D,Sample,J-Citmin,J-Citmin,J-Citmin,J-Citmin,J-Citmin,J-Citmin,J-Cit0,J-Cit0,J-Cit0,J-Cit0,J-Cit0,J-Cit0
D,Peak 1,81,81,81,84.5,85,85,80.5,80.5,80.5,85,85,85
D,Peak 2,None,None,None,None,None,None,None,None,None,None,None,None
E,Content,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn
E,Sample,J-Citmin,J-Citmin,J-Citmin,J-Citmin,J-Citmin,J-Citmin,J-Cit0,J-Cit0,J-Cit0,J-Cit0,J-Cit0,J-Cit0
E,Peak 1,81,81,81,84.5,84.5,84.5,80.5,80.5,80.5,84.5,85,85
E,Peak 2,None,None,None,None,None,None,None,None,None,None,None,None
F,Content,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn
F,Sample,J-Citmin,J-Citmin,J-Citmin,J-Citmin,J-Citmin,J-Citmin,J-Cit0,J-Cit0,J-Cit0,J-Cit0,J-Cit0,J-Cit0
F,Peak 1,81,81,81,84.5,84.5,84.5,80.5,80.5,80.5,84.5,85,85
F,Peak 2,None,None,None,None,None,None,None,None,None,None,None,None
G,Content,,,,,,,,,,,,
G,Sample,,,,,,,,,,,,
G,Peak 1,,,,,,,,,,,,
G,Peak 2,,,,,,,,,,,,
H,Content,NTC,NTC,NTC,NTC,NTC,NTC,NTC,NTC,NTC,,,
H,Sample,NTC,NTC,NTC,NTC,NTC,NTC,NTC,NTC,NTC,,,
H,Peak 1,None,None,None,None,None,None,None,None,None,,,
H,Peak 2,None,None,None,None,None,None,None,None,None,,,
