,Well,Fluor,Target,Content,Sample,Biological Set Name,Cq,Cq Mean,Cq Std. Dev,Starting Quantity (SQ),Log Starting Quantity,SQ Mean,SQ Std. Dev,Set Point,Well Note
,A01,SYBR,Citmin,Unkn,Citmin,,16.8814744322068,16.8814744322068,0,NaN,NaN,NaN,0,72,
,A02,SYBR,Citmin,Unkn,Citmin,,15.9492119274003,15.9492119274003,0,NaN,NaN,NaN,0,72,
,A03,SYBR,Citmin,Unkn,Citmin,,15.4259631262351,15.4259631262351,0,NaN,NaN,NaN,0,72,
,A04,SYBR,mCh,Unkn,Citmin,,15.7281883127242,15.7281883127242,0,NaN,NaN,NaN,0,72,
,A05,SYBR,mCh,Unkn,Citmin,,15.8472624069189,15.8472624069189,0,NaN,NaN,NaN,0,72,
,A06,SYBR,mCh,Unkn,Citmin,,15.0006173749723,15.0006173749723,0,NaN,NaN,NaN,0,72,
,A07,SYBR,Cit0,Unkn,Cit0,,15.6302346708061,15.6302346708061,0,NaN,NaN,NaN,0,72,
,A08,SYBR,Cit0,Unkn,Cit0,,15.5834590700151,15.5834590700151,0,NaN,NaN,NaN,0,72,
,A09,SYBR,Cit0,Unkn,Cit0,,16.0454822908865,16.0454822908865,0,NaN,NaN,NaN,0,72,
,A10,SYBR,mCh,Unkn,Cit0,,15.4222195268005,15.4222195268005,0,NaN,NaN,NaN,0,72,
,A11,SYBR,mCh,Unkn,Cit0,,15.0832432981576,15.0832432981576,0,NaN,NaN,NaN,0,72,
,A12,SYBR,mCh,Unkn,Cit0,,15.7143813258435,15.7143813258435,0,NaN,NaN,NaN,0,72,
,B01,SYBR,Citmin,Unkn,Citmin,,16.7498732496046,16.7498732496046,0,NaN,NaN,NaN,0,72,
,B02,SYBR,Citmin,Unkn,Citmin,,15.7624854217966,15.7624854217966,0,NaN,NaN,NaN,0,72,
,B03,SYBR,Citmin,Unkn,Citmin,,15.3692048690481,15.3692048690481,0,NaN,NaN,NaN,0,72,
,B04,SYBR,mCh,Unkn,Citmin,,15.5230790452327,15.5230790452327,0,NaN,NaN,NaN,0,72,
,B05,SYBR,mCh,Unkn,Citmin,,15.5630908118079,15.5630908118079,0,NaN,NaN,NaN,0,72,
,B06,SYBR,mCh,Unkn,Citmin,,14.7852957514812,14.7852957514812,0,NaN,NaN,NaN,0,72,
,B07,SYBR,Cit0,Unkn,Cit0,,15.2750955521019,15.2750955521019,0,NaN,NaN,NaN,0,72,
,B08,SYBR,Cit0,Unkn,Cit0,,15.3706521350016,15.3706521350016,0,NaN,NaN,NaN,0,72,
,B09,SYBR,Cit0,Unkn,Cit0,,15.7956012407378,15.7956012407378,0,NaN,NaN,NaN,0,72,
,B10,SYBR,mCh,Unkn,Cit0,,15.2787143797641,15.2787143797641,0,NaN,NaN,NaN,0,72,
,B11,SYBR,mCh,Unkn,Cit0,,15.0498640130707,15.0498640130707,0,NaN,NaN,NaN,0,72,
,B12,SYBR,mCh,Unkn,Cit0,,15.4477335245623,15.4477335245623,0,NaN,NaN,NaN,0,72,
,C01,SYBR,Citmin,Unkn,Citmin,,16.5014930372567,16.5014930372567,0,NaN,NaN,NaN,0,72,
,C02,SYBR,Citmin,Unkn,Citmin,,15.7480007442706,15.7480007442706,0,NaN,NaN,NaN,0,72,
,C03,SYBR,Citmin,Unkn,Citmin,,15.2689710713766,15.2689710713766,0,NaN,NaN,NaN,0,72,
,C04,SYBR,mCh,Unkn,Citmin,,15.5685568145901,15.5685568145901,0,NaN,NaN,NaN,0,72,
,C05,SYBR,mCh,Unkn,Citmin,,15.4184613792808,15.4184613792808,0,NaN,NaN,NaN,0,72,
,C06,SYBR,mCh,Unkn,Citmin,,14.8069322009991,14.8069322009991,0,NaN,NaN,NaN,0,72,
,C07,SYBR,Cit0,Unkn,Cit0,,15.1648876214966,15.1648876214966,0,NaN,NaN,NaN,0,72,
,C08,SYBR,Cit0,Unkn,Cit0,,15.3428030501713,15.3428030501713,0,NaN,NaN,NaN,0,72,
,C09,SYBR,Cit0,Unkn,Cit0,,15.8893121147137,15.8893121147137,0,NaN,NaN,NaN,0,72,
,C10,SYBR,mCh,Unkn,Cit0,,15.2714042189269,15.2714042189269,0,NaN,NaN,NaN,0,72,
,C11,SYBR,mCh,Unkn,Cit0,,14.9767791731325,14.9767791731325,0,NaN,NaN,NaN,0,72,
,C12,SYBR,mCh,Unkn,Cit0,,15.4338309928694,15.4338309928694,0,NaN,NaN,NaN,0,72,
,D01,SYBR,Citmin,Unkn,J-Citmin,,15.5268810586565,15.5268810586565,0,NaN,NaN,NaN,0,72,
,D02,SYBR,Citmin,Unkn,J-Citmin,,14.8449993500459,14.8449993500459,0,NaN,NaN,NaN,0,72,
