,,1,2,3,4,5,6,7,8,9,10,11,12
A,Content,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn
A,Sample,Citmin,Citmin,Citmin,Citmin,Citmin,Citmin,Cit0,Cit0,Cit0,Cit0,Cit0,Cit0
A,Cq,16.8814744322068,15.9492119274003,15.4259631262351,15.7281883127242,15.8472624069189,15.0006173749723,15.6302346708061,15.5834590700151,16.0454822908865,15.4222195268005,15.0832432981576,15.7143813258435
A,copy number,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
B,Content,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn
B,Sample,Citmin,Citmin,Citmin,Citmin,Citmin,Citmin,Cit0,Cit0,Cit0,Cit0,Cit0,Cit0
B,Cq,16.7498732496046,15.7624854217966,15.3692048690481,15.5230790452327,15.5630908118079,14.7852957514812,15.2750955521019,15.3706521350016,15.7956012407378,15.2787143797641,15.0498640130707,15.4477335245623
B,copy number,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
C,Content,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn
C,Sample,Citmin,Citmin,Citmin,Citmin,Citmin,Citmin,Cit0,Cit0,Cit0,Cit0,Cit0,Cit0
C,Cq,16.5014930372567,15.7480007442706,15.2689710713766,15.5685568145901,15.4184613792808,14.8069322009991,15.1648876214966,15.3428030501713,15.8893121147137,15.2714042189269,14.9767791731325,15.4338309928694
C,copy number,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
D,Content,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn
D,Sample,J-Citmin,J-Citmin,J-Citmin,J-Citmin,J-Citmin,J-Citmin,J-Cit0,J-Cit0,J-Cit0,J-Cit0,J-Cit0,J-Cit0
D,Cq,15.5268810586565,14.8449993500459,15.548991888937,15.0478368250879,14.4904134460381,15.2395647701594,14.9186387302875,15.5649681324924,14.9570829932026,14.7241389050651,15.7550445825254,14.8782040948955
D,copy number,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
E,Content,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn
E,Sample,J-Citmin,J-Citmin,J-Citmin,J-Citmin,J-Citmin,J-Citmin,J-Cit0,J-Cit0,J-Cit0,J-Cit0,J-Cit0,J-Cit0
E,Cq,15.5642669527117,14.9688856505413,15.3751407477558,14.9896366899007,14.6378100893084,15.1708027658075,15.0390029650578,15.6514986023032,15.0342546291121,14.6593280381825,15.6845125694031,14.9169293340609
E,copy number,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
F,Content,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn
F,Sample,J-Citmin,J-Citmin,J-Citmin,J-Citmin,J-Citmin,J-Citmin,J-Cit0,J-Cit0,J-Cit0,J-Cit0,J-Cit0,J-Cit0
F,Cq,15.3632201647822,14.8206957792177,15.3375540870325,14.9162357692786,14.8057792360838,15.3078833713633,14.8194264573352,15.6117291774285,14.9068593106255,14.7458308162906,15.5600616624052,14.7700290341721
F,copy number,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
G,Content,,,,,,,,,,,,
G,Sample,,,,,,,,,,,,
G,Cq,,,,,,,,,,,,
G,copy number,,,,,,,,,,,,
H,Content,NTC,NTC,NTC,NTC,NTC,NTC,NTC,NTC,NTC,,,
H,Sample,NTC,NTC,NTC,NTC,NTC,NTC,NTC,NTC,NTC,,,
H,Cq,36.067620825712,38.2277582299013,37.3998690243507,NaN,NaN,NaN,NaN,NaN,NaN,,,
H,copy number,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,
